early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,ONL,ORION PROPERTIES INC,RUSSELL2000,Real Estate,81.96,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,74.61,49.17,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
2,ALRM,ALARM.COM HOLDINGS INC,NASDAQ+RUSSELL2000,Information Technology,77.37,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,60.72,46.39,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
3,BLFS,BIOLIFE SOLUTIONS INC,NASDAQ+RUSSELL2000,Health Care,76.93,75.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,81.66,51.58,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
4,ICFI,ICF INTERNATIONAL INC,NASDAQ+RUSSELL2000,Industrials,76.62,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,58.43,45.94,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
5,FRSH,FRESHWORKS INC CLASS A,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,76.33,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,79.26,50.1,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
6,FGBI,FIRST GUARANTY BANCSHARES INC,NASDAQ+RUSSELL2000,Financials,76.2,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,82.6,50.77,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
7,DSP,VIANT TECHNOLOGY INC CLASS A,NASDAQ+RUSSELL2000,Information Technology,75.71,100.0,fresh_bullish_cross,73.15,fresh_below_zero_cross_proxy,67.53,47.76,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
8,BOX,BOX INC CLASS A,RUSSELL2000,Information Technology,75.66,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,55.52,45.35,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
9,ORMP,ORAMED PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,75.34,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,100.0,55.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
10,OPTU,OPTIMUM COMMUNICATIONS INC CLASS A,RUSSELL2000,Communication,75.19,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
11,MPAA,MOTORCAR PARTS OF AMERICA INC,NASDAQ+RUSSELL2000,Consumer Discretionary,75.04,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,99.57,54.16,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
12,CLMT,CALUMET INC,NASDAQ+RUSSELL2000,Energy,74.61,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,52.33,44.72,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
13,PRGS,PROGRESS SOFTWARE CORP,NASDAQ+RUSSELL2000,Information Technology,73.93,82.0,early_transition,88.8,fresh_above_zero_cross_proxy,66.66,47.58,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
14,FWRD,FORWARD AIR CORP,NASDAQ+RUSSELL2000,Industrials,73.92,82.0,early_transition,61.8,bullish_above_signal_proxy,87.06,51.66,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
15,AMPL,AMPLITUDE INC CLASS A,NASDAQ+RUSSELL2000,Information Technology,73.33,100.0,fresh_bullish_cross,71.8,fresh_below_zero_cross_proxy,61.34,46.52,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
16,WHWK,WHITEHAWK THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,73.02,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,47.07,44.66,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
17,OFRM,ONCE UPON A FARM PBC,RUSSELL2000,Consumer Staples,72.38,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,91.03,53.46,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
18,AVBP,ARRIVENT BIOPHARMA INC,NASDAQ+RUSSELL2000,Health Care,72.16,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,90.36,53.32,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
19,GKOS,GLAUKOS CORP,RUSSELL2000,Health Care,72.12,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,90.26,53.3,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
20,CTEV,CLARITEV CORP CLASS A,RUSSELL2000,Health Care,72.09,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,90.17,53.28,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
21,PKE,PARK AEROSPACE CORP,RUSSELL2000,Industrials,72.09,100.0,fresh_bullish_cross,71.8,fresh_below_zero_cross_proxy,57.58,45.77,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
22,PBF,PBF ENERGY INC CLASS A,RUSSELL2000,Energy,71.62,100.0,fresh_bullish_cross,51.15,bullish_below_zero_proxy,71.82,48.61,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
