current_rank,ticker,name,sector,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,WY,Weyerhaeuser,Real Estate,1,24.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MTX,MINERALS TECHNOLOGIES INC,Materials,2,79.022499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TYRA,TYRA BIOSCIENCES INC,Health Care,3,32.049999,,3,33.060001,-0.03055057,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ZG,"Zillow Group, Inc. - Class A Common Stock",,4,34.049999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,INVX,INNOVEX INTERNATIONAL INC,Energy,5,27.17,,,,,,,,,,,,,,,,,11,26.684999,,38,27.190001,-0.01857308,,,,,,,,,
6,ZM,"Zoom Communications, Inc. - Class A Common Stock",,6,93.675003,,44,92.32,0.01467724,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,JCI,Johnson Controls,Industrials,7,145.089996,,,,,,,,,,,,,,16,143.449997,,,,,,,,,,,,,,,,
8,XMAX,XMAX INC,Consumer Discretionary,8,8.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AVY,Avery Dennison,Materials,9,169.419998,,,,,42,167.380005,,,,,,,,,,,,,,,,,,,,,,,,,
10,CBOE,Cboe Global Markets,Financials,10,302.390015,,,,,,,,,,,,,,,,,,,,10,282.024994,,,,,,,,,,
11,BEN,Franklin Resources,Financials,11,33.650002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MCHB,MECHANICS BANCORP CLASS A,Financials,12,16.639999,,22,16.6,0.00240958,5,16.49,0.00667071,,,,,,,,,,,,,,,,,,,,,,,,
13,CBNA,CHAIN BRIDGE BANCORP INC CLASS A,Financials,13,45.509998,,,,,,,,,,,,,,34,43.584999,,,,,,,,,,,,,,,,
14,BBT,BEACON FINANCIAL CORP,Financials,14,31.120001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CTS,CTS CORP,Information Technology,15,63.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AMT,American Tower,Real Estate,16,172.445007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,STNE,STONECO LTD CLASS A,Financials,17,11.15,,17,11.43,-0.02449694,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,RRBI,RED RIVER BANCSHARES INC,Financials,18,101.300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PWP,PERELLA WEINBERG PARTNERS CLASS A,Financials,19,17.915001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,FIVE,"Five Below, Inc. - Common Stock",,20,214.029999,,,,,7,209.490005,,,,,,,,,,,,,,,,,,,,4,204.139999,,,,
21,APA,APA Corporation,Energy,21,36.5,,5,36.330002,0.00467927,,,,,,,,,,,,,,,,27,36.18,,23,35.77,0.01146212,,,,,,
22,HLNE,Hamilton Lane Incorporated - Class A Common Stock,,22,89.014999,,36,88.949997,0.00073077,,,,18,89.519997,,18,87.709999,0.02063616,,,,,,,,,,,,,,,,,,
23,CVI,CVR ENERGY INC,Energy,23,36.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,OSIS,OSI SYSTEMS INC,Information Technology,24,221.690002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MLAB,MESA LABORATORIES INC,Health Care,25,98.620003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MC,MOELIS CLASS A,Financials,26,67.830002,,2,68.349998,-0.00760784,,,,,,,16,67.790001,,,,,,,,,,,,,,,,,,,
27,DNTH,DIANTHUS THERAPEUTICS INC,Health Care,27,108.605003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,JAKK,JAKKS PACIFIC INC,Consumer Discretionary,28,26.290001,,,,,,,,,,,,,,,,,,,,,,,39,24.41,,,,,,,
29,SGP,SPYGLASS PHARMA INC SHS,Health Care,29,22.059999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,FIS,Fidelity National Information Services,Financials,30,44.900002,,,,,,,,,,,3,43.150002,,,,,,,,,,,,,,,,,,,
31,DGICA,DONEGAL GROUP INC CLASS A,Financials,31,19.41,,,,,,,,,,,45,18.91,,,,,,,,,,,,,,,,,,,
32,AAMI,ACADIAN ASSET MANAGEMENT INC,Financials,32,84.019997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,CCL,Carnival Corporation,Consumer Discretionary,33,27.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
