current_rank,ticker,name,sector,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,STNE,STONECO LTD CLASS A,Financials,1,11.15,,29,11.43,-0.02449694,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TVTX,TRAVERE THERAPEUTICS INC,Health Care,2,56.764999,,1,57.279999,-0.00899092,,,,,,,,,,7,57.360001,,,,,,,,,,,,,,,,
3,WY,Weyerhaeuser,Real Estate,3,24.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TYRA,TYRA BIOSCIENCES INC,Health Care,4,32.049999,,30,33.060001,-0.03055057,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PVLA,PALVELLA THERAPEUTICS INC,Health Care,5,142.574997,,25,150.190002,-0.05070248,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,EIG,EMPLOYERS HOLDINGS INC,Financials,6,49.855,,3,51.59,-0.03363055,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CTNM,CONTINEUM THERAPEUTICS INC CLASS A,Health Care,7,14.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MRX,MAREX GROUP LTD,Financials,8,65.660004,,22,65.919998,-0.00394408,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,XMAX,XMAX INC,Consumer Discretionary,9,8.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MTX,MINERALS TECHNOLOGIES INC,Materials,10,79.022499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MBX,MBX BIOSCIENCES INC,Health Care,11,66.120003,,32,66.459999,-0.00511580,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MC,MOELIS CLASS A,Financials,12,67.830002,,5,68.349998,-0.00760784,,,,,,,26,67.790001,,,,,,,,,,,,,,,,,,,
13,APH,Amphenol,Information Technology,13,161.600006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,FBK,FB FINANCIAL CORP,Financials,14,59.855,,14,60.099998,-0.00407651,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,GBTG,GLOBAL BUSINESS TRAVEL GROUP INC A,Consumer Discretionary,15,9.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,FCX,Freeport-McMoRan,Materials,16,62.290001,,35,63.439999,-0.01812733,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,BEN,Franklin Resources,Financials,17,33.650002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,INVX,INNOVEX INTERNATIONAL INC,Energy,18,27.17,,,,,,,,,,,,,,,,,,,,,,,43,26.370001,,,,,,,
19,EOG,EOG Resources,Energy,19,146.809998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,GNK,GENCO SHIPPING AND TRADING LTD,Industrials,20,25.77,,,,,,,,,,,,,,,,,,,,42,25.422001,,,,,,,,,,
21,JCI,Johnson Controls,Industrials,21,145.089996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,DNTH,DIANTHUS THERAPEUTICS INC,Health Care,22,108.605003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,BPOP,"Popular, Inc. - Common Stock",,23,175.910004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,NTB,BANK OF NT BUTTERFIELD & SON LTD,Financials,24,61.525002,,13,61.73,-0.00332088,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,DLO,DLOCAL CLASS A,Financials,25,15.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MNPR,MONOPAR THERAPEUTICS INC,Health Care,26,115.139999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,BBT,BEACON FINANCIAL CORP,Financials,27,31.120001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,CBNA,CHAIN BRIDGE BANCORP INC CLASS A,Financials,28,45.509998,,,,,,,,,,,,,,21,43.584999,,,,,,,,,,,,,,,,
29,ROK,Rockwell Automation,Industrials,29,472.825012,,33,471.01001,0.00385343,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CMDB,COSTAMARE BULKERS HOLDINGS LTD,Industrials,30,19.780001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,AKBA,AKEBIA THERAPEUTICS INC,Health Care,31,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,APO,Apollo Global Management,Financials,32,123.595001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,NAT,NORDIC AMERICAN TANKERS LTD,Energy,33,6.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,MOV,MOVADO GROUP INC,Consumer Discretionary,34,38.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,CVI,CVR ENERGY INC,Energy,35,36.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,AVY,Avery Dennison,Materials,36,169.419998,,,,,,,,,,,41,163.020004,,,,,,,,,,,,,,,,,,,
37,DGICA,DONEGAL GROUP INC CLASS A,Financials,37,19.41,,,,,,,,,,,36,18.91,,,,,,,,,,,,,,,,,,,
38,TSBK,TIMBERLAND BANCORP INC,Financials,38,45.200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,DDOG,Datadog,Information Technology,39,266.25,,,,,44,264.200012,,,,,,,,,,,,,,,,,,,,,,,,,
40,CCOI,COGENT COMMUNICATIONS HOLDINGS INC,Communication,40,13.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,KVHI,KVH INDUSTRIES INC,Information Technology,41,9.29,,,,,,,,,,,,,,,,,,,,49,9.26,,38,9.31,-0.00537057,,,,,,
42,IRON,DISC MEDICINE INC,Health Care,42,76.459999,,16,79.209999,-0.03471784,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,AVLN,AVALYN PHARMA INC,Health Care,43,29.049999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,MFIN,MEDALLION FINANCIAL CORP,Financials,44,10.005,,12,10.1,-0.00940594,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,AI,C3 AI INC CLASS A,Information Technology,45,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,INBK,FIRST INTERNET BANCORP,Financials,46,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,KOS,KOSMOS ENERGY LTD,Energy,47,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,BFLY,BUTTERFLY NETWORK INC CLASS A,Health Care,48,7.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,YUM,Yum! Brands,Consumer Discretionary,49,154.75,,19,157.0,-0.01433121,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,YSWY,YESWAY INC CLASS A,Consumer Staples,50,20.610001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
