early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,BRBR,BELLRING BRANDS INC,RUSSELL2000,Consumer Staples,78.34,82.0,early_transition,61.8,bullish_above_signal_proxy,100.0,55.25,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
17,VERA,VERA THERAPEUTICS INC CLASS A,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,73.41,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,94.17,54.08,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
18,MLKN,MILLERKNOLL INC,NASDAQ+RUSSELL2000,Industrials,72.91,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,93.08,52.87,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
19,LILA,LIBERTY LATIN AMERICA LTD CLASS A,NASDAQ+RUSSELL2000,Communication,72.88,82.0,early_transition,49.8,bullish_below_zero_proxy,93.02,52.85,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
20,LILAK,LIBERTY LATIN AMERICA LTD CLASS C,NASDAQ+RUSSELL2000,Communication,72.77,82.0,early_transition,49.8,bullish_below_zero_proxy,92.66,52.78,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
21,MLYS,MINERALYS THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,72.72,82.0,early_transition,61.8,bullish_above_signal_proxy,82.99,51.85,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
22,DMRA,DAMORA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,72.58,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,91.63,53.58,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
23,CTMX,CYTOMX THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,72.56,82.0,early_transition,61.8,bullish_above_signal_proxy,82.49,51.75,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
24,CXT,CRANE NXT,RUSSELL2000,Information Technology,72.24,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,91.06,52.46,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
25,ATAI,ATAIBECKLEY INC,NASDAQ+RUSSELL2000,Health Care,72.18,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,90.44,53.34,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
26,LWAY,LIFEWAY FOODS INC,NASDAQ+RUSSELL2000,Consumer Staples,72.12,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,90.24,53.3,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
27,PVLA,PALVELLA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,72.1,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,90.18,53.29,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
28,BH,BIGLARI HOLDINGS INCINARY CLASS B,RUSSELL2000,Consumer Discretionary,71.79,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,89.72,52.19,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
29,CRBP,CORBUS PHARMACEUTICALS HOLDINGS IN,NASDAQ+RUSSELL2000,Health Care,71.67,82.0,early_transition,61.8,bullish_above_signal_proxy,79.79,51.21,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
30,KOD,KODIAK SCIENCES INC,NASDAQ+RUSSELL2000,Health Care,71.49,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,88.34,52.92,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
31,ALMR,ALAMAR BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,71.2,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,87.48,52.75,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
32,ENTA,ENANTA PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,71.12,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,87.21,52.69,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
33,VITL,VITAL FARMS INC,NASDAQ+RUSSELL2000,Consumer Staples,70.94,82.0,early_transition,61.8,bullish_above_signal_proxy,77.58,50.77,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
34,XZO,EXZEO GROUP INC,RUSSELL2000,Financials,70.74,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,86.53,51.56,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
35,EDIT,EDITAS MEDICINE INC,NASDAQ+RUSSELL2000,Health Care,70.64,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,85.77,52.4,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
36,LYEL,LYELL IMMUNOPHARMA INC,NASDAQ+RUSSELL2000,Health Care,70.62,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,69.36,49.12,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
37,LMND,LEMONADE INC,RUSSELL2000,Financials,70.32,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,85.25,51.3,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
38,MANE,VERADERMICS INC,RUSSELL2000,Health Care,70.21,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,84.47,52.14,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
39,CGEM,CULLINAN THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,70.18,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,84.38,52.13,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
40,ALTI,ALTI GLOBAL INC CLASS A,NASDAQ+RUSSELL2000,Financials,70.12,82.0,early_transition,61.8,bullish_above_signal_proxy,75.56,49.36,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
41,GPGI,GPGI INC CLASS A,RUSSELL2000,Information Technology,70.05,82.0,early_transition,61.8,bullish_above_signal_proxy,75.33,49.32,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
42,NABL,N ABLE INC,RUSSELL2000,Information Technology,70.01,82.0,early_transition,61.8,bullish_above_signal_proxy,75.22,49.29,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
43,CGON,CG ONCOLOGY INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,69.97,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.73,52.0,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
44,ANAB,ANAPTYSBIO INC,NASDAQ+RUSSELL2000,Health Care,69.93,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.61,51.97,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
45,NP,NEPTUNE INSURANCE HOLDINGS INC CLA,RUSSELL2000,Financials,69.9,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.99,51.05,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
46,CTNM,CONTINEUM THERAPEUTICS INC CLASS A,NASDAQ+RUSSELL2000,Health Care,69.86,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.41,51.93,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
47,GT,GOODYEAR TIRE & RUBBER,NASDAQ+NASDAQ500+RUSSELL2000,Consumer Discretionary,69.85,82.0,early_transition,61.8,bullish_above_signal_proxy,74.73,49.2,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
48,ASMB,ASSEMBLY BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,69.84,82.0,early_transition,61.8,bullish_above_signal_proxy,74.24,50.1,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
49,BWIN,BALDWIN INSURANCE GROUP INC CLASS,NASDAQ+RUSSELL2000,Financials,69.71,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.4,50.93,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
50,OCUL,OCULAR THERAPEUTIX INC,NASDAQ+RUSSELL2000,Health Care,69.7,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,82.91,51.83,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
51,WAY,WAYSTAR HOLDING CORP,NASDAQ+RUSSELL2000,Health Care,69.66,82.0,early_transition,61.8,bullish_above_signal_proxy,73.7,49.99,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
52,TCI,TRANSCONTINENTAL REALTY INVESTORS,RUSSELL2000,Real Estate,69.64,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.18,50.89,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
53,NKTR,NEKTAR THERAPEUTICS,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,69.57,82.0,early_transition,61.8,bullish_above_signal_proxy,73.44,49.94,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
54,RCUS,ARCUS BIOSCIENCES INC,RUSSELL2000,Health Care,69.48,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,82.25,51.7,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
55,FLYW,FLYWIRE CORP,NASDAQ+RUSSELL2000,Financials,69.44,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,82.59,50.77,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
56,KRRO,KORRO BIO INC,NASDAQ+RUSSELL2000,Health Care,69.38,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.95,51.64,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
57,PCVX,VAXCYTE INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,69.36,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.9,51.63,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
58,CSTL,CASTLE BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,69.27,82.0,early_transition,61.8,bullish_above_signal_proxy,72.53,49.76,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
59,LXEO,LEXEO THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,69.16,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,64.93,48.24,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
60,WGS,GENEDX HOLDINGS CORP CLASS A,NASDAQ+RUSSELL2000,Health Care,69.16,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.28,51.51,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
61,SION,SIONNA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,69.14,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.21,51.49,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
62,BULL,WEBULL CORP CLASS A,NASDAQ+RUSSELL2000,Financials,69.04,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.37,50.52,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
63,PHAT,PHATHOM PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,69.0,82.0,early_transition,61.8,bullish_above_signal_proxy,71.71,49.59,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
64,TREE,LENDINGTREE INC,NASDAQ+RUSSELL2000,Financials,68.97,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.17,50.48,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
65,CELC,CELCUITY INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,68.75,82.0,early_transition,49.8,bullish_below_zero_proxy,80.03,51.26,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
66,PRAX,PRAXIS PRECISION MEDICINES INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,68.69,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.87,51.22,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
67,FOA,FINANCE OF AMERICA COMPANIES INC C,RUSSELL2000,Financials,68.67,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.25,50.3,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
68,CARG,CARGURUS INC CLASS A,NASDAQ+RUSSELL2000,Communication,68.65,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.19,50.29,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
69,DLO,DLOCAL CLASS A,NASDAQ+RUSSELL2000,Financials,68.62,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.11,50.27,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
70,EYE,NATIONAL VISION HOLDINGS INC,NASDAQ+RUSSELL2000,Consumer Discretionary,68.54,82.0,early_transition,61.8,bullish_above_signal_proxy,70.78,48.41,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
71,SVRA,SAVARA INC,NASDAQ+RUSSELL2000,Health Care,68.34,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.8,51.01,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
72,KROS,KEROS THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,68.25,82.0,early_transition,61.8,bullish_above_signal_proxy,69.43,49.14,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
73,ATEC,ALPHATEC HOLDNGS INC,NASDAQ+RUSSELL2000,Health Care,68.2,82.0,early_transition,61.8,bullish_above_signal_proxy,69.28,49.11,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
74,DFIN,DONNELLEY FINANCIAL SOLUTIONS INC,RUSSELL2000,Financials,68.2,82.0,early_transition,61.8,bullish_above_signal_proxy,69.73,48.2,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
75,NRDS,NERDWALLET INC CLASS A,NASDAQ+RUSSELL2000,Financials,68.13,82.0,early_transition,61.8,bullish_above_signal_proxy,69.52,48.15,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
76,ZNTL,ZENTALIS PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,68.09,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,78.04,50.86,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
77,EYPT,EYEPOINT INC,NASDAQ+RUSSELL2000,Health Care,68.01,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.78,50.81,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
78,CERS,CERUS CORP,NASDAQ+RUSSELL2000,Health Care,67.93,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.57,50.76,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
79,CNTB,CONNECT BIOPHARMA HOLDINGS LTD,NASDAQ+RUSSELL2000,Health Care,67.85,85.0,early_transition,51.15,bullish_below_zero_proxy,73.56,49.96,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
80,USPH,US PHYSICAL THERAPY INC,RUSSELL2000,Health Care,67.81,82.0,early_transition,61.8,bullish_above_signal_proxy,68.1,48.87,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
81,NSP,INSPERITY INC,RUSSELL2000,Industrials,67.78,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.57,49.76,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
82,CYTK,CYTOKINETICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,67.77,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.07,50.66,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
83,PRLD,PRELUDE THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,67.76,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.05,50.66,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
84,MQ,MARQETA INC CLASS A,NASDAQ+RUSSELL2000,Financials,67.74,82.0,early_transition,20.0,fresh_bearish_cross_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
85,CERT,CERTARA INC,NASDAQ+RUSSELL2000,Health Care,67.7,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,76.87,50.62,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
