buy_date,latest_date,strategy,universe,ticker,name,sector,original_rank,current_rank,return,buy_close,latest_close,selection_reason,signal_reason
2026-08-27,2026-09-15,Aster Research,v5 Risk Adjusted,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,,1,48,0.03422650,133.229996,137.789993,Research当日前50,
2026-08-27,2026-09-15,Aster Research,单一趋势 Trend Relay,QCOM,Qualcomm,Information Technology,1,2,0.13970145,164.779999,187.800003,Research当日前50,
2026-08-27,2026-09-15,Aster Research,共识Agent 多榜单共振,WAT,Waters Corporation,Health Care,4,33,-0.01020502,421.359985,417.059998,Research当日前50,
2026-08-27,2026-09-15,Aster Research,v4 Tactical Breakout,CLMB,CLIMB GLOBAL SOLUTIONS INC,Information Technology,5,30,-0.02271945,29.049999,28.389999,Research当日前50,
2026-08-27,2026-09-15,Aster Research,单一趋势 Trend Relay,FFIV,"F5, Inc.",Information Technology,5,1,0.05036323,410.220001,430.880005,Research当日前50,
2026-08-27,2026-09-15,Aster Research,v2 Balanced,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,,6,49,0.03422650,133.229996,137.789993,Research当日前50,
2026-08-27,2026-09-15,Aster Research,共识Agent 多榜单共振,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,,6,38,0.03422650,133.229996,137.789993,Research当日前50,
2026-08-27,2026-09-15,Aster Research,单一趋势 Trend Relay,GEN,Gen Digital,Information Technology,6,8,0.02393443,30.500000,31.230000,Research当日前50,
2026-08-27,2026-09-15,Aster Research,单一信号 EMA Candle Capture,GATX,GATX,Industrials,10,2,-0.00201489,178.669998,178.309998,Research当日前50,
2026-08-27,2026-09-15,Aster Research,单一信号 EMA Candle Capture,HG,HAMILTON INSURANCE GROUP CLASS B,Financials,11,14,-0.00056710,35.259998,35.240002,Research当日前50,
2026-08-27,2026-09-15,Aster Research,共识Agent 多榜单共振,QCOM,Qualcomm,Information Technology,14,42,0.13970145,164.779999,187.800003,Research当日前50,
2026-08-27,2026-09-15,Aster Research,v3 Quality Momentum,QCOM,Qualcomm,Information Technology,16,46,0.13970145,164.779999,187.800003,Research当日前50,
2026-08-27,2026-09-15,Aster Research,v4 Tactical Breakout,WAT,Waters Corporation,Health Care,19,11,-0.01020502,421.359985,417.059998,Research当日前50,
2026-08-27,2026-09-15,Aster Research,v2 Balanced,WAT,Waters Corporation,Health Care,22,17,-0.01020502,421.359985,417.059998,Research当日前50,
2026-08-27,2026-09-15,Aster Research,Deep v3 Daily CNN 确认层,EG,Everest Group,Financials,24,29,0.00166189,379.089996,379.720001,Research当日前50,
2026-08-27,2026-09-15,Aster Research,Deep v4 Shape Embedding 确认层,EG,Everest Group,Financials,24,28,0.00166189,379.089996,379.720001,Research当日前50,
2026-08-27,2026-09-15,Aster Research,单一趋势 Trend Relay,IBM,IBM,Information Technology,26,33,0.04048419,238.735001,248.399994,Research当日前50,
2026-08-27,2026-09-15,Aster Research,单一趋势 Trend Relay,V,Visa Inc.,Financials,31,29,-0.01039199,379.619995,375.674988,Research当日前50,
2026-08-27,2026-09-15,Aster Research,v5 Risk Adjusted,WAT,Waters Corporation,Health Care,34,28,-0.01020502,421.359985,417.059998,Research当日前50,
2026-08-27,2026-09-15,Aster Research,v3 Quality Momentum,V,Visa Inc.,Financials,35,41,-0.01039199,379.619995,375.674988,Research当日前50,
2026-08-27,2026-09-15,Aster Research,单一信号 EMA Candle Capture,PRSU,PURSUIT ATTRACTIONS AND HOSPITALIT,Consumer Discretionary,36,50,-0.00263640,49.310001,49.180000,Research当日前50,
2026-08-27,2026-09-15,Aster Research,v3 Quality Momentum,IBM,IBM,Information Technology,38,19,0.04048419,238.735001,248.399994,Research当日前50,
2026-08-27,2026-09-15,Aster Research,单一趋势 Trend Relay,IQV,IQVIA,Health Care,40,42,0.02748862,262.290009,269.500000,Research当日前50,
2026-08-27,2026-09-15,Aster Research,v4 Tactical Breakout,PBI,PITNEY BOWES,Industrials,42,18,0.00462963,17.280001,17.360001,Research当日前50,
2026-08-27,2026-09-15,Aster Research,v3 Quality Momentum,RMD,ResMed|,Health Care,45,27,-0.02591619,235.759995,229.649994,Research当日前50,连续至少3个快照排名改善
