rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note,confirmation_layer,confirmation_hit,confirmation_score,model_data_date
1,ECVT,ECOVYST,Materials,95.49,Deep v3 Daily CNN 确认层 强确认,10.88,66.64,1.98,0.02738432,0.06042885,0.04716073,90.4,48.11,100.0,80.0,100.0,72.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 95.5,Deep v3 Daily CNN 确认层,yes,95.49,2026-09-16
2,BBSI,BARRETT BUSINESS SERVICES INC,Industrials,92.42,Deep v3 Daily CNN 确认层 强确认,34.299999,62.22,0.97,0.01825732,0.05506002,0.09374993,90.4,48.37,100.0,80.0,68.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 92.4,Deep v3 Daily CNN 确认层,yes,92.42,2026-09-16
3,HONA,Honeywell Aerospace,Industrials,89.14,Deep v3 Daily CNN 确认层 强确认,164.179993,56.03,1.04,0.01152113,0.08312436,0.01615390,87.7,56.86,88.8,80.0,68.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 89.1,Deep v3 Daily CNN 确认层,yes,89.14,2026-09-16
4,PRLB,PROTO LABS,Industrials,81.86,Deep v3 Daily CNN 确认层 强确认,83.220001,58.57,2.15,0.06501154,0.02880457,-0.08317722,92.8,46.51,64.3,80.69,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 81.9,Deep v3 Daily CNN 确认层,yes,81.86,2026-09-16
5,ESQ,ESQUIRE FINANCIAL HOLDINGS INC,Financials,81.05,Deep v3 Daily CNN 确认层 强确认,121.120003,57.61,1.97,0.00132278,0.03037005,-0.02251635,87.7,71.66,81.1,80.69,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 81.0,Deep v3 Daily CNN 确认层,yes,81.05,2026-09-16
6,FTK,FLOTEK INDUSTRIES INC,Materials,75.92,Deep v3 Daily CNN 确认层 一般确认,28.120001,64.11,1.58,0.04984137,0.00824676,-0.01952577,87.7,71.17,61.5,80.69,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 75.9,Deep v3 Daily CNN 确认层,no,75.92,2026-09-16
7,BRKR,Bruker Corporation - Common Stock,,64.96,Deep v3 Daily CNN 确认层 一般确认,60.669998,64.37,1.89,0.09969187,0.11413086,0.05147308,92.8,57.37,68.6,80.0,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 65.0,Deep v3 Daily CNN 确认层,no,64.96,2026-09-16
8,FIVN,FIVE9,Information Technology,60.25,Deep v3 Daily CNN 确认层 一般确认,34.080002,59.79,2.52,0.01731349,0.12216006,0.07035182,90.4,54.94,90.2,81.08,66.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 60.2,Deep v3 Daily CNN 确认层,no,60.25,2026-09-16
9,VTRS,Viatris,Health Care,59.73,Deep v3 Daily CNN 确认层 一般确认,17.02,60.89,1.3,0.02684760,0.03120273,0.04867529,98.2,72.09,100.0,80.44,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 59.7,Deep v3 Daily CNN 确认层,no,59.73,2026-09-16
10,BLLN,"BillionToOne, Inc. - Class A common stock",,59.32,Deep v3 Daily CNN 确认层 一般确认,103.610001,58.96,0.77,-0.00293509,0.04624863,0.10364299,87.7,57.48,100.0,80.0,68.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 59.3,Deep v3 Daily CNN 确认层,no,59.32,2026-09-16
