current_rank,ticker,name,sector,2026-08-13__predicted_rank,2026-08-13__close,2026-08-13__next_snapshot_return,2026-08-12__predicted_rank,2026-08-12__close,2026-08-12__next_snapshot_return,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,CCSI,CONSENSUS CLOUD SOLUTIONS INC,Information Technology,1,37.549999,,2,37.939999,-0.01027939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MCFT,MASTERCRAFT BOAT HOLDINGS INC,Consumer Discretionary,2,24.84,,,,,,,,,,,,,,,,,50,25.18,,,,,,,,,,,,,,,,,,,,16,24.860001,,,,,,,,,,,,,,,,,,,
3,FRAF,FRANKLIN FINANCIAL SERVICES CORP,Financials,3,64.349998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UNP,Union Pacific Corporation,Industrials,4,297.355011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NECB,NORTHEAST COMMUNITY BANCORP INC,Financials,5,27.049999,,4,26.959999,0.00333828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CNOB,CONNECTONE BANCORP,Financials,6,33.494999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,33.099998,,,,,,,,,,,,,,,,,,,,,,
7,EFSC,ENTERPRISE FINANCIAL SERVICES CORP,Financials,7,66.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NAT,NORDIC AMERICAN TANKERS LTD,Energy,8,6.6502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CWH,CAMPING WORLD HOLDINGS INC CLASS A,Consumer Discretionary,9,6.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AVBH,AVIDBANK HOLDINGS INC,Financials,10,33.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CMTV,COMMUNITY BANCORP VT,Financials,11,40.490002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,40.560001,,,,,,,,,,,,,,,,
12,JBSS,JOHN B SANFILIPPO AND SON,Consumer Staples,12,85.839996,,1,84.599998,0.01465719,,,,,,,,,,,,,,,,,,,32,84.959999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,FRBA,FIRST BANK,Financials,13,19.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,17.98,,,,,,,,,,,,,,,,
14,COFS,CHOICEONE FINANCIAL SERVICES INC,Financials,14,34.549999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ANTX,AN2 THERAPEUTICS INC,Health Care,15,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,FRST,PRIMIS FINANCIAL CORP,Financials,16,16.795,,16,16.59,0.01235684,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16.040001,,,,,,,,,,,,,,,,,,,,,,,,,
17,RILY,BRC GROUP HOLDINGS INC,Financials,17,7.525,,27,7.55,-0.00331126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,OSW,ONESPAWORLD HOLDINGS LTD,Consumer Discretionary,18,26.860001,,,,,,,,,,,,,,22,26.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
