current_rank,ticker,name,sector,2026-09-17__predicted_rank,2026-09-17__close,2026-09-17__next_snapshot_return,2026-09-16__predicted_rank,2026-09-16__close,2026-09-16__next_snapshot_return,2026-09-15__predicted_rank,2026-09-15__close,2026-09-15__next_snapshot_return,2026-09-14__predicted_rank,2026-09-14__close,2026-09-14__next_snapshot_return,2026-09-11__predicted_rank,2026-09-11__close,2026-09-11__next_snapshot_return,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return
1,TENB,TENABLE HOLDINGS,Information Technology,1,36.580002,,45,36.369999,0.00577407,,,,,,,,,,,,,,,,,,,,,
2,FFIV,"F5, Inc.",Information Technology,2,436.429993,,1,423.589996,0.03031232,1,430.880005,-0.01691888,8,411.48999,0.04712147,27,411.709991,-0.00053436,,,,,,,,,,,,
3,FTNT,Fortinet,Information Technology,3,173.675003,,9,171.770004,0.01109041,2,172.369995,-0.00348083,,,,,,,,,,,,,,,,,,
4,GATX,GATX,Industrials,4,182.317505,,,,,,,,,,,,,,,,,,,,,,,,,
5,PNTG,PENNANT GROUP,Health Care,5,41.049999,,,,,21,39.970001,,9,40.110001,-0.00349040,42,39.200001,0.02321429,5,39.299999,-0.00254448,,,,,,,,,
6,VRSN,Verisign,Information Technology,6,301.720001,,3,298.459991,0.01092277,25,297.26001,0.00403681,1,298.600006,-0.00448760,,,,,,,,,,,,,,,
7,NTAP,NetApp,Information Technology,7,198.369995,,,,,,,,,,,,,,,,,,,,,,,,,
8,IBRX,IMMUNITYBIO,Health Care,8,8.735,,,,,,,,,,,,,,,,,,,,,,,,,
9,ICLR,ICON plc - Ordinary Shares,,9,172.104996,,5,173.940002,-0.01054965,,,,,,,,,,,,,,,,,,,,,
10,EBAY,eBay Inc.,Consumer Discretionary,10,112.889999,,20,109.169998,0.03407531,27,108.029999,0.01055262,14,108.989998,-0.00880814,28,107.75,0.01150810,,,,,,,,,,,,
11,OPCH,OPTION CARE HEALTH INC,Health Care,11,24.115,,,,,,,,,,,,,,,,,,,,,,,,,
