current_rank,ticker,name,sector,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,CBOE,Cboe Global Markets,Financials,1,282.380005,,,,,,,,,,
2,COIN,Coinbase,Financials,2,170.169998,,1,175.850006,-0.03230030,,,,,,
3,ASIX,ADVANSIX INC,Materials,3,21.959999,,12,21.525,0.02020901,,,,,,
4,CME,CME Group,Financials,4,250.884995,,,,,,,,,,
5,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,5,16.34,,,,,,,,,,
6,EXE,Expand Energy,Energy,6,91.934998,,,,,,,,,,
7,GWRS,GLOBAL WATER RESOURCES INC,Utilities,7,7.24,,,,,,,,,,
8,EGY,VAALCO ENERGY INC,Energy,8,5.58,,,,,,,,,,
9,LBRX,LB PHARMACEUTICALS INC,Health Care,9,34.639999,,,,,,,,,,
10,MRK,Merck & Co.,Health Care,10,128.449997,,,,,,,,40,127.5,
11,HPE,Hewlett Packard Enterprise,Information Technology,11,48.825001,,,,,,,,,,
12,PRGO,PERRIGO PLC,Health Care,12,10.78,,,,,25,10.58,,,,
13,AMD,Advanced Micro Devices,Information Technology,13,555.349976,,,,,,,,,,
14,CMCSA,Comcast,Communication Services,14,23.855,,36,23.809999,0.00189000,34,23.780001,0.00126148,,,
15,CHCO,CITY HOLDING,Financials,15,138.899994,,,,,,,,,,
16,RCUS,ARCUS BIOSCIENCES INC,Health Care,16,29.440001,,,,,,,,,,
17,ISSC,INNOVATIVE SOLUTIONS AND SUPPORT I,Industrials,17,19.01,,38,19.219999,-0.01092607,,,,,,
18,BRKR,Bruker Corporation - Common Stock,,18,60.23,,,,,,,,,,
19,NTGR,NETGEAR INC,Information Technology,19,24.264999,,37,24.235001,0.00123780,,,,,,
20,APA,APA Corporation,Energy,20,36.055,,47,35.77,0.00796757,,,,,,
21,DVN,Devon Energy,Energy,21,44.825001,,48,44.099998,0.01643998,,,,,,
22,VNOM,"Viper Energy, Inc.  - Class A Common Stock",,22,45.080002,,49,44.860001,0.00490417,,,,,,
23,DCO,DUCOMMUN INC,Industrials,23,174.294998,,,,,,,,,,
24,UVV,UNIVERSAL CORP,Consumer Staples,24,53.34,,,,,,,,,,
25,MOS,Mosaic Company (The),Materials,25,22.879999,,,,,,,,,,
26,TFIN,TRIUMPH FINANCIAL INC,Financials,26,81.389999,,,,,,,,,,
27,TWST,TWIST BIOSCIENCE CORP,Health Care,27,95.400002,,21,95.860001,-0.00479865,,,,,,
28,NE,NOBLE CORPORATION PLC,Energy,28,43.455002,,,,,,,,,,
29,HON,Honeywell Technologies,Industrials,29,234.122803,,,,,,,,,,
30,CSTL,CASTLE BIOSCIENCES INC,Health Care,30,24.5741,,,,,,,,,,
31,SCSC,SCANSOURCE INC,Information Technology,31,54.490002,,,,,,,,,,
32,GLIBA,LIBERTY CAPITAL CORP SERIES A,Communication,32,22.709999,,,,,,,,,,
33,TWIN,TWIN DISC INC,Industrials,33,23.290001,,,,,,,,,,
34,CCBG,CAPITAL CITY BANK INC,Financials,34,50.82,,,,,,,,,,
35,MATV,MATIV HOLDINGS INC,Materials,35,8.07,,20,8.055,0.00186220,,,,,,
36,HMH,HMH HOLDING INC CLASS A,Energy,36,20.16,,6,19.85,0.01561713,,,,,,
37,SRI,STONERIDGE INC,Consumer Discretionary,37,7.38,,,,,,,,,,
38,ICE,Intercontinental Exchange,Financials,38,142.259995,,,,,,,,,,
39,GM,General Motors,Consumer Discretionary,39,82.830002,,8,79.510002,0.04175575,,,,,,
40,LOGI,Logitech International S.A. - Registered Shares,,40,104.599998,,,,,,,,,,
41,CNK,CINEMARK HOLDINGS INC,Communication,41,32.150002,,,,,,,,,,
42,PEBO,PEOPLES BANCORP INC,Financials,42,39.75,,,,,,,,,,
43,AKAM,Akamai Technologies,Information Technology,43,124.050003,,4,124.910004,-0.00688496,11,123.129997,0.01445632,,,
44,ILPT,INDUSTRIAL LOGISTICS PROPERTIES TR,Real Estate,44,8.92,,3,9.2,-0.03043478,,,,,,
45,PCAR,Paccar,Industrials,45,129.940002,,,,,,,,,,
46,WHD,CACTUS INC CLASS A,Energy,46,56.0,,,,,,,,,,
47,PMTS,CPI CARD GROUP INC,Information Technology,47,19.344999,,2,20.190001,-0.04185250,,,,,,
48,VOR,VOR BIOPHARMA INC,Health Care,48,19.02,,10,20.049999,-0.05137152,,,,,,
49,PNRG,PRIMEENERGY RESOURCES CORP,Energy,49,195.770004,,23,189.860001,0.03112822,44,187.240005,0.01399271,,,
50,MEI,METHODE ELECTRONICS INC,Information Technology,50,16.610001,,,,,,,,,,
