current_rank,ticker,name,sector,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,CHD,Church & Dwight,Consumer Staples,1,97.129997,
2,RELL,RICHARDSON ELECTRONICS LTD,Information Technology,2,18.01,
3,SHLS,SHOALS TECHNOLOGIES GROUP INC CLAS,Industrials,3,10.43,
4,PEBK,PEOPLES BANCORP OF NORTH CAROLINA,Financials,4,42.82,
5,SPOK,SPOK HOLDINGS INC,Communication,5,10.65,
6,MLAB,MESA LABORATORIES INC,Health Care,6,98.57,
7,PHIN,PHINIA INC,Consumer Discretionary,7,79.650002,
8,ARX,ACCELERANT HOLDINGS CLASS A,Financials,8,13.465,
9,CSW,CSW INDUSTRIALS INC,Industrials,9,282.359985,
10,EXC,Exelon,Utilities,10,46.700001,
11,CMT,CORE MOLDING TECHNOLOGIES INC,Materials,11,24.780001,
12,GLNG,GOLAR LNG LTD,Energy,12,49.73,
13,AVGO,Broadcom,Information Technology,13,396.809998,
14,DUK,Duke Energy,Utilities,14,127.919998,
15,DE,Deere & Company,Industrials,15,607.744995,
16,SW,Smurfit Westrock,Materials,16,44.5,
17,ETN,Eaton Corporation,Industrials,17,407.065002,
18,ARE,Alexandria Real Estate Equities,Real Estate,18,49.640999,
19,GWRS,GLOBAL WATER RESOURCES INC,Utilities,19,7.16,
20,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,20,16.290001,
21,FLR,FLUOR CORP,Industrials,21,51.580002,
22,SMC,SUMMIT MIDSTREAM CORP,Energy,22,30.33,
23,UFPI,UFP INDUSTRIES INC,Industrials,23,86.699997,
24,CDRE,CADRE HOLDINGS INC,Industrials,24,29.93,
25,RSVR,RESERVOIR MEDIA INC,Communication,25,10.26,
26,KRO,KRONOS WORLDWIDE INC,Materials,26,7.12,
27,NPKI,NPK INTERNATIONAL INC,Industrials,27,14.81,
28,PLOW,DOUGLAS DYNAMICS INC,Industrials,28,46.540001,
29,ARVN,ARVINAS INC,Health Care,29,8.26,
30,CTOS,CUSTOM TRUCK ONE SOURCE INC,Industrials,30,10.515,
31,NVDA,Nvidia,Information Technology,31,212.059998,
32,CME,CME Group,Financials,32,249.240005,
33,GM,General Motors,Consumer Discretionary,33,82.129997,
34,APH,Amphenol,Information Technology,34,157.490005,
35,PKG,Packaging Corporation of America,Materials,35,228.130005,
36,CIX,COMPX INTERNATIONAL INC CLASS A,Industrials,36,26.184999,
37,ARKO,ARKO,Consumer Discretionary,37,8.18,
38,DGX,Quest Diagnostics,Health Care,38,209.990005,
39,LXEO,LEXEO THERAPEUTICS INC,Health Care,39,4.87,
40,FDX,FedEx,Industrials,40,320.980011,
41,TPR,"Tapestry, Inc.",Consumer Discretionary,41,143.667007,
42,RL,Ralph Lauren Corporation,Consumer Discretionary,42,386.859985,
43,SGP,SPYGLASS PHARMA INC SHS,Health Care,43,20.540001,
44,HMH,HMH HOLDING INC CLASS A,Energy,44,21.049999,
45,DOLE,DOLE PLC,Consumer Staples,45,14.295,
46,KWR,QUAKER HOUGHTON CORP,Materials,46,152.210007,
47,SMP,STANDARD MOTOR PRODUCTS INC,Consumer Discretionary,47,38.700001,
48,NRG,NRG Energy,Utilities,48,139.929993,
49,PPL,PPL Corporation,Utilities,49,36.07,
50,CI,Cigna,Health Care,50,284.86499,
