current_rank,ticker,name,sector,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,GWRS,GLOBAL WATER RESOURCES INC,Utilities,1,7.16,
2,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,2,16.290001,
3,GM,General Motors,Consumer Discretionary,3,82.129997,
4,DUK,Duke Energy,Utilities,4,127.919998,
5,DGX,Quest Diagnostics,Health Care,5,209.990005,
6,SWK,Stanley Black & Decker,Industrials,6,89.269997,
7,CNR,CORE NATURAL RESOURCES INC,Energy,7,87.525002,
8,FLR,FLUOR CORP,Industrials,8,51.580002,
9,DVN,Devon Energy,Energy,9,44.860001,
10,TXT,Textron,Industrials,10,91.675003,
11,CBOE,Cboe Global Markets,Financials,11,282.024994,
12,CME,CME Group,Financials,12,249.240005,
13,TWST,TWIST BIOSCIENCE CORP,Health Care,13,94.209999,
14,NTGR,NETGEAR INC,Information Technology,14,24.620001,
15,INVX,INNOVEX INTERNATIONAL INC,Energy,15,27.190001,
16,PNRG,PRIMEENERGY RESOURCES CORP,Energy,16,193.395004,
17,ILPT,INDUSTRIAL LOGISTICS PROPERTIES TR,Real Estate,17,9.13,
18,MGEE,MGE ENERGY INC,Utilities,18,82.989998,
19,ARKO,ARKO,Consumer Discretionary,19,8.18,
20,CDRE,CADRE HOLDINGS INC,Industrials,20,29.93,
21,RCUS,ARCUS BIOSCIENCES INC,Health Care,21,29.98,
22,TFIN,TRIUMPH FINANCIAL INC,Financials,22,81.620003,
23,HMH,HMH HOLDING INC CLASS A,Energy,23,21.049999,
24,GATX,GATX CORP,Industrials,24,180.330002,
25,ALLE,Allegion,Industrials,25,140.050003,
26,GLIBA,LIBERTY CAPITAL CORP SERIES A,Communication,26,23.08,
27,VVX,V2X INC,Industrials,27,81.014999,
28,TPL,Texas Pacific Land Corporation,Energy,28,433.299988,
29,CSTL,CASTLE BIOSCIENCES INC,Health Care,29,24.809999,
30,FDX,FedEx,Industrials,30,320.980011,
31,SRI,STONERIDGE INC,Consumer Discretionary,31,7.39,
32,ICE,Intercontinental Exchange,Financials,32,142.535004,
33,PHAT,PHATHOM PHARMACEUTICALS INC,Health Care,33,11.7,
34,TWIN,TWIN DISC INC,Industrials,34,23.299999,
35,ONC,BeOne Medicines Ltd. - American Depositary Shares,,35,319.929993,
36,AVGO,Broadcom,Information Technology,36,396.809998,
37,UVV,UNIVERSAL CORP,Consumer Staples,37,53.75,
38,SPOK,SPOK HOLDINGS INC,Communication,38,10.65,
39,CZR,"Caesars Entertainment, Inc. - Common Stock",,39,29.940001,
40,BRKR,Bruker Corporation - Common Stock,,40,59.740002,
41,JBHT,J.B. Hunt,Industrials,41,292.23999,
42,BKV,BKV CORP,Energy,42,26.530001,
43,REG,Regency Centers,Real Estate,43,82.220001,
44,HIG,Hartford (The),Financials,44,140.759995,
45,GNE,GENIE ENERGY LTD CLASS B,Utilities,45,14.53,
46,OIS,OIL STATES INTERNATIONAL INC,Energy,46,8.72,
47,CMP,COMPASS MINERALS INTERNATIONAL INC,Materials,47,30.115,
48,EXE,Expand Energy,Energy,48,93.169998,
49,APA,APA Corporation,Energy,49,36.18,
50,CNX,CNX RESOURCES CORP,Energy,50,34.639999,
