current_rank,ticker,name,sector,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,AVT,"Avnet, Inc. - Common Stock",,1,89.735001,,1,90.129997,-0.00438251,13,89.849998,0.00311629,,,,,,
2,KMT,KENNAMETAL INC,Industrials,2,35.100101,,,,,,,,,,,,,
3,ETN,Eaton Corporation,Industrials,3,413.160004,,,,,,,,,,,,,
4,HAS,Hasbro,Consumer Discretionary,4,86.955002,,,,,,,,50,81.589996,,,,
5,GM,General Motors,Consumer Discretionary,5,79.689003,,,,,11,79.510002,,,,,,,
6,FEIM,FREQUENCY ELECTRONICS INC,Information Technology,6,72.900002,,5,72.389999,0.00704521,,,,15,66.720001,,,,
7,NDSN,Nordson Corporation,Industrials,7,293.540009,,,,,,,,,,,,,
8,BKV,BKV CORP,Energy,8,26.709999,,,,,,,,,,,,,
9,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,Industrials,9,7.52,,46,7.48,0.00534759,,,,,,,,,
10,OEC,ORION SA,Materials,10,7.115,,,,,,,,,,,,,
11,KLTR,KALTURA INC,Information Technology,11,1.4401,,,,,,,,,,,,,
12,CNK,CINEMARK HOLDINGS INC,Communication,12,31.945,,10,32.240002,-0.00915019,27,31.52,0.02284270,12,31.969999,-0.01407567,,,
13,TXNM,TXNM ENERGY INC,Utilities,13,58.27,,,,,,,,,,,,,
14,RYAM,RAYONIER ADVANCED MATERIALS INC,Materials,14,8.745,,,,,,,,,,,43,8.23,
15,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,15,15.99,,7,16.290001,-0.01841627,47,16.18,0.00679858,,,,,,
16,TEX,TEREX CORP,Industrials,16,69.18,,,,,,,,,,,,,
17,SRI,STONERIDGE INC,Consumer Discretionary,17,7.08,,9,7.39,-0.04194858,26,7.37,0.00271370,,,,,,
18,EFOR,EVERFORTH INC,Information Technology,18,19.940001,,,,,,,,,,,45,18.73,
19,AIRS,AIRSCULPT TECHNOLOGIES INC,Health Care,19,4.67,,16,4.82,-0.03112033,32,4.86,-0.00823045,20,4.78,0.01673640,,,
20,F,Ford Motor Company,Consumer Discretionary,20,14.145,,17,14.405,-0.01804929,,,,,,,,,
21,MAT,"Mattel, Inc. - Common Stock",,21,14.2,,19,14.4,-0.01388889,,,,,,,,,
22,KRO,KRONOS WORLDWIDE INC,Materials,22,6.72,,,,,,,,,,,,,
