current_rank,ticker,name,sector,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,ASO,ACADEMY SPORTS AND OUTDOORS,Consumer Discretionary,1,49.424999,,7,49.889999,-0.00932051,,,,,,,,,,,,,,,,,,,,,,,,,46,50.419998,,41,49.900002,0.01042076,,,,,,,,,
2,DOW,Dow Inc.,Materials,2,31.395,,,,,,,,37,30.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DVN,Devon Energy,Energy,3,45.509998,,1,45.369999,0.00308572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,45.041302,,,,,9,44.860001,
4,EQT,EQT Corporation,Energy,4,54.169998,,2,54.09,0.00147898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CEG,Constellation Energy,Utilities,5,279.5,,44,270.429993,0.03353921,,,,,,,,,,47,267.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,INR,INFINITY NATURAL RESOURCES INC CLA,Energy,6,13.9,,9,13.94,-0.00286944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,13.29,,,,
7,SD,SANDRIDGE ENERGY INC,Energy,7,14.1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,T,AT&T,Communication Services,8,24.35,,30,24.075001,0.01142260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,HBAN,Huntington Bancshares,Financials,9,17.684999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,USAR,USA RARE EARTH CLASS A,Materials,10,19.165001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,INTU,Intuit,Information Technology,11,335.279999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,KGEI,KOLIBRI GLOBAL ENERGY INC,Energy,12,5.2672,,31,5.21,0.01097889,,,,,,,,,,,,,3,5.34,,,,,,,,,,,,,,,,,,,,,,,,,
13,OVBC,OHIO VALLEY BANC CORP,Financials,13,44.875,,,,,,,,27,43.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,NPO,ENPRO INC,Industrials,14,339.070007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
