current_rank,ticker,name,sector,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,ARR,ARMOUR RESIDENTIAL REIT,Financials,1,16.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GDOT,GREEN DOT CLASS A,Financials,2,13.305,,,,,,,,,,,5,13.475,,,,,,,,,,,,,,,,,21,13.375,,,,,,,,,,,,,
3,RHLD,RESOLUTE HOLDINGS MANAGEMENT INC,Industrials,3,133.309998,,,,,,,,,,,,,,,,,,,,,,,,,,50,126.089996,,,,,,,,,,,,,,,,
4,AVBP,ARRIVENT BIOPHARMA,Health Care,4,31.360001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MDGL,"Madrigal Pharmaceuticals, Inc. - Common Stock",,5,528.224976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,REFI,CHICAGO ATLANTIC REAL ESTATE FINAN,Financials,6,10.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PEBK,PEOPLES BANCORP OF NORTH CAROLINA,Financials,7,43.709999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,43.02,,,,,4,42.82,
8,XERS,XERIS BIOPHARMA HOLDINGS,Health Care,8,8.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CASY,Casey's,Consumer Staples,9,845.219971,,1,854.460022,-0.01081391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WAFD,WAFD INC,Financials,10,37.77,,3,37.330002,0.01178671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,FDMT,4D MOLECULAR THERAPEUTICS INC,Health Care,11,11.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,GNW,GENWORTH FINANCIAL INC,Financials,12,9.825,,5,9.795,0.00306279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,SNDA,SONIDA SENIOR LIVING,Health Care,13,39.849998,,4,41.990002,-0.05096461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,HROW,HARROW,Health Care,14,39.77,,24,40.700001,-0.02285015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CCSI,CONSENSUS CLOUD SOLUTIONS INC,Information Technology,15,36.549999,,6,36.98,-0.01162793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,RPRX,Royalty Pharma plc - Class A Ordinary Shares,,16,58.375,,7,57.970001,0.00698635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,LYB,LyondellBasell,Materials,17,64.294998,,,,,,,,32,61.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,LNN,LINDSAY,Industrials,18,115.916603,,11,115.360001,0.00482491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,EFC,ELLINGTON FINANCIAL,Financials,19,13.605,,9,13.48,0.00927300,,,,,,,,,,,,,,,,,,,,,,35,13.46,,13,13.545,-0.00627538,,,,,,,,,,,,
20,KYMR,KYMERA THERAPEUTICS,Health Care,20,107.769997,,10,108.580002,-0.00745998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ACEL,ACCEL ENTERTAINMENT INC CLASS A,Consumer Discretionary,21,12.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,HMH,HMH HOLDING INC CLASS A,Energy,22,19.530001,,8,20.5,-0.04731702,,,,41,19.93,,13,20.620001,-0.03346270,,,,,,,32,20.790001,,12,20.120001,0.03330020,,,,,,,,,,,,,,,,44,21.049999,
23,XENE,XENON PHARMACEUTICALS,Health Care,23,64.084999,,13,64.230003,-0.00225757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,IBKR,Interactive Brokers,Financials,24,89.648003,,27,90.660004,-0.01116260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,BNTX,BioNTech SE - American Depositary Shares,,25,92.205002,,14,92.800003,-0.00641165,1,93.669998,-0.00928787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,DVN,Devon Energy,Energy,26,45.509998,,28,45.369999,0.00308572,,,,,,,,,,46,44.060001,,,,,29,45.130001,,,,,,,,,,,,,,,,,,,,,,
27,UBER,Uber,Industrials,27,78.165001,,15,78.0,0.00211540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,RUM,RUM GROUP CLASS A,Communication,28,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,OIS,OIL STATES INTERNATIONAL,Energy,29,8.81,,19,8.84,-0.00339367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,IPI,INTREPID POTASH INC,Materials,30,37.424999,,17,37.75,-0.00860930,,,,37,34.872002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,AVTX,AVALO THERAPEUTICS INC,Health Care,31,19.120001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,CRC,CALIFORNIA RESOURCES,Energy,32,54.384998,,18,53.735001,0.01209634,,,,47,52.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PCYO,PURE CYCLE CORP,Utilities,33,11.31,,16,11.21,0.00892061,4,10.83,0.03508772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,CRVS,CORVUS PHARMACEUTICALS,Health Care,34,14.18,,20,13.74,0.03202329,3,13.92,-0.01293103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,CTKB,CYTEK BIOSCIENCES,Health Care,35,4.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,WEN,WENDYS,Consumer Discretionary,36,7.395,,23,7.3,0.01301370,5,7.69,-0.05071521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,BCRX,BIOCRYST PHARMACEUTICALS,Health Care,37,10.55,,12,9.84,0.07215447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MGPI,MGP INGREDIENTS INC,Consumer Staples,38,17.865,,2,17.790001,0.00421580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,SBUX,Starbucks,Consumer Discretionary,39,106.775002,,,,,,,,,,,,,,40,104.970001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Z,"Zillow Group, Inc. - Class C Capital Stock",,40,34.330002,,,,,,,,,,,,,,,,,,,,40,34.060001,,,,,30,34.0,,,,,,,,,,,,,,,,
41,BLDR,Builders FirstSource,Industrials,41,74.660004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,LEN,Lennar,Consumer Discretionary,42,87.370003,,29,85.620003,0.02043915,7,88.169998,-0.02892135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,AZO,AutoZone,Consumer Discretionary,43,3082.431885,,40,3069.090088,0.00434715,28,3126.830078,-0.01846598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,AJG,Arthur J. Gallagher & Co.,Financials,44,254.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,OTIS,Otis Worldwide,Industrials,45,73.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,73.199997,,,,,,,,,,
46,DHI,D. R. Horton,Consumer Discretionary,46,150.089996,,32,146.639999,0.02352698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,NVR,"NVR, Inc.",Consumer Discretionary,47,6383.839844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,CHDN,"Churchill Downs, Incorporated - Common Stock",,48,88.565002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,CPB,The Campbell's Company - Common Stock,,49,22.805,,,,,,,,,,,,,,49,22.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,COLB,"Columbia Banking System, Inc. - Common Stock",,50,31.674999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
