current_rank,ticker,name,sector,2026-09-15__predicted_rank,2026-09-15__close,2026-09-15__next_snapshot_return,2026-09-14__predicted_rank,2026-09-14__close,2026-09-14__next_snapshot_return,2026-09-11__predicted_rank,2026-09-11__close,2026-09-11__next_snapshot_return,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return,2026-09-02__predicted_rank,2026-09-02__close,2026-09-02__next_snapshot_return,2026-09-01__predicted_rank,2026-09-01__close,2026-09-01__next_snapshot_return,2026-08-31__predicted_rank,2026-08-31__close,2026-08-31__next_snapshot_return,2026-08-28__predicted_rank,2026-08-28__close,2026-08-28__next_snapshot_return,2026-08-27__predicted_rank,2026-08-27__close,2026-08-27__next_snapshot_return,2026-08-26__predicted_rank,2026-08-26__close,2026-08-26__next_snapshot_return,2026-08-25__predicted_rank,2026-08-25__close,2026-08-25__next_snapshot_return,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return
25,MBIN,MERCHANTS BANCORP,Financials,25,52.876598,,19,53.139999,-0.00495674,15,53.150002,-0.00018820,39,52.98,0.00320880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PRSU,PURSUIT ATTRACTIONS AND HOSPITALIT,Consumer Discretionary,26,49.389999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,49.84,,36,49.310001,0.01074831,5,49.98,-0.01340534,,,,,,,,,,,,,,,,,,
27,GRND,GRINDR INC,Communication,27,15.16,,21,15.71,-0.03500955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,HWC,HANCOCK WHITNEY,Financials,28,76.339996,,31,75.720001,0.00818800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,VERA,VERA THERAPEUTICS CLASS A,Health Care,29,33.310001,,23,34.049999,-0.02173269,1,35.049999,-0.02853067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MSI,Motorola Solutions,Information Technology,30,473.290009,,24,474.160004,-0.00183481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,USPH,US PHYSICAL THERAPY INC,Health Care,31,80.555,,40,80.589996,-0.00043425,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,79.245003,,,,,,,,,,,,,,,,,,,,,,
32,MSGE,MADISON SQUARE GARDEN ENTERTAINMEN,Communication,32,80.379997,,25,80.43,-0.00062170,4,79.379997,0.01322755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MDWD,MEDIWOUND LTD,Health Care,33,13.47,,27,13.88,-0.02953890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,XMAX,XMAX INC,Consumer Discretionary,34,8.81,,30,8.83,-0.00226501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,GHC,GRAHAM HOLDINGS COMPANY CLASS B,Consumer Discretionary,35,1154.709961,,47,1168.829956,-0.01208045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1181.795044,,,,,,,,,,,,,,,,
36,HBCP,HOME BANCORP INC,Financials,36,69.970001,,34,69.410004,0.00806796,,,,,,,43,68.809998,,32,69.480003,-0.00964313,15,70.360001,-0.01250708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
