current_rank,ticker,name,sector,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,WYNN,Wynn Resorts,Consumer Discretionary,1,99.309998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GEN,Gen Digital,Information Technology,2,27.450001,,7,27.290001,0.00586295,11,27.629999,-0.01230539,21,27.58,0.00181287,,,,,,,,,,,,,,,,,,,13,26.74,
3,VRSN,Verisign,Information Technology,3,290.019989,,,,,29,290.920013,,7,281.149994,0.03475020,1,274.820007,0.02303321,,,,,,,,,,,,,,,,,,
4,ULTA,Ulta Beauty,Consumer Discretionary,4,512.830017,,,,,7,508.089996,,6,501.519989,0.01310019,,,,,,,,,,,,,,,,1,488.079987,,9,479.570007,0.01774502
5,NTAP,NetApp,Information Technology,5,178.5,,6,173.979996,0.02598002,26,173.229996,0.00432950,23,174.529999,-0.00744859,9,169.800003,0.02785628,,,,,,,,,,,,,,,,,,
6,PTC,PTC Inc.,Information Technology,6,137.199997,,,,,,,,15,127.510002,,,,,,,,,,,,,,,,,,,,,,
7,FOXA,Fox Corporation (Class A),Communication Services,7,58.23,,,,,,,,,,,,,,,,,,,,,,,,,,11,57.48,,11,57.619999,-0.00242969
8,DASH,DoorDash,Consumer Discretionary,8,196.160004,,16,197.529999,-0.00693563,12,193.529999,0.02066863,,,,,,,,,,,,,,,,,,,,,,,,
9,NTNX,"Nutanix, Inc. - Class A Common Stock",,9,59.009998,,22,59.259998,-0.00421870,,,,44,59.049999,,18,56.849998,0.03869835,,,,,,,,,,,,,,,,,,
10,ILMN,"Illumina, Inc. - Common Stock",,10,205.100006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SSNC,"SS&C Technologies Holdings, Inc. - Common Stock",,11,77.050003,,20,77.169998,-0.00155494,,,,,,,20,75.040001,,,,,,,,,,,,,,21,69.510002,,28,69.559998,-0.00071875
12,Z,"Zillow Group, Inc. - Class C Capital Stock",,12,34.060001,,,,,42,34.0,,,,,,,,,,,,,,,,,,,,19,33.029999,,,,
13,APA,APA Corporation,Energy,13,37.32,,24,36.330002,0.02725015,,,,,,,,,,,,,,,,,,,,,,17,34.84,,19,35.220001,-0.01078935
14,PI,IMPINJ INC,Information Technology,14,151.360001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MELI,"MercadoLibre, Inc. - Common Stock",,15,1877.949951,,31,1885.72998,-0.00412574,47,1863.310059,0.01203231,38,1862.52002,0.00042418,,,,,,,,,,,,,,,,,,,,,
16,TTAN,SERVICETITAN INC CLASS A,Information Technology,16,83.059998,,28,79.870003,0.03993984,,,,47,78.389999,,,,,,,,,,,,,,,,,,,,,,
17,DNTH,DIANTHUS THERAPEUTICS INC,Health Care,17,106.919998,,,,,,,,,,,,,,,,,,,,,,,,,,28,101.0,,,,
18,HST,Host Hotels & Resorts,Real Estate,18,25.129999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,FIVN,FIVE9 INC,Information Technology,19,27.51,,32,27.66,-0.00542299,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AMT,American Tower,Real Estate,20,173.410004,,44,174.460007,-0.00601859,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,KR,Kroger,Consumer Staples,21,57.73,,38,57.860001,-0.00224682,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,HPE,Hewlett Packard Enterprise,Information Technology,22,47.860001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,BSX,Boston Scientific,Health Care,23,46.73,,39,46.0,0.01586957,,,,,,,32,45.509998,,,,,,,,,,,,,,,,,,,
24,APO,Apollo Global Management,Financials,24,125.699997,,,,,,,,,,,30,124.230003,,,,,,,,,,,,,,,,,,,
25,RMD,ResMed,Health Care,25,211.029999,,41,208.559998,0.01184312,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,LVS,Las Vegas Sands,Consumer Discretionary,26,48.900002,,,,,,,,,,,43,47.785,,,,,,,,,,,,,,,,,,,
27,LYB,LyondellBasell,Materials,27,62.110001,,,,,,,,,,,,,,21,60.334999,,16,61.709999,-0.02228164,15,62.279999,-0.00915222,,,,,,,,,
28,SYY,Sysco,Consumer Staples,28,85.25,,,,,,,,,,,,,,24,83.110001,,,,,,,,,,,,,,,,
