current_rank,ticker,name,sector,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,APO,Apollo Global Management,Financials,1,125.699997,,,,,,,,,,,,,,,,,,,,,,
2,TPG,TPG Inc. - Class A Common Stock,,2,43.66,,,,,,,,25,43.759998,,,,,,,,,,,,,
3,JCI,Johnson Controls,Industrials,3,146.669998,,,,,,,,,,,,,,12,143.449997,,,,,,,
4,AMT,American Tower,Real Estate,4,173.410004,,44,174.460007,-0.00601859,,,,,,,,,,,,,,,,,,
5,BEN,Franklin Resources,Financials,5,33.884998,,,,,,,,,,,,,,,,,,,,,,
6,WY,Weyerhaeuser,Real Estate,6,25.030001,,,,,,,,,,,,,,,,,,,,,,
7,Z,"Zillow Group, Inc. - Class C Capital Stock",,7,34.060001,,,,,25,34.0,,,,,,,,,,,,,,,,
8,BCPC,BALCHEM CORP,Materials,8,167.554993,,,,,,,,,,,,,,,,,,,,,,
9,HMH,HMH HOLDING INC CLASS A,Energy,9,20.790001,,,,,,,,,,,,,,,,,,,,23,21.049999,
10,TALO,TALOS ENERGY INC,Energy,10,15.185,,,,,,,,,,,,,,,,,,,,,,
11,TYRA,TYRA BIOSCIENCES INC,Health Care,11,31.879999,,6,33.060001,-0.03569274,,,,,,,,,,,,,,,,,,
12,ANET,Arista Networks,Information Technology,12,180.315002,,,,,,,,,,,,,,,,,,,,,,
13,HPE,Hewlett Packard Enterprise,Information Technology,13,47.860001,,,,,,,,,,,,,,,,,,,,,,
14,BSX,Boston Scientific,Health Care,14,46.73,,8,46.0,0.01586957,,,,,,,,,,,,,,,,,,
15,LYB,LyondellBasell,Materials,15,62.110001,,,,,,,,,,,,,,13,60.334999,,17,61.709999,-0.02228164,,,
16,AVGO,Broadcom,Information Technology,16,389.279999,,,,,,,,,,,,,,,,,,,,36,396.809998,
17,FTNT,Fortinet,Information Technology,17,161.949997,,,,,,,,,,,,,,,,,,,,,,
18,ZG,"Zillow Group, Inc. - Class A Common Stock",,18,34.689999,,,,,43,34.32,,,,,,,,,,,,,,,,
19,AVT,"Avnet, Inc. - Common Stock",,19,88.839996,,,,,,,,,,,,,,,,,,,,,,
20,FSS,FEDERAL SIGNAL CORP,Industrials,20,124.889999,,,,,,,,,,,,,,,,,,,,,,
21,SDRL,SEADRILL LTD,Energy,21,44.825001,,,,,,,,,,,,,,,,,,,,,,
22,BBT,BEACON FINANCIAL CORP,Financials,22,31.52,,,,,,,,,,,,,,,,,,,,,,
23,NBR,NABORS INDUSTRIES LTD,Energy,23,85.620003,,,,,,,,,,,,,,,,,,,,,,
24,PKOH,PARK OHIO HOLDINGS CORP,Industrials,24,39.93,,,,,,,,,,,,,,,,,,,,,,
25,IOSP,INNOSPEC INC,Materials,25,85.980003,,,,,,,,,,,,,,,,,,,,,,
26,FBK,FB FINANCIAL CORP,Financials,26,60.419998,,26,60.099998,0.00532446,,,,,,,,,,,,,,,,,,
27,ELVN,ENLIVEN THERAPEUTICS INC,Health Care,27,54.810001,,,,,,,,,,,,,,,,,,,,,,
28,ALMS,ALUMIS INC,Health Care,28,28.25,,,,,,,,,,,,,,,,,,,,,,
29,VRSN,Verisign,Information Technology,29,290.019989,,,,,,,,,,,1,274.820007,,,,,,,,,,
30,BKE,BUCKLE INC,Consumer Discretionary,30,43.73,,29,44.009998,-0.00636215,15,45.009998,-0.02221729,,,,,,,,,,,,,,,
31,AAMI,ACADIAN ASSET MANAGEMENT INC,Financials,31,86.370003,,,,,,,,,,,,,,,,,,,,,,
32,UHS,Universal Health Services,Health Care,32,168.529999,,23,163.289993,0.03209018,,,,,,,31,159.25,,2,155.839996,0.02188144,,,,,,
33,APA,APA Corporation,Energy,33,37.32,,13,36.330002,0.02725015,,,,,,,,,,,,,,,,49,36.18,
34,PAHC,PHIBRO ANIMAL HEALTH CORP CLASS A,Health Care,34,36.330002,,,,,,,,,,,,,,,,,,,,,,
35,STNE,STONECO LTD CLASS A,Financials,35,11.375,,15,11.43,-0.00481190,,,,,,,,,,,,,,,,,,
36,HST,Host Hotels & Resorts,Real Estate,36,25.129999,,,,,,,,,,,,,,,,,,,,,,
37,CHRD,Chord Energy Corporation - Common Stock,,37,140.380005,,,,,,,,,,,,,,,,,,,,,,
38,FOXA,Fox Corporation (Class A),Communication Services,38,58.23,,,,,,,,,,,,,,,,,,,,,,
39,LVS,Las Vegas Sands,Consumer Discretionary,39,48.900002,,,,,,,,,,,,,,,,,,,,,,
40,RMD,ResMed,Health Care,40,211.029999,,43,208.559998,0.01184312,,,,19,209.020004,,,,,,,,,,,,,
41,IRON,DISC MEDICINE INC,Health Care,41,77.0,,7,79.209999,-0.02790051,,,,,,,,,,,,,,,,,,
42,KKR,KKR & Co.,Financials,42,101.394997,,,,,,,,,,,,,,,,,,,,,,
43,CTS,CTS CORP,Information Technology,43,64.080002,,,,,,,,,,,,,,,,,,,,,,
44,SHAK,SHAKE SHACK INC CLASS A,Consumer Discretionary,44,62.768002,,,,,,,,,,,,,,,,,,,,,,
45,HLNE,Hamilton Lane Incorporated - Class A Common Stock,,45,88.910004,,,,,,,,,,,,,,,,,,,,,,
46,RYAM,RAYONIER ADVANCED MATERIALS INC,Materials,46,8.935,,,,,,,,,,,,,,,,,,,,,,
47,MUR,MURPHY OIL CORP,Energy,47,39.740002,,,,,,,,,,,,,,,,,,,,,,
48,DOX,Amdocs Limited - Ordinary Shares,,48,55.720001,,48,55.279999,0.00795952,,,,,,,,,,,,,,,,,,
