current_rank,ticker,name,sector,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,PCVX,VAXCYTE,Health Care,1,58.889999,,,,,,,,,,,,,,39,55.959999,,,,,,,,,,,,,,,,,,,
2,ANIP,ANI PHARMACEUTICALS,Health Care,2,82.629997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,OSW,ONESPAWORLD HOLDINGS LTD,Consumer Discretionary,3,26.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,OVBC,OHIO VALLEY BANC CORP,Financials,4,43.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CGEM,CULLINAN THERAPEUTICS,Health Care,5,17.950001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TARS,TARSUS PHARMACEUTICALS,Health Care,6,65.330002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MNSB,MAINSTREET BANCSHARES INC,Financials,7,24.059999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SNFCA,SECURITY NATIONAL FINANCIAL CORP C,Financials,8,9.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,LWAY,LIFEWAY FOODS INC,Consumer Staples,9,31.059999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,RCUS,ARCUS BIOSCIENCES,Health Care,10,28.344999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,STX,Seagate Technology,Information Technology,11,852.950012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,GNE,GENIE ENERGY LTD CLASS B,Utilities,12,14.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CRVL,CORVEL,Health Care,13,62.450001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
