ticker,name,index,sector,industry,market_cap,price,pe,revenue_growth_yoy,earnings_growth_yoy,ai_exposure,supply_chain_score,macro_beta,momentum_1m,volume_signal,atr_percent,risk_flags,total_score,leopold_score,seri_score,daoshi_score,cat_score,social_score,signal_count,risk_count,catalyst_count,thesis,caution
ADBE,Adobe Inc.,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Application Software,0.0,223.065002,0.0,0.0,0.0,0.0,0.0,1.0,-13.68122019249337,-0.17806058988981222,3.479447183100211,,40.68,35.0,30.0,65,32.16,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
TCOM,Trip.com Group Limited - American Depositary Shares,NASDAQ+NASDAQ200+NASDAQ500,,,0.0,41.110001,0.0,0.0,0.0,0.0,0.0,1.0,-14.461090002890353,-0.190485664472556,4.551377552004579,,40.47,35.0,30.0,65,31.12,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
AVAV,"AeroVironment, Inc. - Common Stock",NASDAQ+NASDAQ200+NASDAQ500,,,0.0,165.494995,0.0,0.0,0.0,0.0,0.0,1.0,-19.033757408035935,1.3659660886067964,8.228993744320961,,40.27,35.0,30.0,65,30.09,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
BIDU,"Baidu, Inc. - American Depositary Shares, each representing 8 ordinary share",NASDAQ+NASDAQ200+NASDAQ500,,,0.0,112.355003,0.0,0.0,0.0,0.0,0.0,1.0,-16.650593101247935,-0.042277076721525586,3.863391951364323,,40.19,35.0,30.0,65,29.68,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
TEAM,Atlassian Corporation  - Class A Common Stock,NASDAQ+NASDAQ200+NASDAQ500,,,0.0,88.150002,0.0,0.0,0.0,0.0,0.0,1.0,-13.152707389162565,-0.6228258916346495,5.486183491116492,,40.1,35.0,30.0,65,29.23,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
LOGI,Logitech International S.A. - Registered Shares,NASDAQ+NASDAQ200+NASDAQ500,,,0.0,97.269997,0.0,0.0,0.0,0.0,0.0,1.0,-18.047017136287526,0.05266401876057536,3.33754287783401,,40.0,35.0,30.0,65,28.76,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
STLD,Steel Dynamics,NASDAQ+NASDAQ200+NASDAQ500+SPX,Materials,Steel,0.0,225.065002,0.0,0.0,0.0,0.0,0.0,1.0,-18.70507598977622,-0.0843775639124561,4.123888109952722,,39.63,35.0,30.0,65,26.88,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
FTAI,FTAI Aviation Ltd. - Common Stock,NASDAQ+NASDAQ200+NASDAQ500,,,0.0,222.110001,0.0,0.0,0.0,0.0,0.0,1.0,-11.187970509624067,-0.26424896254794905,7.676696872375414,,39.54,35.0,30.0,65,26.46,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
CTSH,Cognizant,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,IT Consulting & Other Services,0.0,43.330002,0.0,0.0,0.0,0.0,0.0,1.0,-18.857677196341683,-0.1328072004634696,5.479539491894258,,39.51,35.0,30.0,65,26.31,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
ZM,"Zoom Communications, Inc. - Class A Common Stock",NASDAQ+NASDAQ200+NASDAQ500,,,0.0,85.839996,0.0,0.0,0.0,0.0,0.0,1.0,-18.410800479144573,-0.37456666899076785,3.867411060923161,,39.23,35.0,30.0,65,24.91,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
WDC,Western Digital,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,519.330017,0.0,0.0,0.0,0.0,0.0,1.0,-9.760205560382273,-0.12505768852600485,13.183191882177905,,38.51,35.0,30.0,65,21.29,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
MTSI,"MACOM Technology Solutions Holdings, Inc. - Common Stock",NASDAQ+NASDAQ200+NASDAQ500,,,0.0,304.230011,0.0,0.0,0.0,0.0,0.0,1.0,-20.512614582029954,0.20993003569633006,8.273582070395133,,38.06,35.0,30.0,65,19.06,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
KTOS,"Kratos Defense & Security Solutions, Inc. - Common Stock",NASDAQ+NASDAQ200+NASDAQ500,,,0.0,50.299999,0.0,0.0,0.0,0.0,0.0,1.0,-20.66246464787178,0.04187081326140296,6.662880706163493,,37.76,35.0,30.0,65,17.54,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
LITE,Lumentum,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Communications Equipment,0.0,690.809998,0.0,0.0,0.0,0.0,0.0,1.0,-26.904602195181116,-0.35716815700384885,10.050567344485446,,37.75,35.0,44.0,65,0.0,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
SNDK,Sandisk,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,1532.670044,0.0,0.0,0.0,0.0,0.0,1.0,-12.900641198039065,-0.19647750116926532,15.478217735129727,,37.64,35.0,30.0,65,16.95,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
STX,Seagate Technology,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,797.419983,0.0,0.0,0.0,0.0,0.0,1.0,-13.884600091627341,-0.13384015157520213,11.386096537215643,,37.5,35.0,30.0,65,16.27,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
AKAM,Akamai Technologies,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Internet Services & Infrastructure,0.0,114.360001,0.0,0.0,0.0,0.0,0.0,1.0,-28.066421010603126,-0.3960285524971966,4.940537295028529,,36.88,35.0,30.0,65,13.15,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
GFS,GlobalFoundries Inc. - Ordinary Share,NASDAQ+NASDAQ200+NASDAQ500,,,0.0,65.114998,0.0,0.0,0.0,0.0,0.0,1.0,-23.122785942955815,-0.3773428059203896,8.253311099146249,,36.5,35.0,30.0,65,11.23,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
NXT,Nextpower Inc. - Class A Common Stock,NASDAQ+NASDAQ200+NASDAQ500,,,0.0,108.75,0.0,0.0,0.0,0.0,0.0,1.0,-27.654340782461517,-0.08213324921950027,7.339704564860426,,35.88,35.0,30.0,65,8.16,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
MSTR,Strategy Inc - Class A Common Stock,NASDAQ+NASDAQ200+NASDAQ500,,,0.0,97.949997,0.0,0.0,0.0,0.0,0.0,1.0,-24.286928356146255,0.27631005760925365,9.729790497083938,,35.66,35.0,30.0,65,7.07,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
FLEX,Flex Ltd.,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Electronic Manufacturing Services,0.0,127.050003,0.0,0.0,0.0,0.0,0.0,1.0,-20.349816950342202,-0.3775331254218459,9.174677637973543,,35.56,35.0,30.0,65,6.56,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
NBIS,Nebius Group N.V. - Class A Ordinary Shares,NASDAQ+NASDAQ200+NASDAQ500,,,0.0,197.684998,0.0,0.0,0.0,0.0,0.0,1.0,-23.870686600997693,0.0016201411325600379,14.31942469836352,,35.32,35.0,30.0,65,5.37,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
TSEM,Tower Semiconductor Ltd. - Ordinary Shares,NASDAQ+NASDAQ200+NASDAQ500,,,0.0,205.145004,0.0,0.0,0.0,0.0,0.0,1.0,-21.49362612600839,-0.3813145690610412,11.254724208916844,,35.28,35.0,30.0,65,5.16,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
ARM,Arm Holdings plc - American Depositary Shares,NASDAQ+NASDAQ200+NASDAQ500,,,0.0,307.51001,0.0,0.0,0.0,0.0,0.0,1.0,-21.840685126877357,-0.5341034364456982,10.915138688145005,,34.95,35.0,30.0,65,3.52,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
CRWV,"CoreWeave, Inc. - Class A Common Stock",NASDAQ+NASDAQ200+NASDAQ500,,,0.0,80.790001,0.0,0.0,0.0,0.0,0.0,1.0,-25.21521637707319,-0.10623021055345505,10.4253536099279,,34.83,35.0,30.0,65,2.89,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
IREN,IREN Limited - Ordinary Shares,NASDAQ+NASDAQ200+NASDAQ500,,,0.0,39.950001,0.0,0.0,0.0,0.0,0.0,1.0,-35.418686785989536,-0.16115559014854286,11.123726522917622,,34.25,35.0,30.0,65,0.0,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
RKLB,Rocket Lab Corporation - Common Stock,NASDAQ+NASDAQ200+NASDAQ500,,,0.0,84.230003,0.0,0.0,0.0,0.0,0.0,1.0,-29.77907035712556,-0.24359822434374923,10.454790845557897,,34.25,35.0,30.0,65,0.0,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
STRL,"Sterling Infrastructure, Inc. - Common Stock",NASDAQ+NASDAQ200+NASDAQ500,,,0.0,655.0,0.0,0.0,0.0,0.0,0.0,1.0,-34.08738637961023,-0.19706023972749598,9.828462573609597,,34.25,35.0,30.0,65,0.0,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
CRWD,CrowdStrike,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Systems Software,0.0,196.800003,0.0,0.0,0.0,0.0,0.0,1.0,-72.63207726283763,1.2399725881842314,28.155122574580734,,34.25,35.0,30.0,65,0.0,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
SMCI,Supermicro,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,25.6299,0.0,0.0,0.0,0.0,0.0,1.0,-45.352027916757876,-0.2456399103375957,9.61460554163023,,34.25,35.0,30.0,65,0.0,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
