current_rank,ticker,name,sector,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,HII,Huntington Ingalls Industries,Industrials,1,300.390015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FDBC,FIDELITY D AND D BANCORP INC,Financials,2,53.040001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,WHD,CACTUS INC CLASS A,Energy,3,57.499802,,,,,,,,,,,,,,,,,36,56.0,,,,,,,,,,
4,MCHB,MECHANICS BANCORP CLASS A,Financials,4,16.799999,,5,16.49,0.01879921,,,,,,,,,,,,,,,,,,,,,,,,
5,DDOG,Datadog,Information Technology,5,267.809998,,16,264.200012,0.01366384,,,,,,,,,,,,,,,,,,,,,,,,
6,EL,Estée Lauder Companies (The),Consumer Staples,6,84.589996,,10,84.146004,0.00527645,,,,,,,,,,,,,,,,,,,,,,,,
7,BKR,Baker Hughes,Energy,7,59.505001,,40,58.720001,0.01336853,,,,,,,35,57.25,,,,,,,,,,,,,,,,
8,BBUC,BROOKFIELD BUSINESS CORP CLASS A,Industrials,8,31.84,,9,31.93,-0.00281867,,,,,,,,,,,,,,,,,,,,,,,,
9,GEHC,GE HealthCare,Health Care,9,68.504997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,RGR,STURM RUGER INC,Consumer Discretionary,10,39.509998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,FIVE,"Five Below, Inc. - Common Stock",,11,213.669907,,7,209.490005,0.01995275,,,,,,,,,,,,,,,,,,,4,204.139999,,,,
12,CVSA,COVISTA INC,Consumer Discretionary,12,128.535004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,IRTC,IRHYTHM HOLDINGS INC,Health Care,13,120.550003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CZFS,CITIZENS FINANCIAL SERVICES INC,Financials,14,78.519997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,DOX,Amdocs Limited - Ordinary Shares,,15,54.549999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BKE,BUCKLE INC,Consumer Discretionary,16,44.169998,,8,45.009998,-0.01866252,,,,,,,,,,,,,,,,,,,,,,,,
17,SEPN,SEPTERNA INC,Health Care,17,35.669998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,DD,DuPont,Materials,18,139.929993,,,,,20,140.779999,,,,,,,,,,,,,,,,,,,,,,
19,PDD,PDD Holdings Inc. - American Depositary Shares,,19,86.139999,,3,88.32,-0.02468298,,,,,,,,,,,,,,,,,,,,,,,,
20,FISV,Fiserv,Financials,20,53.275002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,CMC,COMMERCIAL METALS,Materials,21,68.989998,,21,68.099998,0.01306902,,,,,,,,,,,,,,,,,,,,,,,,
22,CRAI,CRA INTERNATIONAL INC,Industrials,22,183.199997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,LVS,Las Vegas Sands,Consumer Discretionary,23,49.540001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,QTWO,Q2 HOLDINGS INC,Information Technology,24,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,39,54.860001,
25,TYL,Tyler Technologies,Information Technology,25,320.535004,,14,333.829987,-0.03982561,3,333.320007,0.00153000,,,,,,,,,,,,,,,,11,317.920013,,4,319.51001,-0.00497636
26,FIS,Fidelity National Information Services,Financials,26,45.59,,,,,,,,3,43.150002,,,,,,,,,,,,,,,,,,,
27,NHC,NATIONAL HEALTHCARE CORP,Health Care,27,229.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,LLYVK,"Liberty Live Holdings, Inc. - Series C Liberty Live Group Common Stock",,28,104.050003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FOXA,Fox Corporation (Class A),Communication Services,29,57.645,,28,58.950001,-0.02213742,48,57.720001,0.02130977,,,,,,,,,,,,,,,,21,57.48,,,,
30,ACN,Accenture,Information Technology,30,160.759995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,LLYVA,"Liberty Live Holdings, Inc. - Series A Liberty Live Group Common Stock",,31,100.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,NVGS,NAVIGATOR HOLDINGS LTD,Energy,32,21.98,,,,,,,,,,,,,,18,21.695,,,,,,,,,,,,,
33,MFIN,MEDALLION FINANCIAL CORP,Financials,33,10.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,WOR,WORTHINGTON ENTERPRISES INC,Industrials,34,55.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,CSW,CSW INDUSTRIALS INC,Industrials,35,311.230011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,CME,CME Group,Financials,36,262.070007,,,,,,,,,,,15,255.309998,,,,,15,249.240005,,,,,,,,,,
37,EVTC,EVERTEC INC,Financials,37,31.450001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,CWCO,CONSOLIDATED WATER LTD,Utilities,38,29.629999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,MLAB,MESA LABORATORIES INC,Health Care,39,99.660004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,CPRT,Copart,Industrials,40,29.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
