current_rank,ticker,name,sector,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,AAPL,Apple Inc.,Information Technology,1,337.225006,,,,,,,,,,,,,,,,,,,,,,
2,PEP,PepsiCo,Consumer Staples,2,144.147202,,,,,,,,,,,,,,,,,,,,,,
3,BKR,Baker Hughes,Energy,3,59.099998,,6,60.59,-0.02459155,,,,,,,,,,,,,,,,,,
4,EXC,Exelon,Utilities,4,48.285,,,,,,,,,,,,,,,,,,,,,,
5,PAYX,Paychex,Industrials,5,118.93,,,,,,,,,,,,,,,,,15,115.199997,,18,114.389999,0.00708102
6,TCOM,Trip.com Group Limited - American Depositary Shares,,6,45.560001,,16,44.77,0.01764577,,,,,,,,,,,,,,,,,,
7,ESLT,Elbit Systems Ltd. - Ordinary Shares,,7,817.909973,,,,,11,820.210022,,8,808.599976,0.01435821,,,,,,,,,,,,
8,NBIX,"Neurocrine Biosciences, Inc. - Common Stock",,8,180.309998,,21,176.410004,0.02210756,,,,,,,,,,8,179.050003,,,,,,,
9,EBC,EASTERN BANKSHARES INC,Financials,9,23.35,,,,,,,,,,,,,,,,,,,,,,
10,MEDP,"Medpace Holdings, Inc. - Common Stock",,10,584.057495,,19,589.369995,-0.00901386,,,,,,,,,,,,,,,,,,
11,PFE,Pfizer,Health Care,11,25.334999,,,,,,,,,,,,,,,,,,,,,,
12,DHR,Danaher Corporation,Health Care,12,200.350006,,,,,,,,,,,,,,,,,,,,,,
