current_rank,ticker,name,sector,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return
1,VRNS,VARONIS SYSTEMS,Information Technology,1,46.09,
2,PFG,Principal Financial Group,Financials,2,116.68,
3,ASND,Ascendis Pharma A/S - Ordinary Share,,3,270.559998,
4,CEG,Constellation Energy,Utilities,4,298.959991,
5,NVDA,Nvidia,Information Technology,5,230.360001,
6,TCBX,THIRD COAST BANCSHARES INC,Financials,6,46.029999,
7,MLYS,MINERALYS THERAPEUTICS,Health Care,7,28.209999,
8,STNG,SCORPIO TANKERS,Energy,8,82.290001,
9,BIIB,Biogen,Health Care,9,220.830002,
10,PLMR,PALOMAR HOLDINGS,Financials,10,136.580002,
11,PFIS,PEOPLES FINANCIAL SERVICES CORP,Financials,11,71.830002,
12,SNDX,SYNDAX PHARMACEUTICALS,Health Care,12,20.559999,
13,ALG,ALAMO GROUP,Industrials,13,173.434998,
14,NKTR,NEKTAR THERAPEUTICS,Health Care,14,74.190002,
15,WASH,WASHINGTON TRUST BANCORP INC,Financials,15,40.259998,
16,DFIN,DONNELLEY FINANCIAL SOLUTIONS,Financials,16,50.860001,
17,SBRA,SABRA HEALTH CARE REIT,Real Estate,17,20.780001,
18,FBLA,FB BANCORP,Financials,18,15.99,
19,CDW,CDW Corporation,Information Technology,19,152.380005,
20,MBWM,MERCANTILE BANK CORP,Financials,20,62.139999,
21,WSBF,WATERSTONE FINANCIAL INC,Financials,21,21.514999,
22,BG,Bunge Global,Consumer Staples,22,118.699997,
23,RRBI,RED RIVER BANCSHARES INC,Financials,23,103.360001,
24,WFRD,Weatherford International plc - Ordinary shares,,24,95.879997,
25,KMPR,KEMPER,Financials,25,28.045,
26,MOS,Mosaic Company (The),Materials,26,25.857,
27,NREF,NEXPOINT REAL ESTATE FINANCE,Financials,27,17.790001,
28,INSW,INTERNATIONAL SEAWAYS,Energy,28,104.495003,
29,PIPR,PIPER SANDLER COMPANIES,Financials,29,76.970001,
30,VTRS,Viatris,Health Care,30,16.879999,
31,ACA,ARCOSA,Industrials,31,145.5,
32,LNN,LINDSAY,Industrials,32,123.410004,
33,IBEX,IBEX LTD,Industrials,33,39.169998,
34,ONEW,ONEWATER MARINE CLASS A INC,Consumer Discretionary,34,12.7,
35,FRAF,FRANKLIN FINANCIAL SERVICES CORP,Financials,35,64.260002,
36,OKTA,"Okta, Inc. - Class A Common Stock",,36,170.600006,
37,BFH,BREAD FINANCIAL HOLDINGS,Financials,37,110.839996,
38,CNO,CNO FINANCIAL GROUP,Financials,38,56.759998,
39,TMP,TOMPKINS FINANCIAL CORP,Financials,39,99.690002,
40,SFL,SFL,Energy,40,12.855,
41,UFCS,UNITED FIRE GROUP INC,Financials,41,55.98,
42,HCI,HCI GROUP INC,Financials,42,187.529999,
43,HTO,H2O AMERICA,Utilities,43,64.32,
44,BCAL,CALIFORNIA BANCORP,Financials,44,21.9,
45,MIR,MIRION TECHNOLOGIES CLASS A,Information Technology,45,16.92,
46,SLAB,SILICON LABORATORIES,Information Technology,46,220.580002,
47,RBCAA,REPUBLIC BANCORP INC CLASS A,Financials,47,96.800003,
48,BNED,BARNES AND NOBLE EDUCATION INC,Consumer Discretionary,48,12.72,
49,AAPL,Apple Inc.,Information Technology,49,319.970001,
50,CFFI,C AND F FINANCIAL CORP,Financials,50,94.889999,
