current_rank,ticker,name,sector,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,CRBP,CORBUS PHARMACEUTICALS HOLDINGS,Health Care,1,9.4,,,,,,,,,,,,,,,,,,,,,,,3,9.32,,,,,,,,,,,,,
2,CMT,CORE MOLDING TECHNOLOGIES INC,Materials,2,24.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,KMT,KENNAMETAL INC,Industrials,3,36.139999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ISSC,INNOVATIVE SOLUTIONS AND SUPPORT I,Industrials,4,20.35,,43,19.469999,0.04519779,,,,,,,,,,,,,,,,,,,,,,,,,3,19.219999,,,,,,,
5,TBCH,TURTLE BEACH,Information Technology,5,13.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,JBI,JANUS INTERNATIONAL GROUP INC,Industrials,6,5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,HOG,HARLEY DAVIDSON INC,Consumer Discretionary,7,26.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NGVT,INGEVITY CORP,Materials,8,75.660004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ATMU,ATMUS FILTRATION TECHNOLOGIES INC,Industrials,9,55.060001,,8,53.895,0.02161612,,,,,,,,,,,,,,,,39,53.529999,,,,,,,,,,,,,,,,
10,EQPT,EquipmentShare.com Inc - Class A Common Stock,,10,19.969999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WFRD,Weatherford International plc - Ordinary shares,,11,89.379997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AVNW,AVIAT NETWORKS INC,Information Technology,12,21.709999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,EXTR,EXTREME NETWORKS INC,Information Technology,13,32.080002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PIPR,PIPER SANDLER COMPANIES,Financials,14,77.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SRI,STONERIDGE INC,Consumer Discretionary,15,7.485,,,,,,,,,,,,,,,,,,,,,,,,,,12,7.39,,,,,,,,,,
16,SGC,SUPERIOR GROUP OF COMPANIES INC,Consumer Discretionary,16,13.9799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,FIGS,FIGS INC CLASS A,Consumer Discretionary,17,11.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ALNT,ALLIENT INC,Industrials,18,95.449997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
