current_rank,ticker,name,sector,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,AKAM,Akamai Technologies,Information Technology,1,123.129997,,,,
2,HIG,Hartford (The),Financials,2,140.5,,,,
3,ORKA,ORUKA THERAPEUTICS INC,Health Care,3,91.709999,,,,
4,ARDT,ARDENT HEALTH INC,Health Care,4,10.46,,,,
5,LH,Labcorp,Health Care,5,281.531006,,20,283.359985,-0.00645461
6,ZD,ZIFF DAVIS INC,Communication,6,54.380001,,,,
7,CTVA,Corteva,Materials,7,86.790001,,13,87.300003,-0.00584195
8,ROP,Roper Technologies,Information Technology,8,362.839996,,,,
9,EG,Everest Group,Financials,9,379.089996,,,,
10,TRST,TRUSTCO BANK CORP,Financials,10,55.439999,,,,
11,TTGT,TECHTARGET INC,Communication,11,3.91,,,,
12,TYL,Tyler Technologies,Information Technology,12,317.920013,,6,319.51001,-0.00497636
13,MDT,Medtronic,Health Care,13,83.330002,,34,83.199997,0.00156256
14,PLUS,EPLUS,Information Technology,14,90.400002,,,,
15,AIG,American International Group,Financials,15,79.82,,,,
16,CBRL,CRACKER BARREL OLD COUNTRY STORE I,Consumer Discretionary,16,53.41,,,,
17,TEL,TE Connectivity,Information Technology,17,203.169998,,37,203.309998,-0.00068860
18,RHP,RYMAN HOSPITALITY PROPERTIES REIT,Real Estate,18,127.860001,,,,
19,FISV,Fiserv,Financials,19,51.68,,,,
20,PENN,PENN ENTERTAINMENT INC,Consumer Discretionary,20,21.23,,,,
21,ULTA,Ulta Beauty,Consumer Discretionary,21,488.079987,,,,
22,AIR,AAR CORP,Industrials,22,135.850006,,,,
23,SAM,BOSTON BEER INC CLASS A,Consumer Staples,23,180.669998,,,,
24,EL,Estée Lauder Companies (The),Consumer Staples,24,83.639999,,,,
25,TJX,TJX Companies,Consumer Discretionary,25,155.669998,,,,
26,NTGR,NETGEAR INC,Information Technology,26,23.25,,,,
27,TXNM,TXNM ENERGY INC,Utilities,27,57.82,,,,
28,SJM,J.M. Smucker Company (The),Consumer Staples,28,112.519997,,,,
29,GTN,GRAY MEDIA INC,Communication,29,4.09,,,,
30,WDAY,"Workday, Inc.",Information Technology,30,147.220001,,,,
31,CNK,CINEMARK HOLDINGS INC,Communication,31,31.969999,,,,
32,AGM,FEDERAL AGRICULTURAL MORTGAGE NON,Financials,32,206.084,,,,
33,NTES,"NetEase, Inc. - American Depositary Shares, each representing 5 ordinary shares",,33,134.199997,,,,
34,WOOF,PETCO HEALTH AND WELLNESS COMPANY,Consumer Discretionary,34,2.71,,,,
35,FF,FUTUREFUEL CORP,Energy,35,4.78,,,,
36,WNC,WABASH NATIONAL CORP,Industrials,36,13.27,,,,
37,PODD,Insulet Corporation,Health Care,37,167.369995,,,,
38,GCO,GENESCO INC,Consumer Discretionary,38,37.150002,,,,
39,ASC,ARDMORE SHIPPING CORP,Energy,39,15.83,,,,
40,PBH,PRESTIGE CONSUMER HEALTHCARE INC,Health Care,40,50.439999,,,,
41,FOXA,Fox Corporation (Class A),Communication Services,41,57.48,,,,
42,FOX,Fox Corporation (Class B),Communication Services,42,51.549999,,,,
43,JJSF,J AND J SNACK FOODS CORP,Consumer Staples,43,77.760002,,,,
44,PLGO,PELAGOS INSURANCE CAPITAL LTD,Financials,44,25.59,,,,
45,WEN,WENDYS,Consumer Discretionary,45,7.85,,5,7.76,0.01159794
46,IKT,INHIBIKASE THERAPEUTICS INC,Health Care,46,2.23,,,,
47,CME,CME Group,Financials,47,245.110001,,,,
48,CMCSA,Comcast,Communication Services,48,23.780001,,,,
49,YOU,CLEAR SECURE INC CLASS A,Information Technology,49,57.169998,,2,56.029999,0.02034623
50,KNTK,KINETIK HOLDINGS INC CLASS A,Energy,50,51.110001,,,,
