current_rank,ticker,name,sector,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,DRUG,BRIGHT MINDS BIOSCIENCES,Health Care,1,75.970001,,22,73.779999,0.02968287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,2,16.105,,32,16.18,-0.00463535,,,,,,,,,,,,,,,,,,,,,,32,16.290001,,,,,,,,,,
3,ALG,ALAMO GROUP INC,Industrials,3,170.199997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CHMG,CHEMUNG FINANCIAL CORP,Financials,4,83.199997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,GNK,GENCO SHIPPING AND TRADING LTD,Industrials,5,26.385,,13,26.23,0.00590926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CSCO,Cisco,Information Technology,6,119.510002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DD,DuPont,Materials,7,139.770004,,9,141.309998,-0.01089798,,,,16,138.839996,,,,,44,140.779999,,,,,,,,,,,,,,,,,,,,,,
8,CMT,CORE MOLDING TECHNOLOGIES INC,Materials,8,25.450001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,BNTX,BioNTech SE - American Depositary Shares,,9,91.889999,,,,,,,,,,,9,92.949997,,,,,,,,,,,,,,,,,,,,,,,,,
10,AVGO,Broadcom,Information Technology,10,411.380005,,,,,23,389.279999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
