rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
26,PNC,PNC Financial Services,Financials,88.17,优先Call候选,255.460007,63.35,0.46,0.02220801,0.01697884,0.01340846,98.2,53.95,88.8,82.8,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
27,APOG,APOGEE ENTERPRISES INC,Industrials,88.16,优先Call候选,42.130001,61.47,0.15,0.06496461,0.00705156,0.05088553,98.2,61.62,80.4,82.55,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
28,LASR,NLIGHT INC,Information Technology,88.09,优先Call候选,74.620003,60.45,0.48,0.08553979,0.17419361,0.12413387,92.8,79.96,68.6,82.55,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
29,SWKS,Skyworks Solutions,Information Technology,88.06,优先Call候选,64.847504,59.82,0.38,0.04122519,0.01047917,0.02639291,95.5,66.67,80.4,80.0,30.0,100.0,early_transition,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
30,FELE,FRANKLIN ELECTRIC INC,Industrials,87.79,优先Call候选,108.690002,59.83,0.18,0.03810893,-0.02624978,0.03062775,98.2,66.69,72.7,82.55,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
31,CLX,Clorox,Consumer Staples,87.72,优先Call候选,100.779999,62.58,1.34,0.05473570,0.01541561,0.04641264,82.9,62.13,91.6,82.8,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,4H EMA 多头趋势；4H MACD 新金叉
32,BLX,BLADEX INC CLASS E,Financials,87.62,优先Call候选,60.16,56.07,0.28,0.02820034,-0.01425527,0.02978436,92.8,66.36,81.1,82.55,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
33,KGEI,KOLIBRI GLOBAL ENERGY INC,Energy,87.59,优先Call候选,5.17,50.89,0.32,-0.00481232,0.05510204,0.09189212,98.2,76.53,100.0,69.35,30.0,45.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
34,AVLN,AVALYN PHARMA INC,Health Care,87.3,优先Call候选,29.41,55.65,0.29,0.02153522,0.05730515,0.02868136,90.4,71.36,100.0,82.55,30.0,100.0,fresh_bullish_cross,bullish_above_signal,4H EMA 刚转强；4H MACD 多头
35,PRG,PROG HOLDINGS INC,Financials,87.3,优先Call候选,46.169998,57.14,0.36,0.04860320,0.03069539,0.05435024,92.8,55.32,91.6,82.55,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
36,WAT,Waters Corporation,Health Care,87.26,优先Call候选,388.234985,62.69,1.73,0.02936414,0.01614904,0.02981469,73.0,67.13,100.0,82.8,100.0,100.0,mixed_sideways,fresh_above_zero_cross,4H MACD 新金叉
37,BXC,BLUELINX HOLDINGS INC,Industrials,87.19,优先Call候选,62.869999,64.28,0.45,0.15889399,0.04348546,0.11858370,92.8,66.68,78.4,82.55,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
38,OLLI,"Ollie's Bargain Outlet Holdings, Inc. - Common Stock",,87.02,优先Call候选,74.510002,67.63,0.28,0.01415545,0.05583112,0.03128030,87.7,73.62,100.0,83.24,30.0,100.0,early_transition,bullish_above_signal,4H EMA 刚转强；4H MACD 多头
39,BANR,BANNER CORP,Financials,86.97,优先Call候选,71.559998,62.45,0.76,0.01517946,0.01821285,0.06030523,82.9,66.97,100.0,82.55,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,4H EMA 多头趋势；4H MACD 新金叉
40,NVRI,ENVIRI CORP,Industrials,86.87,优先Call候选,24.049999,65.68,0.72,0.08479923,0.08626920,0.03999996,98.2,65.78,68.6,82.55,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
41,FUNC,FIRST UNITED CORP,Financials,86.87,优先Call候选,45.200001,56.47,0.0,0.02587381,-0.00132561,0.03314288,98.2,54.55,81.1,82.55,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
42,HP,HELMERICH & PAYNE INC,Energy,86.86,优先Call候选,34.48,54.95,0.36,-0.00260341,0.05025885,0.11441496,95.5,43.06,100.0,80.0,30.0,100.0,early_transition,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
43,QRVO,"Qorvo, Inc. - Common Stock",,86.81,优先Call候选,92.834999,63.2,0.28,0.02534789,0.02557448,0.05273007,87.7,72.55,100.0,83.24,30.0,100.0,early_transition,bullish_above_signal,4H EMA 刚转强；4H MACD 多头
44,WFRD,Weatherford International plc - Ordinary shares,,86.73,优先Call候选,89.910004,63.39,0.13,0.02473223,0.06718106,0.05540559,87.7,72.14,100.0,83.24,30.0,100.0,early_transition,bullish_above_signal,4H EMA 刚转强；4H MACD 多头
45,EWBC,"East West Bancorp, Inc. - Common Stock",,86.58,优先Call候选,133.509995,59.79,0.24,0.01892693,0.02001678,0.01814985,92.8,53.84,88.8,83.24,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
46,TKNO,ALPHA TEKNOVA,Health Care,86.54,优先Call候选,5.47,60.64,1.4,0.09509510,0.06835938,0.01484230,92.8,65.98,67.2,82.55,100.0,45.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
47,TBCH,TURTLE BEACH,Information Technology,86.32,优先Call候选,13.22,61.54,0.3,0.08006536,0.03849175,0.03362002,92.8,76.33,78.4,82.55,30.0,72.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
48,HSIC,Henry Schein,Health Care,86.31,优先Call候选,89.529999,67.33,1.61,0.04444701,0.04823785,0.04019983,82.9,54.8,91.6,83.24,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,4H EMA 多头趋势；4H MACD 新金叉
49,ARHS,ARHAUS INC CLASS A,Consumer Discretionary,86.1,优先Call候选,8.285,63.99,0.99,0.11959459,0.03368684,0.00913520,92.8,66.3,67.2,82.55,68.0,72.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
50,EAF,GRAFTECH INTERNATIONAL LTD,Industrials,86.01,优先Call候选,7.92,62.72,0.13,0.17944899,0.03937008,0.31890092,98.2,75.48,68.6,82.55,30.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
