early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
21,CTVA,Corteva,SPX,Materials,62.96,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.96,46.84,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
22,ICE,Intercontinental Exchange,SPX,Financials,62.94,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,46.53,43.56,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
23,EFX,Equifax,SPX,Industrials,62.84,82.0,early_transition,61.8,bullish_above_signal_proxy,53.48,44.95,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
24,TYL,Tyler Technologies,SPX,Information Technology,62.74,82.0,early_transition,61.8,bullish_above_signal_proxy,53.19,44.89,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
25,NEE,NextEra Energy,SPX,Utilities,62.62,82.0,early_transition,61.8,bullish_above_signal_proxy,52.39,45.73,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
26,MCK,McKesson Corporation,SPX,Health Care,62.51,82.0,early_transition,61.8,bullish_above_signal_proxy,52.04,45.66,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
27,XYZ,"Block, Inc.",SPX,Financials,62.37,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.17,46.48,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
28,ATO,Atmos Energy,SPX,Utilities,62.27,82.0,early_transition,61.8,bullish_above_signal_proxy,51.32,45.51,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
29,DECK,Deckers Brands,SPX,Consumer Discretionary,62.27,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,44.5,43.15,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
30,VLTO,Veralto,SPX,Industrials,62.13,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.42,46.33,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
31,OTIS,Otis Worldwide,SPX,Industrials,61.98,82.0,early_transition,61.8,bullish_above_signal_proxy,50.9,44.43,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
32,BDX,Becton Dickinson,SPX,Health Care,61.84,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,57.5,50.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
33,KKR,KKR & Co.,SPX,Financials,61.79,82.0,early_transition,61.8,bullish_above_signal_proxy,50.32,44.31,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
34,WDAY,"Workday, Inc.",NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,61.49,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.49,45.95,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
35,ZBH,Zimmer Biomet,SPX,Health Care,61.37,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,56.08,49.97,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
36,JPM,JPMorgan Chase,SPX,Financials,61.25,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,57.76,45.8,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
37,EG,Everest Group,SPX,Financials,61.21,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,57.64,45.78,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
38,ADBE,Adobe Inc.,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,61.17,82.0,early_transition,49.8,bullish_below_zero_proxy,57.53,45.76,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
39,COF,Capital One,SPX,Financials,61.17,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,57.51,45.75,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
40,ES,Eversource Energy,SPX,Utilities,61.06,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,56.74,46.6,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
41,FDS,FactSet,SPX,Financials,60.99,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,56.98,45.65,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
42,MRSH,Marsh McLennan,SPX,Financials,60.96,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,56.9,45.63,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
43,BMY,Bristol Myers Squibb,SPX,Health Care,60.9,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,56.26,46.5,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
44,OMC,Omnicom Group,SPX,Communication Services,60.9,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,56.71,45.59,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
45,VRSK,Verisk Analytics,NASDAQ+NASDAQ500+SPX,Industrials,60.79,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,56.36,45.52,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
46,FIS,Fidelity National Information Services,SPX,Financials,60.77,82.0,early_transition,49.8,bullish_below_zero_proxy,56.3,45.51,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
47,TRGP,Targa Resources,SPX,Energy,60.77,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,56.3,45.51,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
48,ABT,Abbott Laboratories,SPX,Health Care,60.58,82.0,early_transition,86.55,fresh_above_zero_cross_proxy,64.46,51.64,12.74,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,EMA extension 2.7 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
49,RSG,Republic Services,SPX,Industrials,60.55,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,55.65,45.38,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
50,GEN,Gen Digital,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,60.53,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,55.59,45.37,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
