early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,DMRA,DAMORA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,75.34,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,100.0,55.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
2,LILAK,LIBERTY LATIN AMERICA LTD CLASS C,NASDAQ+RUSSELL2000,Communication,75.19,82.0,early_transition,49.8,bullish_below_zero_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
3,MQ,MARQETA INC CLASS A,NASDAQ+RUSSELL2000,Financials,75.19,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
4,LILA,LIBERTY LATIN AMERICA LTD CLASS A,NASDAQ+RUSSELL2000,Communication,75.02,82.0,early_transition,49.8,bullish_below_zero_proxy,99.5,54.15,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
5,ESCA,ESCALADE INC,NASDAQ+RUSSELL2000,Consumer Discretionary,74.96,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,53.41,44.93,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
6,AKBA,AKEBIA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,74.08,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,96.18,54.49,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
7,ODD,ODDITY TECH LTD CLASS A,NASDAQ+RUSSELL2000,Consumer Staples,74.03,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,96.05,54.46,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
8,JBI,JANUS INTERNATIONAL GROUP INC,RUSSELL2000,Industrials,74.01,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,50.52,44.35,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
9,CBAN,COLONY BANKCORP INC,RUSSELL2000,Financials,73.69,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,49.55,44.16,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
10,ORGO,ORGANOGENESIS HOLDINGS INC CLASS A,NASDAQ+RUSSELL2000,Health Care,72.35,100.0,fresh_bullish_cross,71.8,fresh_below_zero_cross_proxy,57.91,46.83,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
11,CSTL,CASTLE BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,72.33,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,70.43,49.34,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
12,ANNX,ANNEXON INC,NASDAQ+RUSSELL2000,Health Care,72.32,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,90.85,53.42,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
13,ACVA,ACV AUCTIONS INC CLASS A,RUSSELL2000,Industrials,72.3,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,70.79,48.41,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
14,DTIL,PRECISION BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,72.25,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,90.63,53.38,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
15,CERT,CERTARA INC,NASDAQ+RUSSELL2000,Health Care,72.06,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,90.08,53.27,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
16,AEBI,AEBI SCHMIDT HOLDING AG,NASDAQ+RUSSELL2000,Industrials,72.05,100.0,fresh_bullish_cross,71.8,fresh_below_zero_cross_proxy,57.47,45.74,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
17,SMTI,SANARA MEDTECH INC,NASDAQ+RUSSELL2000,Health Care,71.92,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,69.2,49.09,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
18,RDN,RADIAN GROUP INC,RUSSELL2000,Financials,71.77,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,69.2,48.09,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
19,OFIX,ORTHOFIX MEDICAL INC,NASDAQ+RUSSELL2000,Health Care,71.44,82.0,early_transition,61.8,bullish_above_signal_proxy,79.09,51.07,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
20,REAX,REAL BROKERAGE INC,NASDAQ+RUSSELL2000,Real Estate,71.38,82.0,early_transition,61.8,bullish_above_signal_proxy,79.38,50.13,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
21,ANRO,ALTO NEUROSCIENCE INC,RUSSELL2000,Health Care,70.91,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,86.57,52.56,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
22,ZURA,ZURA BIO LTD CLASS A,NASDAQ+RUSSELL2000,Health Care,70.52,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,85.39,52.33,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
23,WGO,WINNEBAGO INDUSTRIES INC,RUSSELL2000,Consumer Discretionary,70.52,82.0,early_transition,88.8,fresh_above_zero_cross_proxy,56.32,45.51,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
24,SNDX,SYNDAX PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,70.38,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,84.98,52.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
25,JBGS,JBG SMITH PROPERTIES,RUSSELL2000,Real Estate,70.32,82.0,early_transition,88.8,fresh_above_zero_cross_proxy,55.7,45.39,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
26,BCC,BOISE CASCADE,RUSSELL2000,Industrials,70.05,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,63.97,47.04,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
27,IIIV,I3 VERTICALS INC CLASS A,NASDAQ+RUSSELL2000,Information Technology,69.95,82.0,early_transition,88.8,fresh_above_zero_cross_proxy,54.58,45.17,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
28,LWAY,LIFEWAY FOODS INC,NASDAQ+RUSSELL2000,Consumer Staples,69.94,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.65,51.98,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
29,LAW,CS DISCO INC,RUSSELL2000,Information Technology,69.81,82.0,early_transition,61.8,bullish_above_signal_proxy,74.63,49.18,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
30,ACRS,ACLARIS THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,69.72,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,82.99,51.85,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
31,CWST,CASELLA WASTE SYSTEMS INC CLASS A,NASDAQ+RUSSELL2000,Industrials,69.53,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,62.39,46.73,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
32,RMBI,RICHMOND MUTUAL BANCORPORATION INC,NASDAQ+RUSSELL2000,Financials,69.37,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,61.93,46.64,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
33,CERS,CERUS CORP,NASDAQ+RUSSELL2000,Health Care,69.31,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.72,51.59,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
34,JCAP,JEFFERSON CAPITAL INC,NASDAQ+RUSSELL2000,Financials,69.14,82.0,early_transition,61.8,bullish_above_signal_proxy,72.59,48.77,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
35,EQBK,EQUITY BANCSHARES INC CLASS A,RUSSELL2000,Financials,69.04,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,60.92,46.43,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
36,MCFT,MASTERCRAFT BOAT HOLDINGS INC,NASDAQ+RUSSELL2000,Consumer Discretionary,69.01,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,60.83,46.42,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
37,PACS,PACS GROUP INC,RUSSELL2000,Health Care,68.78,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.12,51.27,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
38,AMCX,AMC GLOBAL MEDIA INC CLASS A,NASDAQ+RUSSELL2000,Communication,68.75,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,60.04,46.26,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
39,BCAL,CALIFORNIA BANCORP,NASDAQ+RUSSELL2000,Financials,68.68,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,59.82,46.21,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
40,REZI,RESIDEO TECHNOLOGIES INC,RUSSELL2000,Industrials,68.55,82.0,early_transition,61.8,bullish_above_signal_proxy,70.81,48.41,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
41,SBCF,SEACOAST BANKING OF FLORIDA,NASDAQ+RUSSELL2000,Financials,68.52,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,59.33,46.12,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
42,JAKK,JAKKS PACIFIC INC,NASDAQ+RUSSELL2000,Consumer Discretionary,68.45,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,59.12,46.07,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
43,FRME,FIRST MERCHANTS CORP,NASDAQ+RUSSELL2000,Financials,68.43,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,59.05,46.06,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
44,AORT,ARTIVION INC,RUSSELL2000,Health Care,68.27,82.0,early_transition,61.8,bullish_above_signal_proxy,69.49,49.15,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
45,COLL,COLLEGIUM PHARMACEUTICAL INC,NASDAQ+RUSSELL2000,Health Care,68.25,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,58.06,46.86,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
46,WNEB,WESTERN NEW ENGLAND BANCORP INC,NASDAQ+RUSSELL2000,Financials,68.24,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,58.48,45.95,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
