current_rank,ticker,name,sector,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,SRE,Sempra,Utilities,1,93.809998,,,,,,,
2,AEP,American Electric Power,Utilities,2,136.339996,,,,,,,
3,XEL,Xcel Energy,Utilities,3,81.800003,,15,80.769997,0.01275233,,,
4,EXE,Expand Energy,Energy,4,92.550003,,3,91.730003,0.00893928,48,93.169998,-0.01545557
5,SO,Southern Company,Utilities,5,97.68,,18,96.599998,0.01118015,,,
6,CNP,CenterPoint Energy,Utilities,6,44.610001,,13,44.209999,0.00904777,,,
7,NEE,NextEra Energy,Utilities,7,89.114998,,6,89.790001,-0.00751757,,,
8,VREX,VAREX IMAGING CORP,Health Care,8,10.905,,,,,,,
9,UFPI,UFP INDUSTRIES INC,Industrials,9,87.290001,,,,,,,
10,USCB,USCB FINANCIAL HOLDINGS INC CLASS,Financials,10,21.0,,,,,,,
11,ATLO,AMES NATIONAL CORP,Financials,11,30.225,,,,,,,
12,TMP,TOMPKINS FINANCIAL CORP,Financials,12,97.760002,,,,,,,
13,UHS,Universal Health Services,Health Care,13,161.005005,,,,,,,
14,ATO,Atmos Energy,Utilities,14,179.529999,,,,,,,
15,EXC,Exelon,Utilities,15,47.625,,14,47.279999,0.00729698,,,
16,LYB,LyondellBasell,Materials,16,60.957199,,17,61.709999,-0.01219900,,,
17,SWK,Stanley Black & Decker,Industrials,17,90.720001,,,,,6,89.269997,
18,CME,CME Group,Financials,18,252.899994,,,,,12,249.240005,
19,BKR,Baker Hughes,Energy,19,58.130001,,,,,,,
20,PRAX,PRAXIS PRECISION MEDICINES INC,Health Care,20,322.140015,,,,,,,
21,DXC,DXC TECHNOLOGY,Information Technology,21,9.715,,,,,,,
22,CRBP,CORBUS PHARMACEUTICALS HOLDINGS IN,Health Care,22,9.08,,12,9.32,-0.02575107,,,
23,NWFL,NORWOOD FINANCIAL CORP,Financials,23,32.400002,,,,,,,
24,NKTR,NEKTAR THERAPEUTICS,Health Care,24,70.714996,,21,69.360001,0.01953568,,,
25,KMT,KENNAMETAL INC,Industrials,25,35.330002,,,,,,,
26,ED,Consolidated Edison,Utilities,26,114.050003,,,,,,,
27,OPBK,OP BANCORP,Financials,27,15.42,,,,,,,
28,EGBN,EAGLE BANCORP INC,Financials,28,28.0812,,,,,,,
29,PPL,PPL Corporation,Utilities,29,36.549999,,,,,,,
30,TT,Trane Technologies,Industrials,30,481.290009,,,,,,,
31,HP,HELMERICH & PAYNE INC,Energy,31,35.855,,,,,,,
32,JCI,Johnson Controls,Industrials,32,143.145004,,,,,,,
33,NOC,Northrop Grumman,Industrials,33,544.299927,,,,,,,
34,CMRE,COSTAMARE INC,Industrials,34,15.82,,22,15.65,0.01086262,,,
35,WAT,Waters Corporation,Health Care,35,375.5,,5,382.440002,-0.01814664,,,
36,SR,SPIRE INC,Utilities,36,83.669998,,26,82.57,0.01332201,,,
37,ITW,Illinois Tool Works,Industrials,37,281.774994,,,,,,,
38,NUE,Nucor,Materials,38,242.559998,,,,,,,
39,EFOR,EVERFORTH INC,Information Technology,39,20.495001,,,,,,,
40,BWFG,BANKWELL FINANCIAL GROUP INC,Financials,40,61.025002,,,,,,,
41,NE,NOBLE CORPORATION PLC,Energy,41,43.029999,,46,43.110001,-0.00185576,,,
42,AMGN,Amgen,Health Care,42,379.089996,,,,,,,
43,ETN,Eaton Corporation,Industrials,43,410.054993,,1,415.100006,-0.01215373,,,
44,RBKB,RHINEBECK BANCORP INC,Financials,44,12.48,,,,,,,
45,HE,HAWAIIAN ELECTRIC INDUSTRIES INC,Utilities,45,13.525,,,,,,,
46,NLOP,NET LEASE OFFICE PROPERTIES,Real Estate,46,11.5,,,,,,,
47,AEE,Ameren,Utilities,47,114.455002,,,,,,,
48,SGP,SPYGLASS PHARMA INC SHS,Health Care,48,21.26,,,,,,,
49,OGS,ONE GAS INC,Utilities,49,80.724998,,49,80.029999,0.00868423,,,
50,ARGX,argenx SE - American Depositary Shares,,50,922.840027,,19,924.599976,-0.00190347,,,
