current_rank,ticker,name,sector,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,EMR,Emerson Electric,Industrials,1,147.725006,,2,144.869995,0.01970740,,,
2,PKG,Packaging Corporation of America,Materials,2,237.809998,,1,234.110001,0.01580452,35,228.130005,0.02621311
3,EGBN,EAGLE BANCORP INC,Financials,3,28.0812,,3,27.6,0.01743478,,,
4,NLOP,NET LEASE OFFICE PROPERTIES,Real Estate,4,11.5,,,,,,,
5,ZUMZ,ZUMIEZ INC,Consumer Discretionary,5,18.775,,,,,,,
6,CSW,CSW INDUSTRIALS INC,Industrials,6,293.040009,,26,290.519989,0.00867417,9,282.359985,0.02889929
7,RSVR,RESERVOIR MEDIA INC,Communication,7,10.54,,4,10.5,0.00380952,25,10.26,0.02339181
8,LGIH,LGI HOMES INC,Consumer Discretionary,8,58.84,,,,,,,
9,CMP,COMPASS MINERALS INTERNATIONAL INC,Materials,9,29.290001,,5,29.82,-0.01777327,,,
10,XEL,Xcel Energy,Utilities,10,81.800003,,6,80.769997,0.01275233,,,
11,ETN,Eaton Corporation,Industrials,11,410.054993,,33,415.100006,-0.01215373,17,407.065002,0.01973887
12,GWW,W. W. Grainger,Industrials,12,1367.869995,,9,1367.42395,0.00032619,,,
13,ARE,Alexandria Real Estate Equities,Real Estate,13,49.985001,,8,50.139999,-0.00309130,18,49.640999,0.01005217
14,CARR,Carrier Global,Industrials,14,68.620003,,7,69.129997,-0.00737732,,,
15,UFPI,UFP INDUSTRIES INC,Industrials,15,87.290001,,11,86.175003,0.01293876,23,86.699997,-0.00605529
16,ADNT,ADIENT PLC,Consumer Discretionary,16,20.309999,,10,20.110001,0.00994520,,,
17,ATLO,AMES NATIONAL CORP,Financials,17,30.225,,13,29.790001,0.01460218,,,
18,FSTR,LB FOSTER,Industrials,18,43.0,,47,42.709999,0.00679000,,,
19,HOV,HOVNANIAN ENTERPRISES INC CLASS A,Consumer Discretionary,19,132.580002,,12,130.639999,0.01484999,,,
20,CDRE,CADRE HOLDINGS INC,Industrials,20,30.950001,,25,30.49,0.01508695,24,29.93,0.01871032
21,CPS,COOPER STANDARD HOLDINGS INC,Consumer Discretionary,21,28.82,,,,,,,
22,CUBI,CUSTOMERS BANCORP INC,Financials,22,77.099998,,,,,,,
23,OLMA,OLEMA PHARMACEUTICALS INC,Health Care,23,11.665,,16,11.74,-0.00638842,,,
24,ENR,ENERGIZER HOLDINGS INC,Consumer Staples,24,20.940001,,14,20.65,0.01404363,,,
25,MLAB,MESA LABORATORIES INC,Health Care,25,99.915001,,,,,6,98.57,
26,BFC,BANK FIRST CORP,Financials,26,146.210007,,15,147.389999,-0.00800592,,,
27,AMGN,Amgen,Health Care,27,379.089996,,19,371.5,0.02043068,,,
28,PRAX,PRAXIS PRECISION MEDICINES INC,Health Care,28,322.140015,,21,322.399994,-0.00080639,,,
29,ARGX,argenx SE - American Depositary Shares,,29,922.840027,,20,924.599976,-0.00190347,,,
30,BX,Blackstone Inc.,Financials,30,126.404999,,37,124.489998,0.01538277,,,
31,CRBP,CORBUS PHARMACEUTICALS HOLDINGS IN,Health Care,31,9.08,,22,9.32,-0.02575107,,,
32,CTOS,CUSTOM TRUCK ONE SOURCE INC,Industrials,32,10.82,,23,10.88,-0.00551471,30,10.515,0.03471232
33,ESE,ESCO TECHNOLOGIES INC,Industrials,33,333.21991,,28,331.140015,0.00628101,,,
34,BIPC,BROOKFIELD INFRASTRUCTURE CORP CLA,Utilities,34,42.139999,,27,41.615002,0.01261557,,,
35,KN,KNOWLES CORP,Information Technology,35,37.73,,29,38.810001,-0.02782790,,,
36,MLP,MAUI LAND AND PINEAPPLE INC,Real Estate,36,17.030001,,,,,,,
37,AVLN,AVALYN PHARMA INC,Health Care,37,29.74,,31,29.73,0.00033636,,,
38,SXT,SENSIENT TECHNOLOGIES CORP,Materials,38,117.419998,,30,117.025002,0.00337531,,,
39,GWRS,GLOBAL WATER RESOURCES INC,Utilities,39,7.08,,24,7.15,-0.00979021,19,7.16,-0.00139665
40,VRSN,Verisign,Information Technology,40,272.850006,,,,,,,
41,SGRY,SURGERY PARTNERS INC,Health Care,41,16.51,,,,,,,
42,VRTX,Vertex Pharmaceuticals,Health Care,42,483.049988,,,,,,,
43,STE,Steris,Health Care,43,214.820007,,,,,,,
44,FTV,Fortive,Industrials,44,61.91,,,,,,,
45,AOS,A. O. Smith,Industrials,45,60.210098,,,,,,,
46,SW,Smurfit Westrock,Materials,46,44.580002,,,,,16,44.5,
47,CHD,Church & Dwight,Consumer Staples,47,97.389999,,46,96.199997,0.01237008,1,97.129997,-0.00957480
48,XYL,Xylem Inc.,Industrials,48,119.57,,,,,,,
49,VREX,VAREX IMAGING CORP,Health Care,49,10.905,,,,,,,
50,KVHI,KVH INDUSTRIES INC,Information Technology,50,9.0964,,,,,,,
