current_rank,ticker,name,sector,2026-08-28__predicted_rank,2026-08-28__close,2026-08-28__next_snapshot_return,2026-08-27__predicted_rank,2026-08-27__close,2026-08-27__next_snapshot_return,2026-08-26__predicted_rank,2026-08-26__close,2026-08-26__next_snapshot_return,2026-08-25__predicted_rank,2026-08-25__close,2026-08-25__next_snapshot_return,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return,2026-08-17__predicted_rank,2026-08-17__close,2026-08-17__next_snapshot_return,2026-08-14__predicted_rank,2026-08-14__close,2026-08-14__next_snapshot_return,2026-08-13__predicted_rank,2026-08-13__close,2026-08-13__next_snapshot_return,2026-08-12__predicted_rank,2026-08-12__close,2026-08-12__next_snapshot_return,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return
1,BG,Bunge Global,Consumer Staples,1,115.449997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,LPLA,LPL Financial Holdings Inc. - Common Stock,,2,370.690002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,FINW,FINWISE BANCORP,Financials,3,14.11,,,,,,,,,,,,,,,,,,,,29,14.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DSP,VIANT TECHNOLOGY INC CLASS A,Information Technology,4,13.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,GNW,GENWORTH FINANCIAL INC,Financials,5,9.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10.02,,,,,,,,,,,,,,,,,,,,,,,,,
6,WFRD,Weatherford International plc - Ordinary shares,,6,93.790001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,RLGT,RADIANT LOGISTIC INC,Industrials,7,8.73,,13,8.71,0.00229621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PHR,PHREESIA,Health Care,8,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,UTMD,UTAH MEDICAL PRODUCTS INC,Health Care,9,72.769997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CRAI,CRA INTERNATIONAL INC,Industrials,10,174.990005,,,,,,,,,,,,,,5,173.589996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,LXFR,LUXFER HOLDINGS PLC,Industrials,11,17.174999,,,,,,,,,,,,,,,,,,,,,,,30,17.139999,,12,17.108,0.00187041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,WAY,WAYSTAR HOLDING,Health Care,12,26.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,23.77,,,,,,,
13,AI,C3 AI INC CLASS A,Information Technology,13,10.54,,,,,,,,,,,,,,41,10.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,DOCU,"DocuSign, Inc. - Common Stock",,14,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PI,IMPINJ,Information Technology,15,170.059998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,LAW,CS DISCO,Information Technology,16,4.34,,,,,,,,,,,,,,,,,,,,49,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,KFY,KORN FERRY,Industrials,17,86.239998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,GCT,GIGACLOUD TECHNOLOGY INC CLASS A,Consumer Discretionary,18,52.950001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,INVX,INNOVEX INTERNATIONAL INC,Energy,19,30.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,30.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MET,MetLife,Financials,20,96.510002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PTC,PTC Inc.,Information Technology,21,157.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,LIVN,LIVANOVA PLC,Health Care,22,80.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,STEP,STEPSTONE GROUP CLASS A,Financials,23,50.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,GTLB,GitLab Inc. - Class A Common Stock,,24,44.869999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,XRX,XEROX HOLDINGS CORP,Information Technology,25,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,DPZ,Domino's,Consumer Discretionary,26,350.0,,,,,,,,4,349.910004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MQ,MARQETA CLASS A,Financials,27,16.469999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,SPSC,SPS COMMERCE,Information Technology,28,84.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,SENEA,SENECA FOODS CLASS A,Consumer Staples,29,199.839996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,RDVT,RED VIOLET INC,Information Technology,30,73.300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,68.870003,,,,,,,,,,,,,,,,,,,,,,,,,
31,APD,Air Products,Materials,31,307.98999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,FIVN,FIVE9,Information Technology,32,34.049999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,EGAN,EGAIN CORP,Information Technology,33,7.4,,4,7.48,-0.01069519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ICFI,ICF INTERNATIONAL,Industrials,34,90.220001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,JXN,JACKSON FINANCIAL CLASS A,Financials,35,134.154999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ACIW,ACI WORLDWIDE,Information Technology,36,53.830002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,AVBC,AVIDIA BANCORP INC,Financials,37,22.190001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,NSIT,INSIGHT ENTERPRISES INC,Information Technology,38,155.649994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,FENC,FENNEC PHARMACEUTICALS,Health Care,39,12.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10.84,,31,10.52,0.03041825,,,,,,,,,
40,PWP,PERELLA WEINBERG PARTNERS CLASS A,Financials,40,16.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
