early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,OPTU,OPTIMUM COMMUNICATIONS INC CLASS A,RUSSELL2000,Communication,79.42,85.0,early_transition,63.15,bullish_above_signal_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
2,CDNL,CARDINAL INFRASTRUCTURE GROUP INC,NASDAQ+RUSSELL2000,Industrials,75.78,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,98.04,53.86,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
3,GTY,GETTY REALTY REIT CORP,RUSSELL2000,Real Estate,75.29,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,54.4,45.13,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
4,FWRD,FORWARD AIR CORP,NASDAQ+RUSSELL2000,Industrials,75.19,82.0,early_transition,49.8,bullish_below_zero_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
5,RXT,RACKSPACE TECHNOLOGY INC,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,75.19,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
6,JAKK,JAKKS PACIFIC INC,NASDAQ+RUSSELL2000,Consumer Discretionary,74.08,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,50.74,44.4,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
7,RBKB,RHINEBECK BANCORP INC,NASDAQ+RUSSELL2000,Financials,73.86,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,92.23,52.7,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
8,KSS,KOHLS CORP,RUSSELL2000,Consumer Discretionary,73.73,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,95.59,53.37,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
9,ABSI,ABSCI CORP,NASDAQ+RUSSELL2000,Health Care,73.37,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,91.32,53.51,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
10,FDBC,FIDELITY D AND D BANCORP INC,NASDAQ+RUSSELL2000,Financials,73.35,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,70.24,48.3,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
11,EBF,ENNIS INC,RUSSELL2000,Industrials,73.16,100.0,fresh_bullish_cross,73.15,fresh_below_zero_cross_proxy,59.79,46.21,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
