early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,WDC,Western Digital,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,74.39,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,93.83,53.02,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
2,AMAT,Applied Materials,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,74.18,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,91.26,59.0,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
3,KLAC,KLA Corporation,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,72.63,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,85.54,57.86,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
4,CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,NASDAQ+NASDAQ200+NASDAQ500+RUSSELL2000,Information Technology,69.82,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.73,51.0,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
5,STX,Seagate Technology,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,69.41,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.78,50.21,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
6,INCY,Incyte,NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,69.35,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,61.4,47.53,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
7,TER,Teradyne,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,68.03,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,71.59,55.07,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
8,AEP,American Electric Power,NASDAQ+NASDAQ200+NASDAQ500+SPX,Utilities,68.02,100.0,fresh_bullish_cross,51.15,bullish_below_zero_proxy,60.45,47.34,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
9,ALAB,"Astera Labs, Inc. - Common Stock",NASDAQ+NASDAQ200+NASDAQ500,,67.86,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.79,49.81,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
10,EXPE,Expedia Group,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Discretionary,67.79,85.0,early_transition,61.8,bullish_above_signal_proxy,65.76,47.4,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
