current_rank,ticker,name,sector,2026-08-13__predicted_rank,2026-08-13__close,2026-08-13__next_snapshot_return,2026-08-12__predicted_rank,2026-08-12__close,2026-08-12__next_snapshot_return,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,AMT,American Tower,Real Estate,1,174.110001,,,,,,,,,,,,,,,,,,,,,,,,,,21,173.410004,,43,174.460007,-0.00601859,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ASC,ARDMORE SHIPPING CORP,Energy,2,17.370001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,RHLD,RESOLUTE HOLDINGS MANAGEMENT INC,Industrials,3,133.177505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CBL,CBL ASSOCIATES PROPERTIES,Real Estate,4,57.365002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRST,TRUSTCO BANK CORP,Financials,5,57.209999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,56.450001,,,,,,,,28,55.439999,,,,
6,CMTV,COMMUNITY BANCORP VT,Financials,6,40.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,TFIN,TRIUMPH FINANCIAL,Financials,7,78.669998,,,,,,,,,,,,,,,,,,,,26,79.940002,,,,,,,,,,,,,,,,,,,,,,,,,,37,81.620003,,,,,,,,,,
8,CPSS,CONSUMER PORTFOLIO SERVICES INC,Financials,8,9.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,INSW,INTERNATIONAL SEAWAYS,Energy,9,95.669998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,90.449997,,,,,,,
10,FWRG,FIRST WATCH RESTAURANT GROUP,Consumer Discretionary,10,12.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,NTGR,NETGEAR,Information Technology,11,24.049999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,24.620001,,37,24.235001,0.01588611,,,,,,
12,UNP,Union Pacific Corporation,Industrials,12,298.63501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,FIGR,"Figure Technology Solutions, Inc. - Class A Common Stock",,13,32.080002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,31.49,,,,,,,
14,KMI,Kinder Morgan,Energy,14,32.275002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,32.595001,,,,
15,PEP,PepsiCo,Consumer Staples,15,139.759995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,140.199997,,46,143.5,-0.02299654,,,,,,,,,,,,,,,,,,,,,,,,
16,CBIO,CRESCENT BIOPHARMA,Health Care,16,16.754999,,42,16.43,0.01978083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,EVTC,EVERTEC INC,Financials,17,31.290001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MTSI,"MACOM Technology Solutions Holdings, Inc. - Common Stock",,18,316.464996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,BELFA,BEL FUSE CLASS A,Information Technology,19,241.740005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,EBMT,EAGLE BANCORP MONTANA INC,Financials,20,23.870001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ACVA,ACV AUCTIONS CLASS A,Industrials,21,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,COST,Costco,Consumer Staples,22,953.809998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PARR,PAR PACIFIC HOLDINGS INC,Energy,23,81.334999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,IRM,Iron Mountain,Real Estate,24,126.169998,,,,,,,,,,,,,,,,,21,127.230003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,CRBP,CORBUS PHARMACEUTICALS HOLDINGS,Health Care,25,10.06,,,,,,,,,,,,,,,,,,,,20,9.4,,,,,,,,,,,,,,,,,,,,,,,3,9.32,,,,,,,,,,,,,
26,NAVI,NAVIENT,Financials,26,9.21,,,,,,,,,,,,,,,,,,,,,,,34,8.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,AFRM,"Affirm Holdings, Inc. - Class A Common Stock",,27,77.339996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,MRVL,Marvell Technology,Information Technology,28,225.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,AKAM,Akamai Technologies,Information Technology,29,124.699997,,,,,,,,,,,,,,,,,28,122.269997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,124.910004,,11,123.129997,0.01445632,,,
30,WMT,Walmart,Consumer Staples,30,114.959999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,COHU,COHU,Information Technology,31,58.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,KEY,KeyCorp,Financials,32,23.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MCFT,MASTERCRAFT BOAT HOLDINGS INC,Consumer Discretionary,33,24.6,,,,,,,,,,,,,,,,,46,25.18,,41,25.09,0.00358709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,GCBC,GREENE COUNTY BANCORP INC,Financials,34,35.244999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,RNST,RENASANT CORP,Financials,35,43.709999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,RAMP,LIVERAMP HOLDINGS INC,Information Technology,36,37.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,OSW,ONESPAWORLD HOLDINGS LTD,Consumer Discretionary,37,26.91,,,,,,,,,,,,,,13,26.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,POET,POET Technologies Inc. - Common Shares,,38,9.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,KYTX,KYVERNA THERAPEUTICS,Health Care,39,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,INTU,Intuit,Information Technology,40,342.119995,,,,,27,336.440002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,GDDY,GoDaddy,Information Technology,41,93.605003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,RKLB,Rocket Lab Corporation - Common Stock,,42,80.449997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ALMU,AELUMA INC,Information Technology,43,17.870501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ZG,"Zillow Group, Inc. - Class A Common Stock",,44,35.275002,,,,,,,,,,,,,,,,,,,,,,,,,,34,34.689999,,,,,37,34.32,,38,33.810001,0.01508426,,,,,,,,,,,,,,,,,,,,,
45,NNE,NANO NUCLEAR ENERGY,Industrials,45,20.039,,33,19.01,0.05412941,48,19.379999,-0.01909180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,NAT,NORDIC AMERICAN TANKERS LTD,Energy,46,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Z,"Zillow Group, Inc. - Class C Capital Stock",,47,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,22,34.060001,,,,,38,34.0,,,,,,,,,,,,,,,,,,,,48,33.029999,,,,
48,OVLY,OAK VALLEY BANCORP,Financials,48,33.650002,,38,33.689999,-0.00118721,,,,,,,,,,,,,,,,,,,46,33.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
