early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,ANET,Arista Networks,SPX,Information Technology,70.03,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,62.33,50.22,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
2,HOOD,Robinhood Markets,NASDAQ+NASDAQ500+SPX,Financials,69.52,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,82.84,50.82,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
3,TRGP,Targa Resources,SPX,Energy,66.96,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,54.61,45.17,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
4,GIS,General Mills,SPX,Consumer Staples,66.68,82.0,early_transition,61.8,bullish_above_signal_proxy,64.68,48.19,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
5,WMB,Williams Companies,SPX,Energy,66.67,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,53.74,45.0,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
6,DASH,DoorDash,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Discretionary,65.84,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,71.69,48.59,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
7,DXCM,Dexcom,NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,65.49,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,48.1,48.37,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
8,RMD,ResMed,SPX,Health Care,65.23,82.0,early_transition,61.8,bullish_above_signal_proxy,58.68,50.49,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
9,MKC,McCormick & Company,SPX,Consumer Staples,65.05,82.0,early_transition,61.8,bullish_above_signal_proxy,59.73,47.2,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
10,TTWO,Take-Two Interactive,NASDAQ+NASDAQ200+NASDAQ500+SPX,Communication Services,64.79,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,68.49,47.95,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
11,SYK,Stryker Corporation,SPX,Health Care,64.79,82.0,early_transition,61.8,bullish_above_signal_proxy,57.35,50.22,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
12,NRG,NRG Energy,SPX,Utilities,64.23,82.0,early_transition,61.8,bullish_above_signal_proxy,56.11,48.97,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
13,BAX,Baxter International,SPX,Health Care,64.11,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,64.4,51.63,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
14,LYV,Live Nation Entertainment,SPX,Communication Services,64.07,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,66.31,47.51,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
15,CF,CF Industries,SPX,Materials,64.04,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,49.85,44.22,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
16,XYL,Xylem Inc.,SPX,Industrials,63.95,82.0,early_transition,61.8,bullish_above_signal_proxy,56.87,45.62,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
17,DLTR,Dollar Tree,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Staples,63.88,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,65.29,48.31,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
18,CBRE,CBRE Group,SPX,Real Estate,63.77,82.0,early_transition,61.8,bullish_above_signal_proxy,56.32,45.51,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
19,GEV,GE Vernova,SPX,Industrials,63.6,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.15,52.68,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
20,ABT,Abbott Laboratories,SPX,Health Care,63.58,82.0,early_transition,61.8,bullish_above_signal_proxy,53.68,49.49,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
21,ALLE,Allegion,SPX,Industrials,63.15,82.0,early_transition,61.8,bullish_above_signal_proxy,54.43,45.14,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
22,GPN,Global Payments,SPX,Financials,62.99,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,63.04,46.86,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
23,ZBRA,Zebra Technologies,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,62.89,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.13,49.98,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
24,KHC,Kraft Heinz,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Staples,62.76,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.88,47.63,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
25,MRNA,Moderna,NASDAQ+NASDAQ500+SPX,Health Care,62.76,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,55.25,12.02,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
