current_rank,ticker,name,sector,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,UHS,Universal Health Services,Health Care,1,158.524994,,,,,,,,,,,,,,,,
2,NKTR,NEKTAR THERAPEUTICS,Health Care,2,71.150002,,17,69.360001,0.02580740,,,,,,,,,,,,
3,VREX,VAREX IMAGING CORP,Health Care,3,11.03,,,,,,,,,,,,,,,,
4,HTH,HILLTOP HOLDINGS INC,Financials,4,40.139999,,,,,,,,,,,,,,,,
5,EMR,Emerson Electric,Industrials,5,148.929993,,,,,,,,,,,,,,,,
6,FCCO,FIRST COMMUNITY CORP,Financials,6,33.68,,,,,,,,,,,,,,,,
7,NWFL,NORWOOD FINANCIAL CORP,Financials,7,32.529999,,,,,,,,,,,,,,,,
8,LYB,LyondellBasell,Materials,8,60.790001,,4,61.709999,-0.01490841,23,62.279999,-0.00915222,,,,,,,,,
9,ARGX,argenx SE - American Depositary Shares,,9,918.349976,,15,924.599976,-0.00675968,,,,,,,,,,,,
10,LXU,LSB INDUSTRIES INC,Materials,10,12.12,,,,,,,,,,,,,,,,
11,SR,SPIRE INC,Utilities,11,83.449997,,32,82.57,0.01065759,,,,,,,,,,,,
12,MMS,MAXIMUS INC,Industrials,12,59.400002,,,,,,,,,,,,,,,,
13,AMGN,Amgen,Health Care,13,376.665009,,,,,41,366.049988,,,,,34,364.170013,,,,
14,ARX,ACCELERANT HOLDINGS CLASS A,Financials,14,14.31,,,,,,,,,,,,,,,,
15,CRBP,CORBUS PHARMACEUTICALS HOLDINGS IN,Health Care,15,9.2,,3,9.32,-0.01287554,,,,,,,,,,,,
16,OXY,Occidental Petroleum,Energy,16,57.099998,,,,,,,,,,,,,,,,
17,TMO,Thermo Fisher Scientific,Health Care,17,558.60498,,,,,,,,,,,,,,,,
18,NEE,NextEra Energy,Utilities,18,89.665001,,26,89.790001,-0.00139214,,,,,,,,,,,,
19,NUE,Nucor,Materials,19,246.199997,,,,,,,,,,,,,,,,
20,EXE,Expand Energy,Energy,20,92.330002,,16,91.730003,0.00654092,15,93.169998,-0.01545557,,,,,,,,,
21,NE,NOBLE CORPORATION PLC,Energy,21,42.689999,,18,43.110001,-0.00974257,,,,,,,,,,,,
22,WAT,Waters Corporation,Health Care,22,376.144989,,5,382.440002,-0.01646013,,,,,,,,,,,,
23,CME,CME Group,Financials,23,251.895004,,,,,,,,,,,,,,,,
24,SGP,SPYGLASS PHARMA INC SHS,Health Care,24,21.280001,,,,,,,,,,,,,,,,
25,SWK,Stanley Black & Decker,Industrials,25,91.404999,,,,,31,89.269997,,,,,,,,,,
26,EQT,EQT Corporation,Energy,26,53.555,,,,,,,,,,,,,,,,
27,CMRE,COSTAMARE INC,Industrials,27,15.69,,8,15.65,0.00255591,,,,,,,,,,,,
28,BWFG,BANKWELL FINANCIAL GROUP INC,Financials,28,62.040001,,,,,,,,,,,,,,,,
29,DVN,Devon Energy,Energy,29,45.07,,43,45.299999,-0.00507724,6,44.860001,0.00980825,25,44.099998,0.01723363,,,,,,
30,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,30,16.084999,,,,,49,16.290001,,,,,,,,,,
31,ORRF,ORRSTOWN FINANCIAL SERVICES INC,Financials,31,42.465,,,,,,,,,,,,,,,,
32,CDRE,CADRE HOLDINGS INC,Industrials,32,30.825001,,,,,21,29.93,,15,29.17,0.02605417,,,,,,
33,KMT,KENNAMETAL INC,Industrials,33,35.509998,,,,,,,,,,,,,,,,
34,DXC,DXC TECHNOLOGY,Information Technology,34,9.945,,,,,,,,,,,,,,,,
35,EXC,Exelon,Utilities,35,47.424999,,,,,,,,,,,,,,,,
36,QCRH,QCR HOLDINGS INC,Financials,36,100.779999,,,,,,,,,,,,,,,,
37,HUN,HUNTSMAN CORP,Materials,37,12.8,,13,12.8,0.00000000,,,,,,,,,,,,
38,PTEN,PATTERSON UTI ENERGY INC,Energy,38,10.37,,11,10.34,0.00290135,,,,,,,,,,,,
39,CNP,CenterPoint Energy,Utilities,39,44.415001,,,,,,,,,,,,,,,,
40,BIPC,BROOKFIELD INFRASTRUCTURE CORP CLA,Utilities,40,41.634998,,48,41.615002,0.00048050,,,,30,40.98,,,,,,,
41,LLY,Lilly (Eli),Health Care,41,1202.880005,,,,,,,,,,,,,,,,
42,SO,Southern Company,Utilities,42,96.879997,,,,,,,,,,,,,,,,
43,BFC,BANK FIRST CORP,Financials,43,151.119995,,,,,,,,,,,,,,,,
44,PRAX,PRAXIS PRECISION MEDICINES INC,Health Care,44,326.679993,,,,,,,,,,,,,,,,
45,INR,INFINITY NATURAL RESOURCES INC CLA,Energy,45,13.19,,12,13.29,-0.00752445,48,13.615,-0.02387073,,,,,,,,,
46,KGEI,KOLIBRI GLOBAL ENERGY INC,Energy,46,5.32,,34,5.4,-0.01481481,,,,,,,,,,,,
47,DPZ,Domino's,Consumer Discretionary,47,332.13501,,,,,,,,44,326.339996,,13,328.970001,-0.00799467,,,
48,GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,48,333.445007,,,,,40,327.779999,,,,,,,,,,
49,BMY,Bristol Myers Squibb,Health Care,49,62.294701,,,,,,,,,,,,,,,,
50,SMBC,SOUTHERN MISSOURI BANCORP INC,Financials,50,78.32,,,,,,,,,,,,,,,,
