current_rank,ticker,name,sector,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,INTU,Intuit,Information Technology,1,290.790009,,,,,,,
2,PTEN,PATTERSON UTI ENERGY INC,Energy,2,10.39,,,,,,,
3,CALM,CAL MAINE FOODS INC,Consumer Staples,3,88.360001,,25,88.419998,-0.00067855,30,88.550003,-0.00146815
4,GT,GOODYEAR TIRE & RUBBER,Consumer Discretionary,4,7.3401,,,,,32,7.29,
5,F,Ford Motor Company,Consumer Discretionary,5,14.3711,,,,,,,
6,PLD,Prologis,Real Estate,6,148.5,,46,147.464996,0.00701864,,,
7,WRB,W. R. Berkley Corporation,Financials,7,73.290001,,,,,,,
8,CB,Chubb Limited,Financials,8,353.209991,,,,,,,
9,CVS,CVS Health,Health Care,9,109.099998,,,,,,,
10,LSTR,"Landstar System, Inc. - Common Stock",,10,212.294998,,,,,,,
11,ASIX,ADVANSIX INC,Materials,11,21.070101,,,,,,,
12,PNRG,PRIMEENERGY RESOURCES CORP,Energy,12,190.360001,,,,,,,
13,PAGS,PAGSEGURO DIGITAL LTD CLASS A,Financials,13,9.43,,,,,,,
14,AIR,AAR CORP,Industrials,14,141.449997,,,,,,,
15,RBKB,RHINEBECK BANCORP INC,Financials,15,17.58,,,,,,,
16,ZENA,ZENATECH INC,Information Technology,16,1.56,,,,,,,
17,INSW,INTERNATIONAL SEAWAYS INC,Energy,17,90.860001,,,,,,,
18,AHCO,ADAPTHEALTH CORP,Health Care,18,11.17,,,,,,,
19,HPK,HIGHPEAK ENERGY INC,Energy,19,7.61,,,,,,,
20,UE,URBAN EDGE PROPERTIES,Real Estate,20,23.5,,,,,,,
21,BLBD,BLUE BIRD CORP,Industrials,21,81.455002,,,,,,,
22,HBNC,HORIZON BANCORP INC,Financials,22,20.18,,,,,,,
23,TRST,TRUSTCO BANK CORP,Financials,23,55.130001,,,,,,,
24,LARK,LANDMARK BANCORP INC,Financials,24,31.07,,,,,,,
25,AEBI,AEBI SCHMIDT HOLDING AG,Industrials,25,12.92,,,,,,,
26,GOOD,GLADSTONE COMMERCIAL REIT CORP,Real Estate,26,13.045,,,,,,,
27,COFS,CHOICEONE FINANCIAL SERVICES INC,Financials,27,34.0,,,,,,,
28,DHC,DIVERSIFIED HEALTHCARE TRUST,Real Estate,28,9.475,,,,,,,
29,RPC,RIDGEPOST CAPITAL INC CLASS A,Financials,29,8.68,,,,,,,
30,PECO,PHILLIPS EDISON AND COMPANY INC,Real Estate,30,43.674999,,,,,,,
31,DJCO,DAILY JOURNAL CORP,Information Technology,31,605.789978,,,,,,,
32,PLBC,PLUMAS BANCORP,Financials,32,60.84,,,,,,,
33,FBIZ,FIRST BUSINESS FINANCIAL SERVICES,Financials,33,65.529999,,,,,,,
34,DJT,TRUMP MEDIA TECHNOLOGY GROUP CORP,Communication,34,9.733,,,,,,,
35,HCSG,HEALTHCARE SERVICES GROUP INC,Industrials,35,25.07,,,,,,,
36,WTTR,SELECT WATER SOLUTIONS INC CLASS A,Energy,36,20.48,,,,,,,
37,BBNX,BETA BIONICS INC,Health Care,37,17.6,,,,,,,
38,URGN,UROGEN PHARMA LTD,Health Care,38,42.505001,,,,,,,
39,SMTI,SANARA MEDTECH INC,Health Care,39,25.5,,,,,,,
40,FBP,FIRST BANCORP,Financials,40,27.424999,,,,,,,
41,ANDE,ANDERSONS INC,Consumer Staples,41,78.330002,,,,,,,
42,AGM,FEDERAL AGRICULTURAL MORTGAGE NON,Financials,42,206.0,,,,,,,
43,EAT,BRINKER INTERNATIONAL INC,Consumer Discretionary,43,193.179993,,,,,,,
44,GTY,GETTY REALTY REIT CORP,Real Estate,44,36.055,,,,,,,
45,NXDT,NEXPOINT DIVERSIFIED REAL ESTATE T,Real Estate,45,5.725,,,,,,,
46,WSBC,WESBANCO INC,Financials,46,40.41,,,,,,,
47,QTWO,Q2 HOLDINGS INC,Information Technology,47,54.869999,,,,,,,
48,IIIN,INSTEEL INDUSTRIES INC,Industrials,48,32.18,,,,,,,
49,FF,FUTUREFUEL CORP,Energy,49,5.02,,,,,,,
50,UA,UNDER ARMOUR INC CLASS C,Consumer Discretionary,50,7.145,,,,,,,
