rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note,confirmation_layer,confirmation_hit,confirmation_score,model_data_date
1,ESQ,ESQUIRE FINANCIAL HOLDINGS INC,Financials,92.11,Deep v4 Shape Embedding 确认层 强确认,123.660004,63.46,1.82,0.02630929,0.03698117,0.01752658,87.7,59.72,88.8,80.89,100.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 92.1,Deep v4 Shape Embedding 确认层,yes,92.11,2026-09-17
2,PRLB,PROTO LABS,Industrials,92.02,Deep v4 Shape Embedding 确认层 强确认,86.525002,65.91,2.56,0.03141022,0.08590615,0.01938036,90.4,71.92,79.0,80.89,66.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 92.0,Deep v4 Shape Embedding 确认层,yes,92.02,2026-09-17
3,BRKR,Bruker Corporation - Common Stock,,91.33,Deep v4 Shape Embedding 确认层 强确认,63.049999,67.28,1.43,0.03734781,0.17740430,0.10866890,90.4,73.35,81.8,81.68,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 91.3,Deep v4 Shape Embedding 确认层,yes,91.33,2026-09-17
4,XMTR,XOMETRY CLASS A,Industrials,88.12,Deep v4 Shape Embedding 确认层 强确认,95.260002,60.59,1.41,0.02188373,0.12401182,0.10806096,90.4,77.12,90.2,81.68,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 88.1,Deep v4 Shape Embedding 确认层,yes,88.12,2026-09-17
5,ARM,Arm Holdings plc - American Depositary Shares,,85.69,Deep v4 Shape Embedding 确认层 强确认,264.899994,58.9,0.76,0.07571415,0.04258498,0.04538280,98.2,57.05,91.6,80.0,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 85.7,Deep v4 Shape Embedding 确认层,yes,85.69,2026-09-17
6,HONA,Honeywell Aerospace,Industrials,85.39,Deep v4 Shape Embedding 确认层 强确认,167.130005,59.83,1.26,0.00850835,0.08716587,0.03978601,87.7,57.19,90.2,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 85.4,Deep v4 Shape Embedding 确认层,yes,85.39,2026-09-17
7,VSTS,VESTIS,Industrials,81.4,Deep v4 Shape Embedding 确认层 强确认,13.85,64.74,0.77,0.00108421,0.06252397,0.06415674,87.7,72.28,100.0,80.89,68.0,72.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 81.4,Deep v4 Shape Embedding 确认层,yes,81.4,2026-09-17
8,WOR,WORTHINGTON ENTERPRISES,Industrials,80.33,Deep v4 Shape Embedding 确认层 强确认,59.98,56.66,1.54,-0.00464650,0.04041627,0.05209616,92.8,67.67,100.0,80.89,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 80.3,Deep v4 Shape Embedding 确认层,yes,80.33,2026-09-17
9,VIA,VIA TRANSPORTATION CLASS A,Information Technology,78.19,Deep v4 Shape Embedding 确认层 一般确认,27.865999,60.18,1.18,0.05273895,0.05793466,0.11419428,92.8,55.03,91.6,80.89,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 78.2,Deep v4 Shape Embedding 确认层,no,78.19,2026-09-17
10,AMRX,AMNEAL PHARMACEUTICALS CLASS A,Health Care,77.6,Deep v4 Shape Embedding 确认层 一般确认,18.280001,63.18,1.36,0.01923624,0.08293851,0.00467167,90.4,47.92,88.8,80.89,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 77.6,Deep v4 Shape Embedding 确认层,no,77.6,2026-09-17
