current_rank,ticker,name,sector,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,STE,Steris,Health Care,1,218.595001,,,,,,,,,,,,,,,,,28,217.839996,
2,MSI,Motorola Solutions,Information Technology,2,423.799988,,,,,,,,,,,,,,,,,,,
3,FIS,Fidelity National Information Services,Financials,3,43.150002,,,,,,,,,,,,,,,,,,,
4,BL,BLACKLINE INC,Information Technology,4,30.66,,,,,,,,,,,,,,,,,,,
5,TRMB,Trimble Inc.,Information Technology,5,55.77,,,,,,,,,,,,,,17,53.209999,,40,52.720001,0.00929435
6,CRM,Salesforce,Information Technology,6,173.550003,,,,,,,,,,,,,,33,173.770004,,,,
7,BR,Broadridge Financial Solutions,Industrials,7,152.710007,,,,,,,,,,,,,,,,,,,
8,CBRE,CBRE Group,Real Estate,8,143.895004,,,,,,,,,,,,,,,,,,,
9,SOLV,Solventum,Health Care,9,80.449997,,,,,,,,,,,,,,,,,,,
10,LKFN,LAKELAND FINANCIAL CORP,Financials,10,63.349998,,,,,,,,,,,,,,,,,,,
11,HZO,MARINEMAX INC,Consumer Discretionary,11,36.290001,,,,,,,,,,,,,,,,,,,
12,VRSN,Verisign,Information Technology,12,274.820007,,,,,,,,,,,,,,,,,32,277.660004,
13,ADBE,Adobe Inc.,Information Technology,13,237.75,,,,,,,,,,,,,,,,,,,
14,NE,NOBLE CORPORATION PLC,Energy,14,43.150002,,7,43.27,-0.00277324,30,43.110001,0.00371141,,,,,,,,,,,,
15,AOS,A. O. Smith,Industrials,15,62.470001,,,,,,,,,,,,,,,,,,,
16,MC,MOELIS CLASS A,Financials,16,67.790001,,,,,,,,,,,,,,,,,,,
17,GRDN,GUARDIAN PHARMACY SERVICES INC CLA,Health Care,17,41.490002,,,,,,,,,,,,,,,,,,,
