current_rank,ticker,name,sector,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,CASY,Casey's,Consumer Staples,1,847.619995,,1,854.460022,-0.00800509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SNDA,SONIDA SENIOR LIVING,Health Care,2,42.0625,,4,41.990002,0.00172655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CCSI,CONSENSUS CLOUD SOLUTIONS INC,Information Technology,3,37.685001,,6,36.98,0.01906439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,WAFD,WAFD INC,Financials,4,37.490002,,3,37.330002,0.00428610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,HROW,HARROW,Health Care,5,41.485001,,24,40.700001,0.01928747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,FDMT,4D MOLECULAR THERAPEUTICS INC,Health Care,6,11.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GNW,GENWORTH FINANCIAL INC,Financials,7,9.82,,5,9.795,0.00255232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,RPRX,Royalty Pharma plc - Class A Ordinary Shares,,8,58.32,,7,57.970001,0.00603759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,LYB,LyondellBasell,Materials,9,63.549999,,,,,,,,32,61.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,LNN,LINDSAY,Industrials,10,116.489998,,11,115.360001,0.00979540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,HMH,HMH HOLDING INC CLASS A,Energy,11,20.27,,8,20.5,-0.01121951,,,,41,19.93,,13,20.620001,-0.03346270,,,,,,,32,20.790001,,12,20.120001,0.03330020,,,,,,,,,,,,,,,,44,21.049999,
12,EFC,ELLINGTON FINANCIAL,Financials,12,13.59,,9,13.48,0.00816024,,,,,,,,,,,,,,,,,,,,,,35,13.46,,13,13.545,-0.00627538,,,,,,,,,,,,
