current_rank,ticker,name,sector,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,BRCB,BLACK ROCK COFFEE BAR CLASS A,Consumer Discretionary,1,8.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CGON,CG ONCOLOGY,Health Care,2,72.419998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,RYTM,RHYTHM PHARMACEUTICALS,Health Care,3,110.709999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,WAFD,WAFD INC,Financials,4,37.720001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,OTTR,OTTER TAIL,Utilities,5,92.900002,,10,92.82,0.00086190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,EXEL,"Exelixis, Inc. - Common Stock",,6,56.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DMRA,DAMORA THERAPEUTICS INC,Health Care,7,30.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MCY,MERCURY GENERAL,Financials,8,109.455002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,TITN,TITAN MACHINERY INC,Industrials,9,19.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MTX,MINERALS TECHNOLOGIES,Materials,10,77.120003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,GDOT,GREEN DOT CLASS A,Financials,11,13.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MOS,Mosaic Company (The),Materials,12,23.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,DFTX,DEFINIUM THERAPEUTICS INC,Health Care,13,44.389999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
