current_rank,ticker,name,sector,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,MOS,Mosaic Company (The),Materials,1,23.42,,,,,,,,,,,30,22.77,,,,,,,,,,,,,,,,,,,
2,IRM,Iron Mountain,Real Estate,2,127.230003,,32,125.400002,0.01459331,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,HUBB,Hubbell Incorporated,Industrials,3,513.849976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DIS,Walt Disney Company (The),Communication Services,4,101.769997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AKAM,Akamai Technologies,Information Technology,5,122.269997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WYNN,Wynn Resorts,Consumer Discretionary,6,101.150002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,EQIX,Equinix,Real Estate,7,1056.199951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,RYTM,RHYTHM PHARMACEUTICALS,Health Care,8,110.709999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DNTH,DIANTHUS THERAPEUTICS INC,Health Care,9,112.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WAFD,WAFD INC,Financials,10,37.720001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,BRCB,BLACK ROCK COFFEE BAR CLASS A,Consumer Discretionary,11,8.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CGON,CG ONCOLOGY,Health Care,12,72.419998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,OTTR,OTTER TAIL,Utilities,13,92.900002,,12,92.82,0.00086190,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,RCMT,RCM TECHNOLOGIES INC,Industrials,14,29.059999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,FBLA,FB BANCORP INC,Financials,15,15.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MCFT,MASTERCRAFT BOAT HOLDINGS INC,Consumer Discretionary,16,25.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Z,"Zillow Group, Inc. - Class C Capital Stock",,17,36.099998,,,,,,,,7,34.060001,,,,,25,34.0,,,,,,,,,,,,,,,,
18,MCY,MERCURY GENERAL,Financials,18,109.455002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,EXEL,"Exelixis, Inc. - Common Stock",,19,56.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MTX,MINERALS TECHNOLOGIES,Materials,20,77.120003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,GDOT,GREEN DOT CLASS A,Financials,21,13.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,DMRA,DAMORA THERAPEUTICS INC,Health Care,22,30.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FEIM,FREQUENCY ELECTRONICS INC,Information Technology,23,71.029999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,HSIC,Henry Schein,Health Care,24,89.589996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,WFRD,Weatherford International plc - Ordinary shares,,25,87.529999,,26,89.419998,-0.02113620,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PFE,Pfizer,Health Care,26,25.795,,44,25.4,0.01555118,,,,,,,,,,,,,6,25.26,,,,,,,,,,,,,
27,ENR,ENERGIZER HOLDINGS INC,Consumer Staples,27,22.530001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,MKTW,MARKETWISE INC CLASS A,Financials,28,21.129999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,DFTX,DEFINIUM THERAPEUTICS INC,Health Care,29,44.389999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,JBIO,JADE BIOSCIENCES INC,Health Care,30,21.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CVNA,Carvana,Consumer Discretionary,31,69.474998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,GILD,Gilead Sciences,Health Care,32,131.759995,,1,135.25,-0.02580410,,,,,,,,,,,,,2,134.320007,,,,,,,,,,,,,
33,MHO,M I HOMES INC,Consumer Discretionary,33,150.380005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,TITN,TITAN MACHINERY INC,Industrials,34,19.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MWA,MUELLER WATER PRODUCTS SERIES A,Industrials,35,26.389999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,TRMB,Trimble Inc.,Information Technology,36,58.580002,,,,,,,,,,,,,,,,,,,,12,55.77,,,,,,,,,,
37,NMRK,NEWMARK GROUP INC CLASS A,Real Estate,37,15.58,,,,,,,,,,,,,,,,,,,,47,15.89,,,,,,,,,,
38,WD,WALKER & DUNLOP INC,Financials,38,51.384998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,OPCH,OPTION CARE HEALTH INC,Health Care,39,23.700001,,,,,,,,,,,,,,,,,17,22.48,,,,,,,,,,,,,
40,PBH,PRESTIGE CONSUMER HEALTHCARE INC,Health Care,40,52.970001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,CSV,CARRIAGE SERVICES INC,Consumer Discretionary,41,41.195,,,,,,,,,,,35,40.119999,,,,,,,,,,,,,,,,,,,
42,SYM,Symbotic Inc. - Class A Common Stock,,42,46.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,TIC,TIC SOLUTIONS INC,Industrials,43,8.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,VSEC,VSE CORP,Industrials,44,215.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,COLL,COLLEGIUM PHARMACEUTICAL INC,Health Care,45,35.740002,,,,,,,,,,,,,,19,36.290001,,,,,,,,,,,,,,,,
46,HCKT,HACKETT GROUP,Information Technology,46,11.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,KOP,KOPPERS HOLDINGS INC,Materials,47,51.189999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,CRVL,CORVEL,Health Care,48,62.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,AOS,A. O. Smith,Industrials,49,63.169998,,,,,,,,,,,,,,,,,,,,25,62.470001,,,,,,,,,,
50,MYFW,FIRST WESTERN FINANCIAL INC,Financials,50,32.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
