rank,ticker,first_seen_date,buy_date,latest_date,close,entry_return,exit_score,action,sell_signal,consecutive_signal_days,sell_reasons,drawdown_63d,change_5d,change_20d,rsi14,chart_href
1,AXP,2026-07-02,2026-07-02,2026-09-23,302.220001,-0.14132285280118662,100.0,TRIM,True,20,硬止损: 持仓相对成本约 -14.1%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -10.0%; 动能转弱: RSI 27.2 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -16.4%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.16414526883033176,-0.032679295294162136,-0.10040187466937789,27.206753419833007,exit-risk-trends.html#ticker-axp
2,CLX,2026-06-26,2026-06-30,2026-09-23,85.074997,-0.10860231331512349,100.0,TRIM,True,16,硬止损: 持仓相对成本约 -10.9%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -18.9%; 动能转弱: RSI 32.4 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -21.4%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.21408778752886837,0.002533537561471455,-0.18922141427618422,32.37926014816507,exit-risk-trends.html#ticker-clx
3,ERIE,2026-07-02,2026-07-02,2026-09-23,226.904999,-0.12476374541947921,100.0,WATCH,True,7,硬止损: 持仓相对成本约 -12.5%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -7.6%; 动能转弱: 20日跌幅 -12.0%; 动能转弱: RSI 33.1 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -15.5%,-0.15535666196266407,-0.07604447775841294,-0.12045511541589937,33.12680027224417,exit-risk-trends.html#ticker-erie
4,PCAR,2026-07-06,2026-07-06,2026-09-23,112.540001,-0.10618697939204258,100.0,TRIM,True,17,硬止损: 持仓相对成本约 -10.6%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -4.8%; 动能转弱: 20日跌幅 -12.9%; 动能转弱: RSI 21.5 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -18.6%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.18573189132390389,-0.048046015496142624,-0.12908218442128006,21.492003749389696,exit-risk-trends.html#ticker-pcar
5,PYPL,2026-07-06,2026-07-06,2026-09-23,52.525002,0.16489248170325999,100.0,WATCH,True,16,利润保护: 曾有较大盈利但63日高点回撤 -15.7%; 利润保护: 收盘 $52.53 跌破 3ATR 动态保护线 $57.38; 利润保护: 阶段回撤扩大且价格低于 EMA26; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -15.6%; 动能转弱: RSI 40.4 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -15.7%,-0.1569020410417663,-0.0035097135934304413,-0.156495872811948,40.41661595488089,exit-risk-trends.html#ticker-pypl
6,RCL,2026-06-26,2026-06-30,2026-09-23,226.759995,-0.2858627666231939,100.0,TRIM,True,27,硬止损: 持仓相对成本约 -28.6%，超过 -7% 防线; 新鲜破位: 放量下跌，成交量约为20日均量 2.2 倍; 派发聚集: 最近5日出现 3 个放量下跌日; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -10.7%; 动能转弱: 20日跌幅 -22.4%; 动能转弱: RSI 19.5 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -30.7%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.3074339197463778,-0.1069628355935951,-0.22419518964810048,19.4592040085476,exit-risk-trends.html#ticker-rcl
7,KMB,2026-07-06,2026-07-06,2026-09-23,97.864998,-0.13401472198894393,98.0,TRIM,True,12,硬止损: 持仓相对成本约 -13.4%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -11.8%; 动能转弱: RSI 32.5 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -14.7%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.14707164279364904,-0.00239551482967415,-0.11849215776865862,32.51042030466452,exit-risk-trends.html#ticker-kmb
8,ORCL,2026-07-02,2026-07-02,2026-09-23,145.539993,0.03757032045140596,98.0,TRIM,True,1,新鲜破位: 收盘新跌破 EMA50; 新鲜破位: 收盘新跌破 EMA26; 新鲜破位: EMA9 新下穿 EMA26; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: RSI 47.6 低于50; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -10.4%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.1044795137957294,0.016624678216689892,0.005388215162621446,47.57282809953882,exit-risk-trends.html#ticker-orcl
9,GOOG,2026-07-02,2026-07-02,2026-09-23,335.960297,-0.05676819697169233,96.0,WATCH,True,1,硬止损观察: 持仓约 -5.7% 且收盘跌破 EMA26; 硬止损观察: 未盈利持仓出现新跌破 EMA26; 新鲜破位: 收盘新跌破 EMA50; 新鲜破位: 收盘新跌破 EMA26; 动能转弱: RSI 45.6 低于50; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -10.5%,-0.10494127712895251,-0.010017940093909328,-0.021493851826106414,45.6007273179416,exit-risk-trends.html#ticker-goog
10,CMG,2026-07-02,2026-07-02,2026-09-23,32.790001,-0.07346702665914195,94.0,WATCH,True,7,硬止损: 持仓相对成本约 -7.3%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -12.4%; 动能转弱: RSI 36.2 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -14.9%,-0.1487538681204571,-0.026425148456057146,-0.12396470745391408,36.19996694772955,exit-risk-trends.html#ticker-cmg
