current_rank,ticker,name,sector,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
37,FOR,FORESTAR GROUP INC,Real Estate,37,29.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,DMC,DEL MONTE,Consumer Staples,38,30.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,TSCO,Tractor Supply,Consumer Discretionary,39,33.509998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,FWONK,Liberty Media Corporation - Series C Liberty Formula One Common Stock,,40,101.955002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,POOL,Pool Corporation - Common Stock,,41,206.093796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,OTIS,Otis Worldwide,Industrials,42,74.635002,,,,,,,,37,73.629997,,,,,,,,,,,,,,11,73.614998,,,,,,,,,,,,,,,,,,,,,,
43,MWA,MUELLER WATER PRODUCTS SERIES A,Industrials,43,26.969999,,,,,13,26.389999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,BKE,BUCKLE,Consumer Discretionary,44,45.535,,25,45.740002,-0.00448190,,,,,,,,,,17,43.73,,16,44.009998,-0.00636215,8,45.009998,-0.02221729,,,,,,,,,,,,,,,,,,,,,,,,
45,FWONA,Liberty Media Corporation - Series A Liberty Formula One Common Stock,,45,93.480003,,,,,,,,,,,,,,,,,,,,,,,29,92.900002,,,,,,,,,,,,,,,,,,,,,,
46,SHOE,SHOE STATION GROUP INC,Consumer Discretionary,46,15.51,,46,15.64,-0.00831202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,KALU,KAISER ALUMINIUM,Materials,47,176.440002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,YELP,YELP,Communication,48,27.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,VHI,VALHI INC,Materials,49,15.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,TMDX,TRANSMEDICS GROUP,Health Care,50,80.585098,,34,80.209999,0.00467646,,,,26,80.75,,46,81.550003,-0.00980997,,,,,,,,,,7,76.290001,,,,,,,,,,,,,,,,,,,,,,
