early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,BRBR,BELLRING BRANDS INC,RUSSELL2000,Consumer Staples,77.96,82.0,early_transition,61.8,bullish_above_signal_proxy,98.86,55.02,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
2,KYMR,KYMERA THERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,75.34,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,100.0,55.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
3,GERN,GERON CORP,NASDAQ+RUSSELL2000,Health Care,75.2,82.0,early_transition,61.8,bullish_above_signal_proxy,90.5,53.35,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
4,SVC,SERVICE PROPERTIES TRUST,NASDAQ+RUSSELL2000,Real Estate,75.19,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
5,RCKT,ROCKET PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,74.57,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,97.66,54.78,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
6,MGTX,MEIRAGTX HOLDINGS PLC,NASDAQ+RUSSELL2000,Health Care,74.34,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,96.99,54.65,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
7,NABL,N ABLE INC,RUSSELL2000,Information Technology,74.18,82.0,early_transition,61.8,bullish_above_signal_proxy,87.86,51.82,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
8,PSNL,PERSONALIS INC,NASDAQ+RUSSELL2000,Health Care,73.21,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,93.56,53.96,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
9,CRVS,CORVUS PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,73.17,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,93.45,53.94,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
10,PESI,PERMA FIX ENVIRONMENTAL SERVICES I,NASDAQ+RUSSELL2000,Industrials,72.67,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,92.38,52.73,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
11,REAX,REAL BROKERAGE INC,NASDAQ+RUSSELL2000,Real Estate,72.58,82.0,early_transition,61.8,bullish_above_signal_proxy,83.01,50.85,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
12,IMRX,IMMUNEERING CORP CLASS A,NASDAQ+RUSSELL2000,Health Care,72.47,82.0,early_transition,61.8,bullish_above_signal_proxy,82.21,51.69,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
13,DSGN,DESIGN THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,72.34,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,90.92,53.43,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
14,IRWD,IRONWOOD PHARMA INC CLASS A,NASDAQ+RUSSELL2000,Health Care,71.95,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,89.74,53.2,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
15,MLKN,MILLERKNOLL INC,NASDAQ+RUSSELL2000,Industrials,71.52,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,88.88,52.03,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
16,PHAT,PHATHOM PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,71.26,82.0,early_transition,61.8,bullish_above_signal_proxy,78.55,50.96,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
17,BULL,WEBULL CORP CLASS A,NASDAQ+RUSSELL2000,Financials,71.2,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,87.93,51.84,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
18,ALTI,ALTI GLOBAL INC CLASS A,NASDAQ+RUSSELL2000,Financials,71.09,82.0,early_transition,61.8,bullish_above_signal_proxy,78.5,49.95,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
19,DYN,DYNE THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,70.7,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,85.95,52.44,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
20,IMMX,IMMIX BIOPHARMA INC,NASDAQ+RUSSELL2000,Health Care,70.64,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,85.77,52.4,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
21,NAT,NORDIC AMERICAN TANKERS LTD,RUSSELL2000,Energy,70.61,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,65.68,47.39,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
22,RLAY,RELAY THERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,70.51,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,85.37,52.32,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
23,ALMR,ALAMAR BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,70.46,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,85.22,52.29,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
24,CELC,CELCUITY INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,70.34,82.0,early_transition,49.8,bullish_below_zero_proxy,84.85,52.22,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
25,CLDX,CELLDEX THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,70.18,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,84.38,52.13,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
26,CXT,CRANE NXT,RUSSELL2000,Information Technology,70.18,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,84.82,51.21,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
27,BWIN,BALDWIN INSURANCE GROUP INC CLASS,NASDAQ+RUSSELL2000,Financials,70.06,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,84.46,51.14,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
28,CNTB,CONNECT BIOPHARMA HOLDINGS LTD,NASDAQ+RUSSELL2000,Health Care,70.05,82.0,early_transition,61.8,bullish_above_signal_proxy,74.88,50.23,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
29,LMRI,LUMEXA IMAGING HOLDINGS INC,NASDAQ+RUSSELL2000,Health Care,69.99,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.79,52.01,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
30,AVNW,AVIAT NETWORKS INC,NASDAQ+RUSSELL2000,Information Technology,69.92,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,63.6,46.97,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
31,ERAS,ERASCA INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,69.92,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.58,51.97,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
32,DTIL,PRECISION BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,69.82,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.27,51.9,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
33,CTNM,CONTINEUM THERAPEUTICS INC CLASS A,NASDAQ+RUSSELL2000,Health Care,69.75,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.07,51.86,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
34,VITL,VITAL FARMS INC,NASDAQ+RUSSELL2000,Consumer Staples,69.61,82.0,early_transition,61.8,bullish_above_signal_proxy,73.56,49.96,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
35,LILA,LIBERTY LATIN AMERICA LTD CLASS A,NASDAQ+RUSSELL2000,Communication,69.53,82.0,early_transition,49.8,bullish_below_zero_proxy,82.86,50.82,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
36,KMPR,KEMPER CORP,RUSSELL2000,Financials,69.38,82.0,early_transition,61.8,bullish_above_signal_proxy,73.32,48.91,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
37,BKH,BLACK HILLS CORP,RUSSELL2000,Utilities,69.36,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,61.43,47.54,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
38,CRBP,CORBUS PHARMACEUTICALS HOLDINGS IN,NASDAQ+RUSSELL2000,Health Care,69.34,82.0,early_transition,61.8,bullish_above_signal_proxy,72.74,49.8,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
39,MYGN,MYRIAD GENETICS INC,NASDAQ+RUSSELL2000,Health Care,69.32,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.76,51.6,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
40,ACRS,ACLARIS THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,69.19,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.36,51.52,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
41,NP,NEPTUNE INSURANCE HOLDINGS INC CLA,RUSSELL2000,Financials,69.17,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.77,50.6,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
42,UIS,UNISYS CORP,RUSSELL2000,Information Technology,69.14,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,61.23,46.5,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
43,DMRA,DAMORA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,69.1,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.09,51.47,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
44,ATAI,ATAIBECKLEY INC,NASDAQ+RUSSELL2000,Health Care,69.06,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.98,51.45,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
45,BCRX,BIOCRYST PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,68.96,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.67,51.38,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
46,FLYW,FLYWIRE CORP,NASDAQ+RUSSELL2000,Financials,68.93,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.03,50.46,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
47,ELMD,ELECTROMED INC,RUSSELL2000,Health Care,68.93,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.59,51.37,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
48,INSP,INSPIRE MEDICAL SYSTEMS INC,RUSSELL2000,Health Care,68.86,82.0,early_transition,61.8,bullish_above_signal_proxy,71.29,49.51,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
49,SRPT,SAREPTA THERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,68.85,82.0,early_transition,61.8,bullish_above_signal_proxy,71.26,49.5,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
50,DFIN,DONNELLEY FINANCIAL SOLUTIONS INC,RUSSELL2000,Financials,68.85,82.0,early_transition,61.8,bullish_above_signal_proxy,71.71,48.59,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
51,WAY,WAYSTAR HOLDING CORP,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,68.8,82.0,early_transition,61.8,bullish_above_signal_proxy,71.08,49.47,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
52,NUTX,NUTEX HEALTH INC,NASDAQ+RUSSELL2000,Health Care,68.77,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.09,51.27,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
53,NWE,NORTHWESTERN ENERGY GROUP INC,NASDAQ+RUSSELL2000,Utilities,68.75,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,59.59,47.17,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
54,LMND,LEMONADE INC,RUSSELL2000,Financials,68.61,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.07,50.26,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
55,EYE,NATIONAL VISION HOLDINGS INC,NASDAQ+RUSSELL2000,Consumer Discretionary,68.44,82.0,early_transition,61.8,bullish_above_signal_proxy,70.46,48.34,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
56,RSVR,RESERVOIR MEDIA INC,NASDAQ+RUSSELL2000,Communication,68.43,100.0,fresh_bullish_cross,71.8,fresh_below_zero_cross_proxy,46.49,43.55,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
