current_rank,ticker,name,sector,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,AVT,"Avnet, Inc. - Common Stock",,1,90.129997,,13,89.849998,0.00311629,,,,,,
2,GWRS,GLOBAL WATER RESOURCES INC,Utilities,2,7.16,,,,,,,,,,
3,PACK,RANPAK HOLDINGS CORP CLASS A,Materials,3,7.0,,,,,,,,,,
4,HON,Honeywell Technologies,Industrials,4,232.990005,,2,229.860001,0.01361700,,,,,,
5,FEIM,FREQUENCY ELECTRONICS INC,Information Technology,5,72.389999,,,,,15,66.720001,,,,
6,VVX,V2X INC,Industrials,6,81.014999,,29,78.970001,0.02589588,,,,,,
7,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,7,16.290001,,47,16.18,0.00679858,,,,,,
8,KVHI,KVH INDUSTRIES INC,Information Technology,8,9.26,,28,9.31,-0.00537057,,,,,,
9,SRI,STONERIDGE INC,Consumer Discretionary,9,7.39,,26,7.37,0.00271370,,,,,,
10,CNK,CINEMARK HOLDINGS INC,Communication,10,32.240002,,27,31.52,0.02284270,12,31.969999,-0.01407567,,,
11,RSVR,RESERVOIR MEDIA INC,Communication,11,10.26,,,,,,,,,,
12,BF-B,Brown–Forman,Consumer Staples,12,26.391001,,34,26.275,0.00441488,,,,,,
13,CNX,CNX RESOURCES CORP,Energy,13,34.639999,,15,33.639999,0.02972652,,,,,,
14,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",,14,184.360001,,,,,,,,,,
15,MDLZ,Mondelez International,Consumer Staples,15,60.860001,,,,,35,60.27,,1,61.0,-0.01196721
16,AIRS,AIRSCULPT TECHNOLOGIES INC,Health Care,16,4.82,,32,4.86,-0.00823045,20,4.78,0.01673640,,,
17,F,Ford Motor Company,Consumer Discretionary,17,14.405,,,,,,,,,,
18,BGC,BGC GROUP INC CLASS A,Financials,18,11.51,,,,,,,,,,
19,MAT,"Mattel, Inc. - Common Stock",,19,14.4,,,,,,,,,,
20,AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Discretionary,20,17.799999,,,,,,,,30,17.030001,
21,GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,21,327.779999,,,,,,,,,,
22,SXC,SUNCOKE ENERGY INC,Materials,22,8.705,,,,,,,,,,
23,INR,INFINITY NATURAL RESOURCES INC CLA,Energy,23,13.615,,,,,,,,,,
24,CPS,COOPER STANDARD HOLDINGS INC,Consumer Discretionary,24,29.02,,,,,,,,,,
25,EPSN,EPSILON ENERGY LTD,Energy,25,5.66,,,,,,,,,,
26,HST,Host Hotels & Resorts,Real Estate,26,24.5,,,,,1,24.059999,,5,23.940001,0.00501245
27,WOOF,PETCO HEALTH AND WELLNESS COMPANY,Consumer Discretionary,27,2.685,,,,,19,2.71,,,,
28,FCX,Freeport-McMoRan,Materials,28,64.989998,,,,,,,,,,
29,USLM,UNITED STATES LIME AND MINERALS IN,Materials,29,107.239998,,,,,,,,,,
30,GEMI,GEMINI SPACE STATION INC CLASS A,Financials,30,4.56,,,,,,,,,,
31,IRM,Iron Mountain,Real Estate,31,124.550003,,,,,,,,11,123.82,
32,FLR,FLUOR CORP,Industrials,32,51.580002,,,,,,,,,,
33,GNE,GENIE ENERGY LTD CLASS B,Utilities,33,14.53,,,,,,,,,,
34,ULH,UNIVERSAL LOGISTICS HOLDINGS INC,Industrials,34,16.059999,,38,15.46,0.03880977,,,,,,
35,MTUS,METALLUS INC,Materials,35,20.0,,,,,,,,,,
36,COCO,THE VITA COCO COMPANY INC,Consumer Staples,36,74.449997,,,,,,,,,,
37,CNR,CORE NATURAL RESOURCES INC,Energy,37,87.525002,,,,,,,,,,
38,TNDM,TANDEM DIABETES CARE INC,Health Care,38,16.91,,,,,,,,,,
39,SMP,STANDARD MOTOR PRODUCTS INC,Consumer Discretionary,39,38.700001,,,,,,,,50,38.59,
40,UVV,UNIVERSAL CORP,Consumer Staples,40,53.75,,,,,,,,48,53.139999,
41,ASIX,ADVANSIX INC,Materials,41,21.85,,,,,,,,,,
42,TSEM,Tower Semiconductor Ltd. - Ordinary Shares,,42,249.529999,,36,250.910004,-0.00550000,,,,,,
43,JOUT,JOHNSON OUTDOORS INC CLASS A,Consumer Discretionary,43,46.68,,,,,,,,,,
44,GCO,GENESCO INC,Consumer Discretionary,44,35.970001,,,,,,,,,,
45,AZZ,AZZ INC,Industrials,45,150.779999,,20,150.529999,0.00166080,,,,,,
46,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,Industrials,46,7.48,,,,,,,,,,
47,CLSK,CLEANSPARK INC,Information Technology,47,15.325,,5,15.38,-0.00357607,,,,,,
48,URBN,URBAN OUTFITTERS INC,Consumer Discretionary,48,73.709999,,,,,,,,,,
49,TAP,Molson Coors Beverage Company,Consumer Staples,49,41.029999,,,,,,,,,,
50,GEVO,GEVO INC,Energy,50,1.75,,,,,,,,,,
