current_rank,ticker,name,sector,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,COIN,Coinbase,Financials,1,180.350006,,,,,,,
2,FIGR,"Figure Technology Solutions, Inc. - Class A Common Stock",,2,33.150002,,,,,,,
3,FISV,Fiserv,Financials,3,51.330002,,12,51.68,-0.00677241,,,
4,BNTX,BioNTech SE - American Depositary Shares,,4,93.239998,,,,,,,
5,AIR,AAR CORP,Industrials,5,139.949997,,5,135.850006,0.03018028,,,
6,PNRG,PRIMEENERGY RESOURCES CORP,Energy,6,188.570007,,44,187.240005,0.00710319,,,
7,DVN,Devon Energy,Energy,7,43.98,,,,,,,
8,VNOM,"Viper Energy, Inc.  - Class A Common Stock",,8,44.275002,,,,,,,
9,CCBG,CAPITAL CITY BANK INC,Financials,9,51.02,,,,,,,
10,FUTU,Futu Holdings Limited - American Depositary Shares,,10,101.669998,,,,,,,
11,TRST,TRUSTCO BANK CORP,Financials,11,55.517502,,28,55.439999,0.00139796,,,
12,AKAM,Akamai Technologies,Information Technology,12,126.940002,,11,123.129997,0.03094295,,,
13,INTU,Intuit,Information Technology,13,293.190002,,,,,,,
14,HMH,HMH HOLDING INC CLASS A,Energy,14,19.885,,,,,,,
15,SDRL,SEADRILL LTD,Energy,15,43.23,,32,42.456001,0.01823061,,,
16,EVER,EVERQUOTE INC CLASS A,Communication,16,26.280001,,,,,,,
17,UVV,UNIVERSAL CORP,Consumer Staples,17,53.169998,,,,,,,
18,NTGR,NETGEAR INC,Information Technology,18,24.15,,,,,,,
19,APA,APA Corporation,Energy,19,35.384998,,,,,,,
20,FOX,Fox Corporation (Class B),Communication Services,20,51.369999,,9,51.549999,-0.00349176,,,
21,VST,Vistra Corp.,Utilities,21,160.949997,,,,,,,
22,CBOE,Cboe Global Markets,Financials,22,277.359985,,,,,,,
23,WRB,W. R. Berkley Corporation,Financials,23,72.870003,,,,,,,
24,HST,Host Hotels & Resorts,Real Estate,24,24.030001,,,,,,,
25,TNK,TEEKAY TANKERS LTD CLASS A,Energy,25,74.900002,,,,,,,
26,ASC,ARDMORE SHIPPING CORP,Energy,26,16.415001,,,,,,,
27,RBKB,RHINEBECK BANCORP INC,Financials,27,17.58,,,,,,,
28,MUR,MURPHY OIL CORP,Energy,28,37.125,,2,36.825001,0.00814661,,,
29,TXNM,TXNM ENERGY INC,Utilities,29,57.884998,,50,57.82,0.00112414,,,
30,BG,Bunge Global,Consumer Staples,30,121.849998,,14,120.650002,0.00994609,,,
31,PLUS,EPLUS,Information Technology,31,91.385002,,47,90.400002,0.01089602,,,
32,ISSC,INNOVATIVE SOLUTIONS AND SUPPORT I,Industrials,32,18.98,,,,,,,
33,VVX,V2X INC,Industrials,33,80.57,,,,,,,
34,MAT,"Mattel, Inc. - Common Stock",,34,14.33,,17,14.14,0.01343706,,,
35,ACN,Accenture,Information Technology,35,143.419998,,,,,,,
36,ITRI,ITRON INC,Information Technology,36,85.889999,,,,,23,85.989998,
37,SJM,J.M. Smucker Company (The),Consumer Staples,37,114.129997,,45,112.519997,0.01430857,,,
38,GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,38,313.595001,,,,,22,326.059998,
39,NLOP,NET LEASE OFFICE PROPERTIES,Real Estate,39,11.9,,,,,,,
40,BLBD,BLUE BIRD CORP,Industrials,40,81.559998,,,,,,,
41,CBRL,CRACKER BARREL OLD COUNTRY STORE I,Consumer Discretionary,41,53.075001,,,,,,,
42,TRMB,Trimble Inc.,Information Technology,42,52.73,,13,53.209999,-0.00902084,10,52.720001,0.00929435
43,F,Ford Motor Company,Consumer Discretionary,43,14.235,,,,,,,
44,CMCSA,Comcast,Communication Services,44,23.785,,34,23.780001,0.00021022,,,
45,BTSG,BRIGHTSPRING HEALTH SERVICES INC,Health Care,45,71.910004,,,,,,,
46,AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Discretionary,46,17.165001,,,,,,,
47,AMGN,Amgen,Health Care,47,367.320007,,,,,,,
48,MLAB,MESA LABORATORIES INC,Health Care,48,98.595001,,,,,,,
49,TALO,TALOS ENERGY INC,Energy,49,14.71,,,,,,,
50,GPN,Global Payments,Financials,50,81.605003,,38,82.370003,-0.00928736,,,
