current_rank,ticker,name,sector,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,REPX,RILEY EXPLORATION PERMIAN INC,Energy,1,35.040001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,35.0,
2,TTWO,Take-Two Interactive,Communication Services,2,252.218994,,,,,,,,,,,,,,,,,,,,,,,,,,26,247.619995,,,,,,,,,,,,,,,,,,,,,,
3,GPOR,GULFPORT ENERGY,Energy,3,165.25,,30,162.770004,0.01523620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,COHR,Coherent Corp.,Information Technology,4,343.309998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SR,SPIRE INC,Utilities,5,81.589996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,82.57,,,,,,,,,,,,,
6,BNTX,BioNTech SE - American Depositary Shares,,6,93.699997,,8,93.669998,0.00032026,,,,,,,,,,,,,,,,,,,5,92.949997,,,,,,,,,,,,,,,,,,,,,,,,,
7,TALO,TALOS ENERGY,Energy,7,15.26,,,,,,,,,,,,,,,,,1,15.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SDRL,SEADRILL,Energy,8,45.48,,6,43.314999,0.04998271,,,,,,,,,,,,,3,44.825001,,,,,,,,,,,,,,,,,,,,,,,41,43.959999,,32,42.456001,0.03542486,,,
9,JNJ,Johnson & Johnson,Health Care,9,259.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,259.23999,,,,,,,,,,,,,
10,INR,INFINITY NATURAL RESOURCES INC CLA,Energy,10,13.6101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,13.29,,,,,,,,,,,,,
11,AMN,AMN HEALTHCARE,Health Care,11,36.48,,12,35.98,0.01389661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,35.0,
12,GRAL,GRAIL INC,Health Care,12,75.160004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PATK,PATRICK INDUSTRIES,Consumer Discretionary,13,87.135002,,16,88.839996,-0.01919174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
