current_rank,ticker,name,sector,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,SDRL,SEADRILL,Energy,1,45.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,43.959999,,,,,,,
2,BNTX,BioNTech SE - American Depositary Shares,,2,93.699997,,43,93.669998,0.00032026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,REPX,RILEY EXPLORATION PERMIAN INC,Energy,3,35.040001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,36.040001,,,,,6,35.27,,,,,18,35.0,
4,TTWO,Take-Two Interactive,Communication Services,4,252.218994,,,,,,,,,,,,,,,,,,,,,,,,,,28,247.619995,,,,,,,,,,,,,,,,,,,,,,
5,GPOR,GULFPORT ENERGY,Energy,5,165.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,KGEI,KOLIBRI GLOBAL ENERGY INC,Energy,6,5.275,,,,,,,,,,,,,,44,5.34,,,,,,,,,,,,,,,,,,,,34,5.4,,,,,,,,,,,,,
7,TALO,TALOS ENERGY,Energy,7,15.26,,,,,,,,,,,,,,28,14.865,,1,15.185,-0.02107343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,QUBT,QUANTUM COMPUTING,Information Technology,8,9.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,INR,INFINITY NATURAL RESOURCES INC CLA,Energy,9,13.6101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,13.2,,12,13.29,-0.00677201,48,13.615,-0.02387073,,,,,,,,,
10,VSNT,"Versant Media Group, Inc. - Class A Common Stock",,10,37.310001,,3,38.669998,-0.03516931,35,38.220001,0.01177386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
