current_rank,ticker,name,sector,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,RSG,Republic Services,Industrials,1,219.559998,,,,,,,,,,
2,FCAP,FIRST CAPITAL INC,Financials,2,63.34,,,,,,,,,,
3,TK,TEEKAY CORPORATION CORP LTD,Energy,3,11.25,,,,,,,,,,
4,CUBI,CUSTOMERS BANCORP INC,Financials,4,78.544998,,,,,,,,,,
5,DCOM,DIME COMMERCIAL BANCSHARES INC,Financials,5,40.139999,,,,,,,,,,
6,VLGEA,VILLAGE SUPER MARKET INC CLASS A,Consumer Staples,6,43.610001,,,,,,,,,,
7,VRSN,Verisign,Information Technology,7,278.725006,,1,280.0,-0.00455355,,,,,,
8,SNA,Snap-on,Industrials,8,404.959991,,2,404.429993,0.00131048,,,,,,
9,DUOL,"Duolingo, Inc. - Class A Common Stock",,9,131.520004,,,,,,,,,,
10,HZO,MARINEMAX INC,Consumer Discretionary,10,35.849998,,20,36.34,-0.01348382,,,,,,
11,ASO,ACADEMY SPORTS AND OUTDOORS INC,Consumer Discretionary,11,49.599998,,,,,,,,,,
12,UFPT,UFP TECHNOLOGIES INC,Health Care,12,246.050003,,,,,,,,,,
13,ATKR,ATKORE INC,Industrials,13,75.480003,,3,76.629997,-0.01500710,,,,,,
14,PTLO,PORTILLO S INC CLASS A,Consumer Discretionary,14,4.625,,,,,,,,,,
15,ORLY,O’Reilly Automotive,Consumer Discretionary,15,90.544998,,4,87.400002,0.03598394,,,,,,
16,MAR,Marriott International,Consumer Discretionary,16,380.799988,,5,374.429993,0.01701251,,,,,,
17,FTV,Fortive,Industrials,17,62.450001,,6,62.305,0.00232728,,,,,,
18,OTIS,Otis Worldwide,Industrials,18,73.43,,,,,,,,,,
19,MGM,MGM Resorts,Consumer Discretionary,19,46.310001,,,,,,,,,,
20,MORN,"Morningstar, Inc. - Common Stock",,20,181.300003,,,,,,,,,,
21,GWRS,GLOBAL WATER RESOURCES INC,Utilities,21,7.305,,7,7.36,-0.00747283,24,7.15,0.02937063,19,7.16,-0.00139665
22,JBSS,JOHN B SANFILIPPO AND SON INC,Consumer Staples,22,83.82,,,,,,,,,,
23,PSTL,POSTAL REALTY TRUST INC CLASS A,Real Estate,23,24.07,,,,,,,,,,
24,TENX,TENAX THERAPEUTICS INC,Health Care,24,15.25,,,,,,,,,,
25,ADSK,Autodesk,Information Technology,25,223.240005,,8,209.75,0.06431468,,,,,,
26,EMR,Emerson Electric,Industrials,26,147.414993,,9,147.949997,-0.00361611,2,144.869995,0.02126045,,,
27,PEBK,PEOPLES BANCORP OF NORTH CAROLINA,Financials,27,42.950001,,11,43.02,-0.00162713,,,,4,42.82,
28,CSW,CSW INDUSTRIALS INC,Industrials,28,288.070007,,13,289.25,-0.00407949,26,290.519989,-0.00437143,9,282.359985,0.02889929
29,TRMK,TRUSTMARK CORP,Financials,29,46.540001,,12,46.610001,-0.00150182,,,,,,
30,FRAF,FRANKLIN FINANCIAL SERVICES CORP,Financials,30,63.049999,,19,62.279999,0.01236352,,,,,,
31,SFST,SOUTHERN FIRST BANCSHARES INC,Financials,31,61.814999,,17,61.490002,0.00528536,,,,,,
32,BFST,BUSINESS FIRST BANCSHARES INC,Financials,32,31.275,,15,31.16,0.00369063,,,,,,
33,RSVR,RESERVOIR MEDIA INC,Communication,33,10.67,,16,10.63,0.00376294,4,10.5,0.01238095,25,10.26,0.02339181
34,KWR,QUAKER HOUGHTON CORP,Materials,34,150.479996,,14,151.345001,-0.00571545,,,,46,152.210007,
35,TNC,TENNANT,Industrials,35,86.669998,,10,87.915001,-0.01416144,,,,,,
36,BSRR,SIERRA BANCORP,Financials,36,40.900002,,18,41.880001,-0.02340017,,,,,,
37,SHOP,Shopify Inc. - Class A Subordinate Voting Shares,,37,123.809998,,,,,,,,,,
38,ASAN,ASANA INC CLASS A,Information Technology,38,7.764,,,,,,,,,,
39,IIIV,I3 VERTICALS INC CLASS A,Information Technology,39,20.735001,,,,,,,,,,
40,APA,APA Corporation,Energy,40,35.509998,,,,,,,,,,
41,SNY,Sanofi - American Depositary Shares,,41,44.205002,,,,,,,,,,
42,URBN,URBAN OUTFITTERS INC,Consumer Discretionary,42,72.32,,,,,,,,,,
43,VICI,Vici Properties,Real Estate,43,27.025,,,,,,,,,,
44,CAH,Cardinal Health,Health Care,44,230.289993,,,,,,,,,,
45,ECL,Ecolab,Materials,45,271.359985,,,,,,,,,,
46,CPB,The Campbell's Company - Common Stock,,46,22.475,,,,,,,,,,
47,WTFC,Wintrust Financial Corporation - Common Stock,,47,160.699997,,,,,,,,,,
48,FDBC,FIDELITY D AND D BANCORP INC,Financials,48,51.709999,,,,,,,,,,
49,GLIBK,LIBERTY CAPITAL CORP SERIES C,Communication,49,22.459999,,,,,,,,,,
50,TALK,TALKSPACE INC,Health Care,50,5.23,,,,,,,,,,
