current_rank,ticker,name,sector,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,TSCO,Tractor Supply,Consumer Discretionary,1,31.629999,,,,,,,,,,,,,,,,,,,
2,FISV,Fiserv,Financials,2,52.200001,,,,,,,,,,,,,,,,,,,
3,ORLY,O’Reilly Automotive,Consumer Discretionary,3,90.544998,,,,,,,,,,,,,,,,,,,
4,AMGN,Amgen,Health Care,4,377.970001,,6,376.040009,0.00513241,4,371.5,0.01222075,,,,,,,,,,10,366.290009,
5,INCY,Incyte,Health Care,5,119.32,,,,,,,,,,,,,,,,,,,
6,ROST,Ross Stores,Consumer Discretionary,6,241.550003,,,,,,,,,,,,,,,,,,,
7,MDGL,"Madrigal Pharmaceuticals, Inc. - Common Stock",,7,555.859985,,,,,,,,,,,,,,,,,,,
8,MEDP,"Medpace Holdings, Inc. - Common Stock",,8,591.309998,,,,,,,,,,,,,,,,,,,
9,LOGI,Logitech International S.A. - Registered Shares,,9,106.269997,,10,105.779999,0.00463224,,,,,,,,,,,,,,,
10,NBIX,"Neurocrine Biosciences, Inc. - Common Stock",,10,176.419998,,,,,,,,,,,8,179.050003,,,,,,,
11,DYN,DYNE THERAPEUTICS INC,Health Care,11,24.809999,,15,24.440001,0.01513903,,,,,,,,,,,,,,,
12,RVMD,"Revolution Medicines, Inc. - Common Stock",,12,187.804993,,,,,,,,,,,,,,,,,,,
13,TGTX,TG THERAPEUTICS INC,Health Care,13,55.759998,,17,56.040001,-0.00499648,,,,,,,,,,,,,,,
14,LQDA,LIQUIDIA CORP,Health Care,14,86.610001,,18,86.220001,0.00452331,,,,,,,,,,,,,,,
15,CBRE,CBRE Group,Real Estate,15,142.649902,,,,,,,,,,,,,,,,,48,140.960007,
16,MDT,Medtronic,Health Care,16,84.879997,,,,,,,,,,,,,,32,83.330002,,41,83.199997,0.00156256
17,FE,FirstEnergy,Utilities,17,49.48,,,,,23,49.485001,,,,,,,,,,,,,
18,LHX,L3Harris,Industrials,18,303.674988,,28,300.190002,0.01160927,,,,,,,,,,,,,,,
19,HWM,Howmet Aerospace,Industrials,19,283.994995,,38,289.450012,-0.01884615,25,287.209991,0.00779924,,,,,,,,,,,,
20,J,Jacobs Solutions,Industrials,20,134.615005,,44,134.559998,0.00040879,,,,,,,,,,,,,,,
21,IQV,IQVIA,Health Care,21,210.589996,,,,,,,,,,,,,,,,,,,
22,ABBV,AbbVie,Health Care,22,259.899994,,,,,,,,,,,,,,,,,,,
23,BALL,Ball Corporation,Materials,23,64.559998,,,,,,,,,,,22,62.57,,,,,,,
24,CPAY,Corpay,Financials,24,378.265015,,,,,,,,,,,,,,35,369.350006,,,,
25,TXT,Textron,Industrials,25,96.154999,,47,95.525002,0.00659510,,,,14,91.675003,,,,,,,,,,
26,ITW,Illinois Tool Works,Industrials,26,285.38501,,39,283.01001,0.00839193,,,,,,,,,,,,,,,
27,BMY,Bristol Myers Squibb,Health Care,27,62.759998,,50,62.105,0.01054662,,,,,,,,,,48,60.169998,,,,
28,GM,General Motors,Consumer Discretionary,28,84.489998,,,,,,,,12,82.129997,,,,,,,,,,
29,WELL,Welltower,Real Estate,29,249.980804,,,,,45,247.065002,,,,,,,,,,,,,
30,FUTU,Futu Holdings Limited - American Depositary Shares,,30,103.650002,,,,,,,,33,106.089996,,30,103.660004,0.02344194,,,,,,
31,BMRN,BioMarin Pharmaceutical Inc. - Common Stock,,31,60.75,,,,,,,,,,,,,,,,,,,
32,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,,32,255.289993,,,,,47,254.869995,,35,250.410004,0.01781075,,,,,,,,,
33,HALO,"Halozyme Therapeutics, Inc. - Common Stock",,33,81.940002,,,,,48,80.839996,,34,77.82,0.03880745,,,,,,,,,
34,ASO,ACADEMY SPORTS AND OUTDOORS INC,Consumer Discretionary,34,49.599998,,,,,,,,,,,,,,,,,,,
35,OLMA,OLEMA PHARMACEUTICALS INC,Health Care,35,12.17,,,,,,,,,,,,,,,,,,,
36,ASC,ARDMORE SHIPPING CORP,Energy,36,16.565001,,,,,,,,,,,,,,,,,,,
37,NX,QUANEX BUILDING PRODUCTS CORP,Industrials,37,18.52,,,,,,,,,,,,,,,,,,,
38,RIG,TRANSOCEAN LTD,Energy,38,5.26,,,,,,,,,,,,,,,,,,,
39,LILA,LIBERTY LATIN AMERICA LTD CLASS A,Communication,39,7.6701,,,,,,,,,,,,,,,,,,,
40,INVX,INNOVEX INTERNATIONAL INC,Energy,40,26.74,,,,,,,,44,27.190001,,,,,,,,,,
41,HQI,HIREQUEST INC,Industrials,41,13.35,,,,,,,,,,,,,,,,,,,
42,LILAK,LIBERTY LATIN AMERICA LTD CLASS C,Communication,42,7.605,,,,,,,,,,,,,,,,,,,
43,TNK,TEEKAY TANKERS LTD CLASS A,Energy,43,76.105003,,,,,,,,,,,,,,,,,,,
44,CRBP,CORBUS PHARMACEUTICALS HOLDINGS IN,Health Care,44,9.29,,,,,,,,,,,,,,,,,,,
45,CBNA,CHAIN BRIDGE BANCORP INC CLASS A,Financials,45,41.700001,,,,,,,,,,,,,,,,,,,
46,ZUMZ,ZUMIEZ INC,Consumer Discretionary,46,19.254999,,,,,,,,50,18.879999,,48,18.83,0.00265528,,,,,,
47,EPSN,EPSILON ENERGY LTD,Energy,47,5.83,,,,,,,,,,,,,,,,,,,
48,NTGR,NETGEAR INC,Information Technology,48,24.76,,,,,,,,42,24.620001,,,,,,,,,,
49,UMAC,UNUSUAL MACHINES INC,Information Technology,49,19.34,,,,,,,,,,,,,,,,,,,
50,OPBK,OP BANCORP,Financials,50,15.3001,,,,,,,,,,,,,,,,,,,
