current_rank,ticker,name,sector,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,FIS,Fidelity National Information Services,Financials,1,43.080002,,,,,,,,,,,,,,,,,,,
2,FUTU,Futu Holdings Limited - American Depositary Shares,,2,103.650002,,,,,,,,,,,,,,,,,,,
3,UHS,Universal Health Services,Health Care,3,161.449997,,1,155.839996,0.03599847,,,,,,,,,,,,,,,
4,BKD,BROOKDALE SENIOR LIVING INC,Health Care,4,15.525,,,,,,,,,,,,,,,,,,,
5,INCY,Incyte,Health Care,5,119.32,,,,,,,,,,,,,,,,,,,
6,BSX,Boston Scientific,Health Care,6,46.044998,,,,,,,,,,,,,,,,,,,
7,AOS,A. O. Smith,Industrials,7,62.18,,,,,,,,,,,,,,,,,,,
8,MAS,Masco,Industrials,8,80.449997,,17,79.269997,0.01488583,,,,,,,,,,,,,,,
9,BR,Broadridge Financial Solutions,Industrials,9,153.559998,,,,,,,,,,,,,,,,,,,
10,OLMA,OLEMA PHARMACEUTICALS INC,Health Care,10,12.17,,,,,,,,,,,,,,,,,,,
11,HTB,HOMETRUST BANCSHARES INC,Financials,11,49.630001,,,,,,,,,,,,,,,,,,,
12,FISV,Fiserv,Financials,12,52.200001,,,,,,,,,,,,,,,,,,,
13,BAX,Baxter International,Health Care,13,23.155001,,,,,,,,,,,,,,,,,,,
14,QCRH,QCR HOLDINGS INC,Financials,14,100.709999,,36,100.150002,0.00559158,,,,,,,,,,,,,,,
15,LOGI,Logitech International S.A. - Registered Shares,,15,106.269997,,10,105.779999,0.00463224,,,,,,,,,,,,,,,
16,ASC,ARDMORE SHIPPING CORP,Energy,16,16.565001,,,,,,,,,,,,,,,,,,,
17,MSI,Motorola Solutions,Information Technology,17,425.25,,,,,,,,,,,,,,,,,,,
18,KMPR,KEMPER CORP,Financials,18,29.66,,3,28.790001,0.03021879,,,,,,,,,,,,,,,
19,ADSK,Autodesk,Information Technology,19,223.240005,,,,,,,,,,,,,,,,,6,218.350006,
20,FRBA,FIRST BANK,Financials,20,18.450001,,15,17.98,0.02614021,,,,,,,,,,,,,,,
21,STE,Steris,Health Care,21,218.695007,,,,,,,,,,,,,,,,,48,217.839996,
22,NKSH,NATIONAL BANKSHARES INC,Financials,22,38.84,,,,,,,,,,,,,,,,,,,
23,CBRE,CBRE Group,Real Estate,23,142.649902,,,,,,,,,,,,,,,,,,,
24,CHDN,"Churchill Downs, Incorporated - Common Stock",,24,88.489998,,,,,,,,,,,,,,,,,,,
25,SHBI,SHORE BANCSHARES INC,Financials,25,23.9499,,,,,,,,,,,,,,,,,,,
26,BKNG,Booking Holdings,Consumer Discretionary,26,184.800003,,,,,,,,,,,,,,,,,,,
27,TGTX,TG THERAPEUTICS INC,Health Care,27,55.759998,,12,56.040001,-0.00499648,,,,,,,,,,,,,,,
28,BX,Blackstone Inc.,Financials,28,131.445007,,33,129.970001,0.01134882,,,,,,,,,,,,,,,
29,CRBP,CORBUS PHARMACEUTICALS HOLDINGS IN,Health Care,29,9.29,,,,,1,9.32,,,,,,,,,,,,,
30,KVUE,Kenvue,Consumer Staples,30,19.3743,,,,,,,,,,,,,,,,,,,
31,LNTH,LANTHEUS HOLDINGS INC,Health Care,31,108.639999,,,,,,,,,,,4,107.949997,,,,,,,
32,PSA,Public Storage,Real Estate,32,325.299988,,,,,,,,,,,,,,,,,,,
33,JAKK,JAKKS PACIFIC INC,Consumer Discretionary,33,25.040001,,,,,,,,,,,38,24.41,,,,,,,
34,TSCO,Tractor Supply,Consumer Discretionary,34,31.629999,,,,,,,,,,,,,,,,,,,
