rank,ticker,first_seen_date,buy_date,latest_date,close,entry_return,exit_score,action,sell_signal,consecutive_signal_days,sell_reasons,drawdown_63d,change_5d,change_20d,rsi14,chart_href
1,ALAB,2026-07-02,2026-07-02,2026-07-17,303.619995,-0.25294034425415945,100.0,TRIM,True,10,硬止损: 持仓相对成本约 -25.3%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -26.5%; 动能转弱: 20日跌幅 -19.0%; 动能转弱: RSI 38.8 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -37.1%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.37141318803682055,-0.264789223757684,-0.18965517061915815,38.79562886664307,exit-risk-trends.html#ticker-alab
2,AMAT,2026-07-02,2026-07-02,2026-07-17,529.659973,-0.12168348314711563,100.0,WATCH,True,11,硬止损: 持仓相对成本约 -12.2%，超过 -7% 防线; 新鲜破位: 收盘新跌破 EMA50; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -12.1%; 动能转弱: 20日跌幅 -10.7%; 动能转弱: RSI 43.9 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: 63日高点回撤 -26.7%,-0.26741359197786996,-0.12089631037344395,-0.10669232242759474,43.94215147515731,exit-risk-trends.html#ticker-amat
3,AMKR,2026-07-02,2026-07-02,2026-07-17,62.939999,-0.09633887734848878,100.0,WATCH,True,11,硬止损: 持仓相对成本约 -9.6%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -10.7%; 动能转弱: 20日跌幅 -27.2%; 动能转弱: RSI 39.4 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -32.7%,-0.3272047356321304,-0.10685400728176508,-0.27178064329515217,39.44957428164324,exit-risk-trends.html#ticker-amkr
4,ARM,2026-07-02,2026-07-02,2026-07-17,267.190002,-0.15253107444979408,100.0,WATCH,True,11,硬止损: 持仓相对成本约 -15.3%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -17.4%; 动能转弱: 20日跌幅 -36.2%; 动能转弱: RSI 38.2 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -39.2%,-0.39200380587091943,-0.17378400814261385,-0.3621323557805056,38.21477127554067,exit-risk-trends.html#ticker-arm
5,ERIE,2026-07-02,2026-07-02,2026-07-17,227.309998,-0.12320155062680804,100.0,WATCH,True,4,硬止损: 持仓相对成本约 -12.3%，超过 -7% 防线; 新鲜破位: EMA9 新下穿 EMA26; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -9.7%; 动能转弱: RSI 45.8 低于50; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -12.3%,-0.12320155062680804,-0.09729558077356404,0.025582020508852388,45.755164607150085,exit-risk-trends.html#ticker-erie
6,ESP,2026-07-06,2026-07-06,2026-07-17,57.32,-0.11964369344733994,100.0,TRIM,True,9,硬止损: 持仓相对成本约 -12.0%，超过 -7% 防线; 派发聚集: 最近5日出现 2 个放量下跌日; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -4.3%; 动能转弱: RSI 41.8 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -20.6%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.2063140514218491,-0.04339115632146717,-0.034854336333630886,41.79166184761908,exit-risk-trends.html#ticker-esp
7,FIGR,2026-06-26,2026-06-30,2026-07-17,28.969999,-0.05665907055223274,100.0,TRIM,True,15,硬止损观察: 持仓约 -5.7% 且收盘跌破 EMA26; 硬止损观察: 未盈利持仓出现新跌破 EMA26; 新鲜破位: 收盘新跌破 EMA26; 新鲜破位: EMA9 新下穿 EMA26; 动能转弱: 5日跌幅 -8.9%; 动能转弱: RSI 44.2 低于45; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -33.1%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.33063771558774746,-0.08899371349036833,0.05729923357664246,44.16374160176047,exit-risk-trends.html#ticker-figr
8,GLW,2026-07-06,2026-07-06,2026-07-17,154.610001,-0.2063141754674408,100.0,WATCH,True,10,硬止损: 持仓相对成本约 -20.6%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -19.0%; 动能转弱: 20日跌幅 -11.9%; 动能转弱: RSI 37.0 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -39.5%,-0.3953224616111505,-0.19005709146658845,-0.11852904054261248,36.97852084095759,exit-risk-trends.html#ticker-glw
9,IBM,2026-07-02,2026-07-02,2026-07-17,212.669998,-0.2654393268853019,100.0,TRIM,True,4,硬止损: 持仓相对成本约 -26.5%，超过 -7% 防线; 派发聚集: 最近5日出现 2 个放量下跌日; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -26.0%; 动能转弱: 20日跌幅 -18.9%; 动能转弱: RSI 31.5 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -35.4%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.35403823802684864,-0.2604326071806413,-0.1893653777922918,31.450025563100155,exit-risk-trends.html#ticker-ibm
10,INTC,2026-07-02,2026-07-02,2026-07-17,95.040001,-0.21030326066145844,100.0,WATCH,True,11,硬止损: 持仓相对成本约 -21.0%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -13.5%; 动能转弱: 20日跌幅 -21.5%; 动能转弱: RSI 36.1 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -32.6%,-0.32567050055810265,-0.13474140148366354,-0.2151940332814869,36.09643860483105,exit-risk-trends.html#ticker-intc
