current_rank,ticker,name,sector,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return
1,VRNS,VARONIS SYSTEMS,Information Technology,1,45.459999,,1,46.09,-0.01366893
2,ASND,Ascendis Pharma A/S - Ordinary Share,,2,270.089996,,3,270.559998,-0.00173715
3,PFG,Principal Financial Group,Financials,3,115.040001,,2,116.68,-0.01405553
4,TSLA,"Tesla, Inc.",Consumer Discretionary,4,368.160004,,,,
5,LNN,LINDSAY,Industrials,5,123.239998,,32,123.410004,-0.00137757
6,CEG,Constellation Energy,Utilities,6,299.049988,,4,298.959991,0.00030103
7,ATLO,AMES NATIONAL CORP,Financials,7,32.299999,,,,
8,SMP,STANDARD MOTOR PRODUCTS INC,Consumer Discretionary,8,39.509998,,,,
9,ANDE,ANDERSONS INC,Consumer Staples,9,70.919998,,,,
10,NVDA,Nvidia,Information Technology,10,225.729996,,5,230.360001,-0.02009900
11,NX,QUANEX BUILDING PRODUCTS CORP,Industrials,11,22.25,,,,
12,SPFI,SOUTH PLAINS FINANCIAL INC,Financials,12,45.314999,,,,
13,PLMR,PALOMAR HOLDINGS,Financials,13,134.029999,,10,136.580002,-0.01867040
14,FCCO,FIRST COMMUNITY CORP,Financials,14,33.959999,,,,
15,JMSB,JOHN MARSHALL BANCORP INC,Financials,15,23.41,,,,
16,NKTR,NEKTAR THERAPEUTICS,Health Care,16,75.440002,,14,74.190002,0.01684863
17,CNXN,PC CONNECTION INC,Information Technology,17,83.639999,,,,
18,MNSB,MAINSTREET BANCSHARES,Financials,18,25.610001,,,,
19,WFC,Wells Fargo,Financials,19,87.974998,,,,
20,BCAL,CALIFORNIA BANCORP,Financials,20,21.73,,44,21.9,-0.00776256
21,AMTB,AMERANT BANCORP CLASS A,Financials,21,29.309999,,,,
22,NBBK,NB BANCORP INC,Financials,22,22.995001,,,,
23,SBRA,SABRA HEALTH CARE REIT,Real Estate,23,20.809999,,17,20.780001,0.00144360
24,BSVN,BANK7 CORP,Financials,24,54.529999,,,,
25,MRX,MAREX GROUP LTD,Financials,25,76.709999,,,,
26,RRBI,RED RIVER BANCSHARES INC,Financials,26,102.860001,,23,103.360001,-0.00483746
27,TCBX,THIRD COAST BANCSHARES INC,Financials,27,45.424999,,6,46.029999,-0.01314360
28,PPIH,PERMA PIPE INTERNATIONAL HOLDINGS,Industrials,28,29.110001,,,,
29,STNG,SCORPIO TANKERS,Energy,29,82.18,,8,82.290001,-0.00133675
30,DK,DELEK US HOLDINGS INC,Energy,30,75.675003,,,,
31,WLTH,WEALTHFRONT,Financials,31,9.63,,,,
32,INSW,INTERNATIONAL SEAWAYS,Energy,32,103.900002,,28,104.495003,-0.00569406
33,JXN,JACKSON FINANCIAL CLASS A,Financials,33,136.679993,,,,
34,NREF,NEXPOINT REAL ESTATE FINANCE,Financials,34,17.540001,,27,17.790001,-0.01405284
35,CFFI,C AND F FINANCIAL CORP,Financials,35,93.5,,50,94.889999,-0.01464853
36,AEO,AMERICAN EAGLE OUTFITTERS,Consumer Discretionary,36,17.235001,,,,
37,PIPR,PIPER SANDLER COMPANIES,Financials,37,77.370003,,29,76.970001,0.00519686
38,UFCS,UNITED FIRE GROUP INC,Financials,38,54.98,,41,55.98,-0.01786352
39,PBFS,PIONEER BANCORP INC,Financials,39,18.280001,,,,
40,NWBI,NORTHWEST BANCSHARES INC,Financials,40,15.5,,,,
41,ACA,ARCOSA,Industrials,41,145.669998,,31,145.5,0.00116837
42,META,Meta Platforms,Communication Services,42,613.47998,,,,
43,GOLD,GOLD INC,Consumer Discretionary,43,47.555,,,,
44,FMBH,FIRST MID BANCSHARES INC,Financials,44,50.869999,,,,
45,BG,Bunge Global,Consumer Staples,45,123.910004,,22,118.699997,0.04389223
46,MOS,Mosaic Company (The),Materials,46,26.535,,26,25.857,0.02622114
47,CHMG,CHEMUNG FINANCIAL CORP,Financials,47,84.43,,,,
48,TWI,TITAN INTERNATIONAL INC,Industrials,48,7.89,,,,
49,RBCAA,REPUBLIC BANCORP INC CLASS A,Financials,49,96.410004,,47,96.800003,-0.00402892
50,CRK,COMSTOCK RESOURCES,Energy,50,15.165,,,,
