early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,MCO,Moody's Corporation,SPX,Financials,74.45,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,51.86,44.62,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
2,EBAY,eBay Inc.,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Discretionary,72.8,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,46.85,43.62,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
3,NRG,NRG Energy,SPX,Utilities,67.53,82.0,early_transition,61.8,bullish_above_signal_proxy,66.12,50.97,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
4,IR,Ingersoll Rand,SPX,Industrials,67.51,82.0,early_transition,61.8,bullish_above_signal_proxy,67.66,47.78,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
5,BRO,Brown & Brown,SPX,Financials,66.96,82.0,early_transition,61.8,bullish_above_signal_proxy,65.98,47.45,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
6,GEV,GE Vernova,SPX,Industrials,66.77,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,71.78,54.61,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
7,BMY,Bristol Myers Squibb,SPX,Health Care,66.43,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,56.65,46.58,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
8,ERIE,Erie Indemnity,NASDAQ+SPX,Financials,66.08,82.0,early_transition,61.8,bullish_above_signal_proxy,63.32,46.91,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
9,ROP,Roper Technologies,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,66.01,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,54.24,48.6,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
10,ALLE,Allegion,SPX,Industrials,65.59,82.0,early_transition,61.8,bullish_above_signal_proxy,61.83,46.62,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
11,AOS,A. O. Smith,SPX,Industrials,65.42,82.0,early_transition,61.8,bullish_above_signal_proxy,61.3,46.51,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
12,PGR,Progressive Corporation,SPX,Financials,65.38,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,70.27,48.3,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
13,EXPE,Expedia Group,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Discretionary,65.06,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,69.32,48.11,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
