current_rank,ticker,name,sector,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,VSNT,"Versant Media Group, Inc. - Class A Common Stock",,1,38.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SWKS,Skyworks Solutions,Information Technology,2,67.400002,,45,66.989998,0.00612038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PRM,PERIMETER SOLUTIONS,Materials,3,36.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,WFRD,Weatherford International plc - Ordinary shares,,4,89.860001,,12,87.529999,0.02661947,12,89.419998,-0.02113620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CENTA,CENTRAL GARDEN AND PET CLASS A,Consumer Staples,5,39.575001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,HTHT,H World Group Limited - American Depositary Shares,,6,42.779999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,RL,Ralph Lauren Corporation,Consumer Discretionary,7,400.799988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TW,Tradeweb Markets Inc. - Class A Common Stock,,8,102.654999,,,,,,,,,,,,,,,,,,,,,,,27,102.014999,,,,,,,,,,,,,,,,,,,
9,SHOE,SHOE STATION GROUP INC,Consumer Discretionary,9,15.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,KEYS,Keysight Technologies,Information Technology,10,339.070007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,FUL,HB FULLER,Materials,11,59.060001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,OFLX,OMEGA FLEX INC,Industrials,12,30.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MPTI,M TRON INDUSTRIES INC,Information Technology,13,89.519997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PRAA,PRA GROUP INC,Financials,14,17.684999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,HSY,Hershey Company (The),Consumer Staples,15,181.634995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PLAB,PHOTRONICS,Information Technology,16,32.200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,BOOT,BOOT BARN HOLDINGS,Consumer Discretionary,17,166.570007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,SMA,SMARTSTOP SELF STORAGE REIT INC,Real Estate,18,34.810001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,YORW,YORK WATER,Utilities,19,31.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ALX,ALEXANDERS REIT INC,Real Estate,20,273.695007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,SMCI,Supermicro,Information Technology,21,29.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BKR,Baker Hughes,Energy,22,62.544998,,,,,,,,,,,,,,24,59.900002,,40,58.720001,0.02009538,,,,,,,35,57.25,,,,,,,,,,,,,,,,
23,ORLY,O’Reilly Automotive,Consumer Discretionary,23,93.550003,,,,,,,,,,,,,,,,,,,,47,91.169998,,,,,,,,,,,,,,,,,,,,,,
24,CWCO,CONSOLIDATED WATER LTD,Utilities,24,30.040001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,HMN,HORACE MANN EDUCATORS CORP,Financials,25,54.130001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,LULU,Lululemon Athletica,Consumer Discretionary,26,124.809998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,CMCSA,Comcast,Communication Services,27,25.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,CVCO,CAVCO INDUSTRIES,Consumer Discretionary,28,581.710022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MUX,MCEWEN INC,Materials,29,18.139999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CSIQ,CANADIAN SOLAR,Information Technology,30,15.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MOS,Mosaic Company (The),Materials,31,23.295,,2,23.42,-0.00533732,,,,,,,,,,27,22.77,,,,,43,23.07,,,,,,,,,,,50,22.790001,,,,,,,,,,
32,FSLR,First Solar,Information Technology,32,245.695007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PBH,PRESTIGE CONSUMER HEALTHCARE INC,Health Care,33,53.189999,,19,52.970001,0.00415326,,,,38,51.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,50.439999,,36,49.919998,0.01041669
34,BKE,BUCKLE,Consumer Discretionary,34,46.285,,,,,,,,,,,17,43.73,,16,44.009998,-0.00636215,8,45.009998,-0.02221729,,,,,,,,,,,,,,,,,,,,,,,,
35,CVNA,Carvana,Consumer Discretionary,35,68.665001,,37,69.474998,-0.01165883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,FENC,FENNEC PHARMACEUTICALS,Health Care,36,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,WOR,WORTHINGTON ENTERPRISES,Industrials,37,58.259998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,GLIBK,LIBERTY CAPITAL CORP SERIES C,Communication,38,23.74,,,,,,,,23,23.68,,47,23.17,0.02201122,,,,33,23.35,,,,,,,,,,,,,,,,,,,,,,,,,
39,PNRG,PRIMEENERGY RESOURCES CORP,Energy,39,185.600006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,193.395004,,8,189.860001,0.01861900,,,,,,
40,JOE,ST JOE,Real Estate,40,66.480003,,36,64.800003,0.02592592,,,,9,64.099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,EW,Edwards Lifesciences,Health Care,41,88.959999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,KALU,KAISER ALUMINIUM,Materials,42,173.024994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,YSWY,YESWAY INC CLASS A,Consumer Staples,43,21.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,DMC,DEL MONTE,Consumer Staples,44,30.040001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PEGA,Pegasystems Inc. - Common Stock,,45,31.514999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PCVX,VAXCYTE,Health Care,46,58.040001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,MRCY,MERCURY SYSTEMS INC,Industrials,47,110.275002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,CNXC,CONCENTRIX,Industrials,48,26.27,,33,26.059999,0.00805837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,RELY,REMITLY GLOBAL INC,Financials,49,25.709999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,AXTI,AXT,Information Technology,50,76.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
