current_rank,ticker,name,sector,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,TNC,TENNANT,Industrials,1,88.440002,,,,,,,,,,,,,,,,,,,,,,,44,87.915001,,,,,,,
2,MOS,Mosaic Company (The),Materials,2,23.695,,,,,,,,,,,30,22.77,,,,,,,,,,,,,,,,,,,
3,DIS,Walt Disney Company (The),Communication Services,3,100.769997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,LCII,LCI INDUSTRIES,Consumer Discretionary,4,108.410004,,6,107.209999,0.01119303,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,KMT,KENNAMETAL,Industrials,5,34.955002,,2,36.099998,-0.03171734,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DXPE,DXP ENTERPRISES,Industrials,6,169.639999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MCFT,MASTERCRAFT BOAT HOLDINGS INC,Consumer Discretionary,7,25.639999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,OTIS,Otis Worldwide,Industrials,8,73.029999,,,,,,,,,,,,,,,,,28,73.614998,,,,,,,,,,,,,
9,ARVN,ARVINAS INC,Health Care,9,8.33,,,,,,,,,,,39,8.3,,,,,,,,,,,,,,,,,,,
10,NMRK,NEWMARK GROUP INC CLASS A,Real Estate,10,15.8,,,,,,,,,,,,,,,,,,,,47,15.89,,,,,,,,,,
11,SEG,SEAPORT ENTERTAINMENT GROUP INC,Real Estate,11,26.59,,9,26.73,-0.00523756,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,NGVT,INGEVITY,Materials,12,75.059998,,8,75.633003,-0.00757612,,,,,,,,,,,,,,,,,,,,,,,,,,,
