current_rank,ticker,name,sector,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,CTOS,CUSTOM TRUCK ONE SOURCE INC,Industrials,1,10.975,,20,11.01,-0.00317893,,,,,,,,,,,,,,,,42,10.72,,,,,,,,,,,,,,,,,,,
2,ARVN,ARVINAS INC,Health Care,2,8.33,,,,,,,,,,,4,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BMBL,BUMBLE CLASS A,Communication,3,3.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,KN,KNOWLES,Information Technology,4,39.994999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,RGR,STURM RUGER,Consumer Discretionary,5,38.57,,22,39.084999,-0.01317639,,,,,,,7,39.060001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,HUBB,Hubbell Incorporated,Industrials,6,510.76001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PKE,PARK AEROSPACE CORP,Industrials,7,37.419998,,3,37.060001,0.00971390,7,35.576801,0.04169009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SPHR,SPHERE ENTERTAINMENT CLASS A,Communication,8,159.800003,,39,158.509995,0.00813834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,GRC,GORMAN-RUPP,Industrials,9,86.580002,,2,85.489998,0.01275008,3,82.809998,0.03236324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ORMP,ORAMED PHARMACEUTICALS INC,Health Care,10,4.46,,4,4.46,0.00000000,9,4.39,0.01594533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
