early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
17,FG,F&G ANNUITIES AND LIFE INC,RUSSELL2000,Financials,72.27,100.0,fresh_bullish_cross,71.8,fresh_below_zero_cross_proxy,58.12,45.87,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
18,ANRO,ALTO NEUROSCIENCE INC,RUSSELL2000,Health Care,72.25,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,90.63,53.38,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
19,DTIL,PRECISION BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,72.01,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,89.91,53.23,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
20,NHI,NATIONAL HEALTH INVESTORS REIT INC,RUSSELL2000,Real Estate,71.56,82.0,early_transition,61.8,bullish_above_signal_proxy,79.91,50.23,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
21,WHG,WESTWOOD HOLDINGS GROUP INC,RUSSELL2000,Financials,71.54,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,88.95,52.04,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
22,FWRD,FORWARD AIR CORP,NASDAQ+RUSSELL2000,Industrials,71.52,82.0,early_transition,61.8,bullish_above_signal_proxy,79.79,50.21,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
23,OI,O I GLASS INC,RUSSELL2000,Materials,71.36,82.0,early_transition,61.8,bullish_above_signal_proxy,79.3,50.11,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
24,XNCR,XENCOR INC,NASDAQ+RUSSELL2000,Health Care,71.25,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,87.61,52.77,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
25,JACK,JACK IN THE BOX INC,NASDAQ+RUSSELL2000,Consumer Discretionary,71.13,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,87.69,51.79,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
26,ENTA,ENANTA PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,71.1,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,87.15,52.68,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
27,EIKN,EIKON THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,71.03,82.0,early_transition,61.8,bullish_above_signal_proxy,77.85,50.82,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
28,LFMD,LIFEMD INC,NASDAQ+RUSSELL2000,Health Care,70.91,100.0,fresh_bullish_cross,71.8,fresh_below_zero_cross_proxy,53.55,45.96,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
29,FBYD,FALCON S BEYOND GLOBAL INC CLASS A,NASDAQ+RUSSELL2000,Industrials,70.69,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,86.39,51.53,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
30,PRLD,PRELUDE THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,70.55,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,85.5,52.35,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
31,NVRI,ENVIRI CORP,RUSSELL2000,Industrials,70.32,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,81.51,50.55,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
32,TARS,TARSUS PHARMACEUTICALS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,70.28,82.0,early_transition,61.8,bullish_above_signal_proxy,75.59,50.37,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
33,PRG,PROG HOLDINGS INC,RUSSELL2000,Financials,70.27,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,85.11,51.27,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
34,ATEC,ALPHATEC HOLDNGS INC,NASDAQ+RUSSELL2000,Health Care,70.2,82.0,early_transition,61.8,bullish_above_signal_proxy,75.35,50.32,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
35,IRTC,IRHYTHM HOLDINGS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,70.17,82.0,early_transition,61.8,bullish_above_signal_proxy,75.26,50.3,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
36,PRAA,PRA GROUP INC,NASDAQ+RUSSELL2000,Financials,70.09,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,84.55,51.16,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
37,GLUE,MONTE ROSA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,70.06,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,84.02,52.05,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
38,GENB,GENERATE BIOMEDICINES INC,NASDAQ+RUSSELL2000,Health Care,69.88,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.45,51.94,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
39,NTLA,INTELLIA THERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,69.87,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.44,51.94,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
40,HDSN,HUDSON TECHNOLOGIES INC,NASDAQ+RUSSELL2000,Industrials,69.86,85.0,early_transition,63.15,bullish_above_signal_proxy,71.02,48.45,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
41,MAMA,MAMAS CREATIONS INC,NASDAQ+RUSSELL2000,Consumer Staples,69.82,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.27,51.9,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
42,KURA,KURA ONCOLOGY INC,NASDAQ+RUSSELL2000,Health Care,69.56,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,82.5,51.75,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
43,JCAP,JEFFERSON CAPITAL INC,NASDAQ+RUSSELL2000,Financials,69.45,82.0,early_transition,61.8,bullish_above_signal_proxy,73.51,48.95,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
44,MNKD,MANNKIND CORP,NASDAQ+RUSSELL2000,Health Care,69.41,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,82.05,51.66,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
45,KRUS,KURA SUSHI USA INC,NASDAQ+RUSSELL2000,Consumer Discretionary,69.4,82.0,early_transition,61.8,bullish_above_signal_proxy,73.37,48.92,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
46,ASAN,ASANA INC CLASS A,RUSSELL2000,Information Technology,69.32,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,36.31,41.51,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
