buy_date,latest_date,strategy,universe,ticker,name,sector,original_rank,current_rank,return,buy_close,latest_close,selection_reason,signal_reason
2026-07-21,2026-08-03,Early,S&P 500,FIS,Fidelity National Information Services,Financials,28,143,0.07683059,41.584999,44.779999,4H当日前50,4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,AIG,American International Group,Financials,29,336,-0.01807309,80.230003,78.779999,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 零轴上方刚金叉；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,SJM,J.M. Smucker Company (The),Consumer Staples,30,311,0.01481318,115.775002,117.489998,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,KIM,Kimco Realty,Real Estate,31,328,-0.02549843,26.080000,25.415001,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,AME,Ametek,Industrials,32,64,0.02567606,237.770004,243.875000,4H当日前50,4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,FANG,Diamondback Energy,Energy,33,218,-0.00525527,199.800003,198.750000,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张
2026-07-21,2026-08-03,Early,S&P 500,GM,General Motors,Consumer Discretionary,34,237,0.10275434,79.510002,87.680000,4H当日前50,4H EMA9/26 最近金叉且价格在 EMA50 上方；4H MACD 刚金叉但仍需零轴确认；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,REG,Regency Centers,Real Estate,35,337,-0.02180525,82.089996,80.300003,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,IVZ,Invesco,Financials,36,131,0.02674866,30.094999,30.900000,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,ROST,Ross Stores,Consumer Discretionary,37,242,0.07251603,235.809998,252.910004,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方
2026-07-21,2026-08-03,Early,S&P 500,REGN,Regeneron Pharmaceuticals,Health Care,38,287,0.12448346,675.190002,759.239990,4H当日前50,4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,HIG,Hartford (The),Financials,39,130,0.00655063,141.970001,142.899994,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 零轴上方刚金叉；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,HPQ,HP Inc.,Information Technology,40,241,0.09312639,24.805000,27.115000,4H当日前50,4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,EIX,Edison International,Utilities,41,477,-0.08554608,78.144997,71.459999,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,AKAM,Akamai Technologies,Information Technology,42,256,-0.05628058,124.910004,117.879997,4H当日前50,4H EMA9/26 最近金叉且价格在 EMA50 上方；4H MACD 零轴上方刚金叉；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,SPG,Simon Property Group,Real Estate,43,267,0.01058432,226.750000,229.149994,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,ADSK,Autodesk,Information Technology,44,47,0.11157951,211.149994,234.710007,4H当日前50,4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,WRB,W. R. Berkley Corporation,Financials,45,358,-0.00096978,72.180000,72.110001,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 零轴上方刚金叉；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,CPAY,Corpay,Financials,46,212,0.05361485,366.130005,385.760010,4H当日前50,4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,PLD,Prologis,Real Estate,47,333,-0.03816133,149.889999,144.169998,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,AES,AES Corporation,Utilities,48,371,-0.00742741,14.810000,14.700000,4H当日前50,4H EMA 多头排列已连续维持；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,S&P 500,XOM,ExxonMobil,Energy,49,210,0.02194834,151.720001,155.050003,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张
2026-07-21,2026-08-03,Early,S&P 500,TGT,Target Corporation,Consumer Staples,50,225,0.07834494,138.490005,149.339996,4H当日前50,4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,BNTX,BioNTech SE - American Depositary Shares,,1,51,-0.00086648,92.330002,92.250000,4H当日前50,4H MACD 刚金叉但仍需零轴确认；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,TMUS,T-Mobile US,Communication Services,2,143,-0.07170943,190.770004,177.089996,4H当日前50,4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,DPZ,Domino's,Consumer Discretionary,3,99,0.11665750,326.339996,364.410004,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,MSFT,Microsoft,Information Technology,4,124,0.22602136,397.750000,487.649994,4H当日前50,4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,NVDA,Nvidia,Information Technology,5,107,-0.00313567,207.289993,206.639999,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,AMZN,Amazon,Consumer Discretionary,6,102,0.14732371,247.550003,284.019989,4H当日前50,4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,ULTA,Ulta Beauty,Consumer Discretionary,7,90,0.09181354,489.470001,534.409973,4H当日前50,4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,PLTR,Palantir Technologies,Information Technology,8,134,-0.05284186,132.660004,125.650002,4H当日前50,4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,CASY,Casey's,Consumer Staples,9,111,0.00245844,858.260010,860.369995,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,SSNC,"SS&C Technologies Holdings, Inc. - Common Stock",,10,98,0.16872791,67.919998,79.379997,4H当日前50,4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,SNY,Sanofi - American Depositary Shares,,11,92,-0.01828569,43.750000,42.950001,4H当日前50,4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,PDD,PDD Holdings Inc. - American Depositary Shares,,12,36,0.06271366,84.830002,90.150002,4H当日前50,4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,ROIV,Roivant Sciences Ltd. - Common Shares,,13,154,-0.04691073,34.959999,33.320000,4H当日前50,4H EMA9/26 最近金叉且价格在 EMA50 上方；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,AKAM,Akamai Technologies,Information Technology,14,105,-0.05628058,124.910004,117.879997,4H当日前50,4H EMA9/26 最近金叉且价格在 EMA50 上方；4H MACD 零轴上方刚金叉；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,ROST,Ross Stores,Consumer Discretionary,15,97,0.07251603,235.809998,252.910004,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方
2026-07-21,2026-08-03,Early,Nasdaq 200,ODFL,Old Dominion,Industrials,16,160,-0.09910980,234.789993,211.520004,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,FANG,Diamondback Energy,Energy,17,89,-0.00525527,199.800003,198.750000,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张
2026-07-21,2026-08-03,Early,Nasdaq 200,REGN,Regeneron Pharmaceuticals,Health Care,18,120,0.12448346,675.190002,759.239990,4H当日前50,4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,ADSK,Autodesk,Information Technology,19,26,0.11157951,211.149994,234.710007,4H当日前50,4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,JD,"JD.com, Inc. - American Depositary Shares",,20,125,0.08511337,30.430000,33.020000,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方
2026-07-21,2026-08-03,Early,Nasdaq 200,PODD,Insulet Corporation,Health Care,21,16,0.03652575,163.720001,169.699997,4H当日前50,4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,BIIB,Biogen,Health Care,22,145,-0.00659577,203.160004,201.820007,4H当日前50,4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,NBIX,"Neurocrine Biosciences, Inc. - Common Stock",,23,146,-0.07160015,179.050003,166.229996,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 零轴上方刚金叉；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,HON,Honeywell Technologies,Industrials,24,59,0.07356653,229.860001,246.770004,4H当日前50,4H EMA9/26 最近金叉且价格在 EMA50 上方；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-21,2026-08-03,Early,Nasdaq 200,MDLZ,Mondelez International,Consumer Staples,25,114,0.03123954,59.860001,61.730000,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
