current_rank,ticker,name,sector,2026-06-22__predicted_rank,2026-06-22__close,2026-06-22__next_snapshot_return,2026-06-20__predicted_rank,2026-06-20__close,2026-06-20__next_snapshot_return
62,TLSI,TRISALUS LF SC CM A,Health Care,62,4.2,,39,4.065,0.03321033210332103
63,LION,LIONSGATE STUDIOS CORP,Communication,63,15.21,,902,15.44,-0.01489637305699476
64,MAX,MEDIAALPHA INC CLASS A,Communication,64,10.18,,508,10.32,-0.013565891472868241
65,KBH,KB HOME,Consumer Discretionary,65,52.52,,203,52.78,-0.0049261083743842304
66,RLGT,RADIANT LOGISTIC INC,Industrials,66,9.09,,806,9.11,-0.002195389681668436
67,BELFA,BEL FUSE INC CLASS A,Information Technology,67,270.52,,33,267.635,0.010779606553701804
68,AVBP,ARRIVENT BIOPHARMA INC,Health Care,68,32.7,,172,33.02,-0.009691096305269542
69,NUTX,NUTEX HEALTH INC,Health Care,69,150.17,,604,148.31,0.012541298631245201
70,BDC,BELDEN INC,Information Technology,70,121.65,,822,122.27,-0.0050707450723807
71,BMI,BADGER METER INC,Information Technology,71,134.82,,199,135.67,-0.006265202329181041
72,AOMR,ANGEL OAK MORTGAGE REIT INC,Financials,72,8.67,,1240,8.575,0.011078717201166155
73,ANGO,ANGIODYNAMICS INC,Health Care,73,12.39,,814,12.295,0.007726718178121317
74,KLC,KINDERCARE LEARNING COMPANIES INC,Consumer Discretionary,74,4.1,,747,4.265,-0.0386869871043376
75,BH,BIGLARI HOLDINGS INCINARY CLASS B,Consumer Discretionary,75,336.0,,501,338.09,-0.0061817859149929655
76,WULF,TERAWULF INC,Information Technology,76,28.31,,28,28.68,-0.012900976290097677
77,ATEX,ANTERIX INC,Communication,77,77.02,,88,75.61,0.01864832694088081
78,CZWI,CITIZENS COMMUNITY BANCORP INC,Financials,78,22.13,,58,22.02,0.004995458673932696
79,EBC,EASTERN BANKSHARES INC,Financials,79,20.74,,332,20.655,0.00411522633744843
80,SDGR,SCHRODINGER INC,Health Care,80,15.23,,4,15.59,-0.02309172546504168
81,IKT,INHIBIKASE THERAPEUTICS INC,Health Care,81,1.84,,923,1.8491,-0.004921313071223787
82,WHG,WESTWOOD HOLDINGS GROUP INC,Financials,82,18.18,,842,18.25,-0.003835616438356171
83,ANF,ABERCROMBIE AND FITCH CLASS A,Consumer Discretionary,83,86.07,,227,85.86,0.002445842068483417
84,DIOD,DIODES INC,Information Technology,84,122.76,,84,123.8785,-0.009029008262127824
85,WGS,GENEDX HOLDINGS CORP CLASS A,Health Care,85,55.42,,18,56.635,-0.021453165003972763
86,CDNA,CAREDX INC,Health Care,86,25.05,,815,25.16,-0.004372019077901412
87,BXC,BLUELINX HOLDINGS INC,Industrials,87,55.52,,425,56.235,-0.01271450164488297
88,SFIX,STITCH FIX INC CLASS A,Consumer Discretionary,88,4.01,,26,3.94,0.017766497461928932
