rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
37,FCFS,FIRSTCASH HOLDINGS INC,Financials,80.94,优先Call候选,229.029999,63.13,1.38,-0.03129888,0.07728124,0.11615776,75.1,62.3,83.8,83.16,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 保持多头
38,SXC,SUNCOKE ENERGY INC,Materials,80.91,优先Call候选,9.72,59.17,2.17,0.01144641,0.03020668,0.05594785,75.1,61.17,100.0,81.3,100.0,72.0,confirmed_bullish_trend,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 保持多头
39,APD,Air Products,Materials,80.83,优先Call候选,308.51001,58.82,0.9,0.00741255,0.01530318,0.04339156,73.0,66.4,100.0,82.32,68.0,100.0,mixed_sideways,fresh_above_zero_cross,均衡：4H timing + 日线结构 + 适度动量；MACD 新金叉
40,NNE,NANO NUCLEAR ENERGY,Industrials,80.78,优先Call候选,18.43,48.22,1.24,0.00875753,-0.03088241,0.14330018,76.9,73.29,81.1,68.1,100.0,100.0,early_transition,mixed_or_bearish,均衡：4H timing + 日线结构 + 适度动量；EMA 早期转强
41,PAHC,PHIBRO ANIMAL HEALTH CORP CLASS A,Health Care,80.74,优先Call候选,36.145,59.77,1.06,0.02248945,0.01133178,-0.00700555,75.1,74.82,69.9,81.3,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 保持多头
42,EPAC,ENERPAC TOOL GROUP CLASS A,Industrials,80.6,优先Call候选,37.43,57.87,1.4,0.00726588,0.01436309,0.01066559,82.9,53.34,77.6,81.3,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 新金叉
43,NEO,NEOGENOMICS,Health Care,80.45,优先Call候选,16.93,60.54,0.75,0.03200238,0.03357760,0.26343284,82.9,56.91,90.2,81.3,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 新金叉
44,CFFI,C AND F FINANCIAL CORP,Financials,80.43,优先Call候选,89.989998,61.67,3.38,0.02494299,0.04430675,0.16378922,82.9,57.71,90.2,81.3,66.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 新金叉
45,UBER,Uber,Industrials,80.4,优先Call候选,79.639999,63.5,0.97,0.00441415,0.01834917,0.13673996,75.1,62.06,100.0,82.32,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 保持多头
46,LAND,GLADSTONE LAND REIT CORP,Real Estate,80.35,优先Call候选,8.801,65.19,0.77,-0.00441176,0.03846608,0.02816622,75.1,73.16,100.0,81.3,68.0,72.0,confirmed_bullish_trend,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 保持多头
47,SXT,SENSIENT TECHNOLOGIES,Materials,80.34,优先Call候选,136.110001,61.0,2.15,-0.00996505,0.02177009,0.08818355,75.1,61.63,83.8,81.3,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 保持多头
48,AKTS,AKTIS ONCOLOGY INC,Health Care,80.32,优先Call候选,26.33,62.34,0.89,0.01464351,0.06426839,0.11284869,75.1,62.85,100.0,81.3,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 保持多头
49,CDW,CDW Corporation,Information Technology,80.21,优先Call候选,140.820007,54.87,0.43,0.06255194,0.03700437,-0.01517587,92.8,66.12,72.7,83.16,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 新金叉
50,HCA,HCA Healthcare,Health Care,80.15,优先Call候选,427.065002,61.65,0.96,-0.00485842,0.02924592,0.04548519,75.1,60.93,100.0,82.32,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 保持多头
