rank,ticker,first_seen_date,buy_date,latest_date,close,entry_return,exit_score,action,sell_signal,consecutive_signal_days,sell_reasons,drawdown_63d,change_5d,change_20d,rsi14,chart_href
19,TDY,2026-07-02,2026-07-02,2026-09-08,608.059998,-0.0675070817267508,81.0,TRIM,True,12,硬止损观察: 持仓约 -6.8% 且收盘跌破 EMA26; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -11.9%; 动能转弱: RSI 33.2 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -12.0%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.120410807818501,-0.007977834903770353,-0.11907280260775088,33.18392081407531,exit-risk-trends.html#ticker-tdy
20,MCHP,2026-07-02,2026-07-02,2026-09-08,73.800003,-0.12807178790254947,80.0,TRIM,True,14,硬止损: 持仓相对成本约 -12.8%，超过 -7% 防线; 动能转弱: 20日跌幅 -9.3%; 动能转弱: RSI 44.1 低于45; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -28.1%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.2814720697251686,0.004765228240921626,-0.0932546515942333,44.07862362661154,exit-risk-trends.html#ticker-mchp
21,ON,2026-07-02,2026-07-02,2026-09-08,72.290001,-0.20752027836526765,80.0,TRIM,True,45,硬止损: 持仓相对成本约 -20.8%，超过 -7% 防线; 动能转弱: 20日跌幅 -9.4%; 动能转弱: RSI 38.5 低于45; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -45.0%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.4504751094532472,-0.024294710449167756,-0.09388315484937526,38.521743464183665,exit-risk-trends.html#ticker-on
22,PANW,2026-07-02,2026-07-02,2026-09-08,336.200012,-0.034074544814540864,77.0,WATCH,True,2,派发聚集: 最近5日出现 2 个放量下跌日; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -12.0%; 动能转弱: 20日跌幅 -12.7%; 动能转弱: RSI 44.6 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -15.1%,-0.15101007070707062,-0.12019467824830965,-0.12684395350717947,44.59528456616444,exit-risk-trends.html#ticker-panw
23,RTX,2026-06-26,2026-06-30,2026-09-08,200.300003,0.05571078491984993,74.0,WATCH,True,6,利润保护: 收盘 $200.30 跌破 3ATR 动态保护线 $212.39; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -10.6%; 动能转弱: RSI 34.2 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -11.2%,-0.11171227744662116,-0.03576754991128006,-0.10628231541768496,34.22643103254293,exit-risk-trends.html#ticker-rtx
24,GOOG,2026-07-02,2026-07-02,2026-09-08,334.790009,-0.06005386158789672,73.0,TRIM,True,18,硬止损观察: 持仓约 -6.0% 且收盘跌破 EMA26; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: RSI 43.6 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -10.8%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.1080591350783141,-0.0018484690158496742,-0.059155764491409135,43.56822989646478,exit-risk-trends.html#ticker-goog
25,AXP,2026-07-02,2026-07-02,2026-09-08,327.834991,-0.06854472274378487,70.0,TRIM,True,9,硬止损观察: 持仓约 -6.9% 且收盘跌破 EMA26; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: RSI 41.6 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.09330147785183951,-0.00707218071921023,-0.032535544142221484,41.5844695384744,exit-risk-trends.html#ticker-axp
26,ROK,2026-07-02,2026-07-02,2026-09-08,430.725006,-0.08686666304345991,70.0,TRIM,True,23,硬止损: 持仓相对成本约 -8.7%，超过 -7% 防线; 动能转弱: RSI 44.7 低于45; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -13.0%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.12998905770755786,0.014831687448629394,-0.010328098409245756,44.710249634558586,exit-risk-trends.html#ticker-rok
27,AMKR,2026-07-02,2026-07-02,2026-09-08,51.330002,-0.2630294253257882,68.0,TRIM,True,45,硬止损: 持仓相对成本约 -26.3%，超过 -7% 防线; 动能转弱: RSI 48.2 低于50; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -45.1%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.451309456398414,0.08520091089219695,-0.029127993741781655,48.18465604009076,exit-risk-trends.html#ticker-amkr
28,FIG,2026-06-26,2026-06-30,2026-07-06,21.08,0.1652846876727474,68.0,WATCH,True,44,利润保护: 曾有较大盈利但63日高点回撤 -22.3%; 利润保护: 收盘 $21.08 跌破 3ATR 动态保护线 $22.40; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -22.3%,-0.22271386430678475,0.1321160042964553,-0.06352732119058213,54.87247900441184,exit-risk-trends.html#ticker-fig
29,MKC,2026-06-26,2026-06-30,2026-09-08,51.860001,0.028560155833405654,66.0,WATCH,True,1,新鲜破位: EMA9 新下穿 EMA26; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -4.4%; 动能转弱: RSI 41.3 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26,-0.08179884915014168,-0.04352637322894937,-0.023903632149376408,41.25787003290249,exit-risk-trends.html#ticker-mkc
30,ARM,2026-07-02,2026-07-02,2026-09-08,262.652496,-0.16692306256953515,64.0,TRIM,True,45,硬止损: 持仓相对成本约 -16.7%，超过 -7% 防线; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -40.2%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.40232899153725243,0.08574466395362457,-0.019404554353454118,52.706743013345566,exit-risk-trends.html#ticker-arm
31,ORCL,2026-07-02,2026-07-02,2026-09-08,162.095001,0.15559275951827867,64.0,WATCH,True,20,利润保护: 曾有较大盈利但63日高点回撤 -21.2%; 利润保护: 收盘 $162.10 跌破 3ATR 动态保护线 $184.39; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -21.2%,-0.21240463254851205,0.08701050452690806,0.0731214682597523,63.13433192340439,exit-risk-trends.html#ticker-orcl
32,WDC,2026-07-02,2026-07-02,2026-09-08,487.296204,-0.09592541001855293,64.0,TRIM,True,13,硬止损: 持仓相对成本约 -9.6%，超过 -7% 防线; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -34.7%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.34698924318210855,0.08155857724714899,0.11168546892079645,52.48098339039173,exit-risk-trends.html#ticker-wdc
33,MRVL,2026-06-26,2026-06-30,2026-09-08,228.539993,-0.2328041173182659,62.0,WATCH,True,46,硬止损: 持仓相对成本约 -23.3%，超过 -7% 防线; 动能转弱: MACD 低于 signal; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -26.4%,-0.2641509351341431,0.07975048984691524,0.09579974679516434,53.007152847579235,exit-risk-trends.html#ticker-mrvl
34,CLX,2026-06-26,2026-06-30,2026-09-08,92.385002,-0.03200963889334374,59.0,WATCH,True,5,新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -5.4%; 动能转弱: 20日跌幅 -14.2%; 动能转弱: RSI 29.1 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -14.7%,-0.14655887297921477,-0.0542075962325963,-0.14220051463882577,29.053233408659466,exit-risk-trends.html#ticker-clx
