ticker,name,index,sector,industry,market_cap,price,pe,revenue_growth_yoy,earnings_growth_yoy,ai_exposure,supply_chain_score,macro_beta,momentum_1m,volume_signal,atr_percent,risk_flags,total_score,leopold_score,seri_score,daoshi_score,cat_score,social_score,signal_count,risk_count,catalyst_count,thesis,caution
PNW,Pinnacle West Capital,SPX,Utilities,Multi-Utilities,0.0,107.580002,0.0,0.0,0.0,0.0,0.0,1.0,4.80272762196341,-0.2584897377505736,1.7906945992753225,,45.99,35.0,30.0,70,53.7,50,0,0,0,macro resilience,No major Prism warning from provided data
AWK,American Water Works,SPX,Utilities,Water Utilities,0.0,130.419998,0.0,0.0,0.0,0.0,0.0,1.0,3.8954823858478482,-0.12547336337243475,2.4399200759730966,,45.98,35.0,30.0,70,53.67,50,0,0,0,macro resilience,No major Prism warning from provided data
GNRC,Generac,SPX,Industrials,Heavy Electrical Equipment,0.0,234.139999,0.0,0.0,0.0,0.0,0.0,1.0,-10.287747434298144,-0.12489818719790402,6.906888155040461,,45.98,45.0,44.0,65,28.66,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
UHS,Universal Health Services,SPX,Health Care,Health Care Facilities,0.0,154.240005,0.0,0.0,0.0,0.0,0.0,1.0,5.2186432967772145,-0.33094694705891414,2.8276895941675906,,45.97,35.0,30.0,70,53.61,50,0,0,0,macro resilience,No major Prism warning from provided data
EXC,Exelon,NASDAQ+NASDAQ200+NASDAQ500+SPX,Utilities,Electric Utilities,0.0,46.689999,0.0,0.0,0.0,0.0,0.0,1.0,3.0002138539504175,-0.028808254990838833,1.9857426304200918,,45.92,35.0,30.0,70,53.37,50,0,0,0,macro resilience,No major Prism warning from provided data
BSX,Boston Scientific,SPX,Health Care,Health Care Equipment,0.0,44.555,0.0,0.0,0.0,0.0,0.0,1.0,-8.997138664157255,-0.42868207217601195,3.2127226381518805,,45.9,35.0,44.0,70,35.77,50,0,0,0,macro resilience,weak or volatile technical setup
AEE,Ameren,SPX,Utilities,Multi-Utilities,0.0,113.154999,0.0,0.0,0.0,0.0,0.0,1.0,4.782851278504507,-0.3127573018927676,2.0244039013121418,,45.9,35.0,30.0,70,53.24,50,0,0,0,macro resilience,No major Prism warning from provided data
ED,Consolidated Edison,SPX,Utilities,Multi-Utilities,0.0,110.639999,0.0,0.0,0.0,0.0,0.0,1.0,3.9849595115609038,-0.1935149068140749,1.785069482098292,,45.9,35.0,30.0,70,53.23,50,0,0,0,macro resilience,No major Prism warning from provided data
BKNG,Booking Holdings,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.0,179.524994,0.0,0.0,0.0,0.0,0.0,1.0,9.473131609453889,-0.3958802569560036,3.861776324184538,,45.89,35.0,30.0,65,58.2,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
DHR,Danaher Corporation,SPX,Health Care,Life Sciences Tools & Services,0.0,198.255005,0.0,0.0,0.0,0.0,0.0,1.0,5.2253069322157675,-0.39033520819870426,2.9302094686444,,45.88,35.0,30.0,70,53.15,50,0,0,0,macro resilience,No major Prism warning from provided data
FITB,Fifth Third Bancorp,SPX,Financials,Regional Banks,0.0,56.955002,0.0,0.0,0.0,0.0,0.0,1.0,8.05350612888458,-0.18995653332189744,2.1809190701108228,,45.88,35.0,30.0,65,58.14,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
MPC,Marathon Petroleum,SPX,Energy,Oil & Gas Refining & Marketing,0.0,280.369995,0.0,0.0,0.0,0.0,0.0,1.0,8.607399386575242,-0.27350228023489087,2.8744374528583716,,45.88,35.0,30.0,65,58.14,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
CMS,CMS Energy,SPX,Utilities,Multi-Utilities,0.0,75.269997,0.0,0.0,0.0,0.0,0.0,1.0,3.6348617775655345,-0.16623411027170887,2.119987463265081,,45.86,35.0,30.0,70,53.03,50,0,0,0,macro resilience,No major Prism warning from provided data
CNP,CenterPoint Energy,SPX,Utilities,Multi-Utilities,0.0,43.564999,0.0,0.0,0.0,0.0,0.0,1.0,2.7718802258051456,-0.04610670680366147,1.9789813705394874,,45.84,35.0,30.0,70,52.96,50,0,0,0,macro resilience,No major Prism warning from provided data
L,Loews Corporation,SPX,Financials,Multi-line Insurance,0.0,115.025002,0.0,0.0,0.0,0.0,0.0,1.0,7.550262016370146,-0.14841486044402763,1.8468028989285032,,45.82,35.0,30.0,65,57.87,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
MAS,Masco,SPX,Industrials,Building Products,0.0,78.584999,0.0,0.0,0.0,0.0,0.0,1.0,8.617831613485327,-0.3123174370209999,3.0590172995812,,45.82,35.0,30.0,65,57.84,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
CDW,CDW Corporation,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Technology Distributors,0.0,143.839996,0.0,0.0,0.0,0.0,0.0,1.0,7.882692449070849,-0.21624159624533268,3.9160592718592673,,45.8,35.0,30.0,65,57.73,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
ETR,Entergy,SPX,Utilities,Electric Utilities,0.0,114.919998,0.0,0.0,0.0,0.0,0.0,1.0,4.796638526476804,-0.3886472113259597,1.7670678667631514,,45.78,35.0,30.0,70,52.65,50,0,0,0,macro resilience,No major Prism warning from provided data
VTR,Ventas,SPX,Real Estate,Health Care REITs,0.0,90.059998,0.0,0.0,0.0,0.0,0.0,1.0,9.203342922234237,-0.4320562467470258,2.265156295346261,,45.77,35.0,30.0,65,57.59,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
NEE,NextEra Energy,SPX,Utilities,Multi-Utilities,0.0,87.415001,0.0,0.0,0.0,0.0,0.0,1.0,3.047269761941074,-0.14113182822964887,1.6844864614745678,,45.76,35.0,30.0,70,52.53,50,0,0,0,macro resilience,No major Prism warning from provided data
GE,GE Aerospace,SPX,Industrials,Aerospace & Defense,0.0,360.160004,0.0,0.0,0.0,0.0,0.0,1.0,8.994069065524336,-0.42142180410549157,2.605985683756585,,45.73,35.0,30.0,65,57.42,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
SHW,Sherwin-Williams,SPX,Materials,Specialty Chemicals,0.0,335.984985,0.0,0.0,0.0,0.0,0.0,1.0,8.190306869372677,-0.30698710635096693,2.7949829365142627,,45.72,35.0,30.0,65,57.37,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
BKR,Baker Hughes,NASDAQ+NASDAQ200+NASDAQ500+SPX,Energy,Oil & Gas Equipment & Services,0.0,57.490002,0.0,0.0,0.0,0.0,0.0,1.0,-9.535794013151754,0.1604608780418617,3.04276410158612,,45.72,35.0,44.0,65,39.84,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
MRSH,Marsh McLennan,SPX,Financials,Insurance Brokers,0.0,178.449997,0.0,0.0,0.0,0.0,0.0,1.0,7.811740386376509,-0.26415520526379976,2.597366813068648,,45.7,35.0,30.0,65,57.26,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
AAPL,Apple Inc.,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,313.400085,0.0,0.0,0.0,0.0,0.0,1.0,7.864428822485436,-0.2739383710774932,2.842785057226222,,45.7,35.0,30.0,65,57.25,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
ALLE,Allegion,SPX,Industrials,Building Products,0.0,138.130005,0.0,0.0,0.0,0.0,0.0,1.0,5.40251952531432,0.092508546563429,2.677084119827136,,45.69,35.0,30.0,65,57.22,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
RF,Regions Financial Corporation,SPX,Financials,Regional Banks,0.0,30.834999,0.0,0.0,0.0,0.0,0.0,1.0,7.814681818181812,-0.273049892362383,2.1079956207276944,,45.69,35.0,30.0,65,57.19,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
COO,Cooper Companies (The),NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,Health Care Supplies,0.0,71.019997,0.0,0.0,0.0,0.0,0.0,1.0,3.4975136914523475,-0.26127142041821894,2.8603615884209534,,45.67,35.0,30.0,70,52.11,50,0,0,0,macro resilience,No major Prism warning from provided data
KO,Coca-Cola Company (The),SPX,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,0.0,83.544998,0.0,0.0,0.0,0.0,0.0,1.0,2.710845965618214,-0.14974890840558341,2.079299913836338,,45.66,35.0,30.0,70,52.06,50,0,0,0,macro resilience,No major Prism warning from provided data
FE,FirstEnergy,SPX,Utilities,Electric Utilities,0.0,47.740002,0.0,0.0,0.0,0.0,0.0,1.0,3.986064038335879,-0.34219695306359377,1.6547977941014738,,45.66,35.0,30.0,70,52.05,50,0,0,0,macro resilience,No major Prism warning from provided data
V,Visa Inc.,SPX,Financials,Transaction & Payment Processing Services,0.0,346.070007,0.0,0.0,0.0,0.0,0.0,1.0,6.466703515152883,-0.09836185794888852,2.4669862947288417,,45.64,35.0,30.0,65,56.97,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
SRE,Sempra,SPX,Utilities,Multi-Utilities,0.0,94.230003,0.0,0.0,0.0,0.0,0.0,1.0,3.6975898416114372,-0.31888275895962814,1.7516030885164475,,45.63,35.0,30.0,70,51.89,50,0,0,0,macro resilience,No major Prism warning from provided data
BEN,Franklin Resources,SPX,Financials,Asset Management & Custody Banks,0.0,33.990002,0.0,0.0,0.0,0.0,0.0,1.0,6.886802103358547,-0.18442131341723733,2.923231240594974,,45.61,35.0,30.0,65,56.79,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
